,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
120,6.82,682.00,0.41,6.99,699.00,0.42,413.48,466.71,9.1,8.0,10.2,10.2,16.9,45.3 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.43,8.0,7.8,10.2,10.1,15.9,32.72,8.16,40.88,32.64,7.92,40.56,15.04,8.00,23.04,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
130,6.85,685.00,0.41,6.99,699.00,0.42,413.30,460.97,9.1,8.0,10.2,10.2,16.9,45.2 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.92,7.6,7.2,10.2,10.1,17.0,32.72,8.16,40.88,32.64,7.92,40.56,16.56,8.08,24.64,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
140,6.85,685.00,0.41,6.99,699.00,0.42,413.30,460.58,9.1,8.0,10.2,10.2,16.9,45.2 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.95,7.9,7.7,10.2,10.1,17.0,32.72,8.16,40.88,32.64,7.92,40.56,16.56,8.16,24.72,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,6.86,686.00,0.41,6.99,699.00,0.42,413.30,468.90,9.1,8.0,10.2,10.2,16.8,45.2 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.24,7.6,7.2,10.2,10.1,17.0,32.64,8.16,40.80,32.64,7.84,40.48,16.56,8.16,24.72,32.50,8.12,40.62,32.50,8.12,40.62,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
160,6.87,687.00,0.41,6.99,699.00,0.42,413.30,459.79,9.1,8.0,10.2,10.2,16.8,45.1 ,9.1,8.0,10.0,10.0,16.5,44.5 ,40.02,8.0,7.6,10.2,10.1,17.0,32.64,8.08,40.72,32.56,7.92,40.48,16.56,8.08,24.64,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
170,6.90,690.00,0.41,6.99,699.00,0.42,413.48,464.17,9.1,8.0,10.1,10.1,16.7,45.0 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.64,8.3,7.8,10.2,10.1,17.0,32.56,8.08,40.64,32.56,7.84,40.40,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
180,6.88,688.00,0.41,6.99,699.00,0.42,413.30,464.10,9.1,8.0,10.1,10.1,16.8,45.1 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.65,8.8,8.0,10.2,10.1,16.9,32.56,8.08,40.64,32.48,7.92,40.40,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
190,6.89,689.00,0.41,6.99,699.00,0.42,413.30,469.90,9.1,8.0,10.1,10.1,16.8,45.0 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.16,8.4,7.7,10.1,10.1,16.9,32.48,8.08,40.56,32.48,7.84,40.32,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
200,6.92,692.00,0.41,6.99,699.00,0.42,413.48,451.66,9.1,8.0,10.1,10.1,16.7,44.9 ,9.1,8.0,10.0,10.0,16.5,44.5 ,40.74,8.6,7.9,10.1,10.1,16.9,32.48,8.08,40.56,32.48,7.84,40.32,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
210,6.89,689.00,0.41,6.99,699.00,0.42,413.48,468.17,9.1,8.0,10.1,10.1,16.8,45.0 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.30,8.2,7.6,10.1,10.1,16.9,32.40,8.08,40.48,32.40,7.84,40.24,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
