,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,13.73,915.33,CPU bound,11.12,741.33,0.31,613.06,212.07,20.1,18.0,0.0,0.0,0.0,20.1 ,20.1,18.0,12.0,0.0,0.0,30.0 ,86.76,43.2,63.5,1.8,0.0,0.0,6.00,1.20,7.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,8.00,48.00,0,0,0,0,0,0
20,8.24,549.33,0.23,8.50,566.66,0.31,438.09,371.39,20.1,18.0,16.2,5.0,0.0,39.2 ,20.1,18.0,12.0,12.0,0.0,42.0 ,49.54,21.6,24.3,17.3,7.5,0.0,59.36,10.00,69.36,27.04,3.12,30.16,0,0,0,54.87,10.00,64.87,16.62,3.50,20.12,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
30,5.67,378.00,0.16,6.67,444.66,0.19,367.84,329.10,20.1,18.0,23.5,14.6,0.0,56.1 ,20.1,18.0,20.0,12.0,0.0,50.0 ,55.91,25.6,28.1,23.8,15.9,0.0,85.68,9.36,95.04,54.40,9.28,63.68,0,0,0,84.87,9.25,94.12,49.12,9.25,58.37,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
40,5.94,396.00,0.17,6.67,444.66,0.19,368.00,345.98,20.1,18.0,22.5,13.8,0.0,54.3 ,20.1,18.0,20.0,12.0,0.0,50.0 ,53.18,20.5,20.7,22.9,14.9,0.0,82.48,9.04,91.52,50.48,8.96,59.44,0,0,0,81.00,8.87,89.87,46.37,8.87,55.24,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
50,6.08,405.33,0.17,6.67,444.66,0.19,367.84,365.72,20.1,18.0,22.0,13.4,0.0,53.4 ,20.1,18.0,20.0,12.0,0.0,50.0 ,50.31,23.1,23.7,22.2,15.4,0.0,80.00,8.72,88.72,52.88,8.72,61.60,0,0,0,79.12,8.75,87.87,45.00,8.75,53.75,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
60,6.18,412.00,0.17,6.67,444.66,0.19,368.00,334.11,20.1,18.0,21.6,13.3,0.0,52.9 ,20.1,18.0,20.0,12.0,0.0,50.0 ,55.07,20.3,19.7,21.9,18.4,0.0,78.96,8.72,87.68,65.12,8.56,73.68,0,0,0,77.75,8.62,86.37,44.50,8.62,53.12,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
70,4.84,322.66,0.18,5.10,340.00,0.19,317.10,345.72,20.1,18.0,21.4,21.1,0.0,60.4 ,20.1,18.0,20.0,20.0,0.0,58.0 ,53.22,22.3,22.0,21.5,21.2,0.4,77.44,8.48,85.92,76.16,8.48,84.64,.56,.08,.64,76.87,8.50,85.37,75.87,8.50,84.37,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
80,4.84,322.66,0.18,4.41,294.00,0.31,206.18,280.24,20.1,18.0,21.2,21.1,12.6,72.8 ,20.1,18.0,20.0,20.0,31.2,89.2 ,65.66,20.3,19.3,21.8,21.2,9.2,78.72,8.56,87.28,76.56,8.40,84.96,11.68,2.48,14.16,76.25,8.37,84.62,75.87,8.37,84.24,15.75,3.50,19.25,72.00,8.00,80.00,72.00,8.00,80.00,40.00,8.00,48.00
