N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,16.99,0,73.631913832218,0.46,20.76,0,60.2661207778915,0.57,642.51,213.98,46,42.2,18.3,0,0,60.53,46,42.2,15,0,0,57.2,171.98,58.5,81.9,18.3,0,0.2,137.04,9.6,146.64,0,0,0,0.16,0.08,0.24,136.62,10,146.62,0,0,0,0,0,0,112,8,120,0,0,0,0,0,0
20,15.89,0,78.7556503024426,0.54,16.75,0,74.7208121827411,0.57,421.46,164.67,46,42.2,17.2,31.6,0,91.05,46,42.2,15,30,0,87.2,223.48,75.5,103.6,18,38.6,0.2,134.48,9.52,144,144.96,9.44,154.4,0.24,0.08,0.32,128.75,9.12,137.87,118.5,8,126.5,0,0,0,112,8,120,112,8,120,0,0,0
30,15.23,0,82.1586000888375,0.52,16.75,0,74.7208121827411,0.57,412.01,184.05,46,42.2,18.7,33,0,93.9,46,42.2,17,30,0,89.2,199.95,73.2,102.5,19.3,34.9,0.2,145.52,8.96,154.48,130.8,8.72,139.52,0.24,0.08,0.32,141,8.75,149.75,123.25,8.75,132,0,0,0,128,8,136,112,8,120,0,0,0
40,15.65,0,79.9535482441392,0.53,16.75,0,74.7208121827411,0.57,412.01,185.25,46,42.2,18.2,32.1,0,92.51,46,42.2,17,30,0,89.2,198.65,73.7,102,28.1,33.4,0.2,210.32,14.24,224.56,125.12,8.48,133.6,0.24,0.08,0.32,137.12,8.5,145.62,119.87,8.5,128.37,0,0,0,128,8,136,112,8,120,0,0,0
50,15.89,0,78.7489422884904,0.54,16.75,0,74.7208121827411,0.57,412.01,311.76,46,42.2,17.9,31.6,0,91.75,46,42.2,17,30,0,89.2,118.04,34,48.2,18.9,33.2,0.1,142.8,8.8,151.6,124.4,8.4,132.8,0.16,0.08,0.24,135.12,8.37,143.49,118.12,8.37,126.49,0,0,0,128,8,136,112,8,120,0,0,0
60,15.98,0,78.312990321489,0.54,16.75,0,74.7208121827411,0.57,412.01,262.16,46,42.2,17.8,31.4,0,91.43,46,42.2,17,30,0,89.2,140.37,44.3,61,19,35,0.3,142.88,9.04,151.92,131.52,8.32,139.84,0.4,0.08,0.48,134,8.37,142.37,117.37,8.37,125.74,0,0,0,128,8,136,112,8,120,0,0,0
70,14.38,0,86.9795926821354,0.49,14.78,0,84.6835871404399,0.5,394.33,253.49,46,42.2,17.6,34.9,0,94.76,46,42.2,17,34,0,93.2,145.18,48.2,66.9,19.9,36.2,3.7,149.68,9.6,159.28,136.56,8.32,144.88,6.24,0.16,6.4,132.87,8.25,141.12,131.37,8.25,139.62,0,0,0,128,8,136,128,8,136,0,0,0
80,1.28,0,976.931359970195,0.03,7.13,0,175.412115193645,0.57,226.27,176.97,46,42.2,243.2,34.9,72.6,392.84,46,42.2,17,34,69.2,162.42,207.95,52.2,71.2,39.6,35.8,32.6,302.16,14.72,316.88,134.96,8.24,143.2,54.24,2.24,56.48,1817.25,128,1945.25,131.5,8.25,139.75,116.12,9.75,125.87,128,8,136,128,8,136,112,8,120
90,6.95,0,179.990320645596,0.55,7.13,0,175.412115193645,0.57,226.27,181.28,46,42.2,17.5,35,71,165.68,46,42.2,17,34,69.2,162.42,203,32.1,45.4,20.7,35.5,62.8,156.16,9.2,165.36,133.84,8.24,142.08,102,6.8,108.8,131.75,8.25,140,131.75,8.25,140,115,8.12,123.12,128,8,136,128,8,136,112,8,120
100,6.97,0,179.395607388282,0.55,7.13,0,175.412115193645,0.57,226.27,182.4,46,42.2,17.4,34.9,70.8,165.26,46,42.2,17,34,69.2,162.42,201.75,38.7,53.2,18.3,35.3,71.3,138,8.72,146.72,132.96,8.24,141.2,115.36,8.24,123.6,131.25,8.12,139.37,131.25,8.12,139.37,114.5,8.12,122.62,128,8,136,128,8,136,112,8,120
110,6.99,0,179.087790912268,0.56,7.13,0,175.412115193645,0.57,226.27,184.92,46,42.2,17.4,34.8,70.7,165.02,46,42.2,17,34,69.2,162.42,199.01,42.1,57.6,18.4,35.2,72,138.32,8.64,146.96,132.56,8.16,140.72,116.56,8.24,124.8,130.87,8.12,138.99,130.87,8.12,138.99,114.37,8.12,122.49,128,8,136,128,8,136,112,8,120
120,7,0,178.761317179742,0.56,7.13,0,175.412115193645,0.57,226.27,176.94,46,42.2,19.4,34.7,70.5,166.82,46,42.2,17,34,69.2,162.42,207.97,44.4,61.3,24.8,35.1,71.9,188.24,10.48,198.72,132.32,8.16,140.48,116.4,8.24,124.64,146.87,8.12,154.99,130.75,8.12,138.87,114.12,8.12,122.24,128,8,136,128,8,136,112,8,120
130,7.01,0,178.501067379838,0.56,7.13,0,175.412115193645,0.57,226.27,186.93,46,42.2,17.3,34.6,70.4,164.61,46,42.2,17,34,69.2,162.42,196.87,32.1,44.3,19.2,35,71.6,145.12,8.56,153.68,131.76,8.16,139.92,115.84,8.24,124.08,130.5,8.12,138.62,130.5,8.12,138.62,114,8.12,122.12,128,8,136,128,8,136,112,8,120
140,7.02,0,178.342199165839,0.56,7.13,0,175.412115193645,0.57,226.27,173.42,46,42.2,17.3,34.6,70.4,164.49,46,42.2,17,34,69.2,162.42,212.2,36.6,50,19.8,35,71.5,149.44,9.2,158.64,131.76,8.16,139.92,115.68,8.24,123.92,130.37,8.12,138.49,130.37,8.12,138.49,113.87,8.12,121.99,128,8,136,128,8,136,112,8,120
150,7.02,0,178.124976283041,0.56,7.13,0,175.412115193645,0.57,226.27,166.8,46,42.2,17.3,34.6,70.3,164.34,46,42.2,17,34,69.2,162.42,220.62,39.5,53.4,21.2,35,71.4,160.48,9.12,169.6,131.68,8.16,139.84,115.52,8.24,123.76,130.12,8.12,138.24,130.12,8.12,138.24,113.75,8.12,121.87,128,8,136,128,8,136,112,8,120
160,1.04,0,1205.81000208837,0.04,7.13,0,175.412115193645,0.57,226.27,148.48,46,42.2,290.1,484.1,70.2,886.54,46,42.2,17,34,69.2,162.42,247.84,41.4,56.4,43.2,34.9,71.2,332.48,13.04,345.52,131.28,8.08,139.36,115.12,8.24,123.36,2192.5,128,2320.5,1816.62,119.87,1936.49,113.5,8.12,121.62,128,8,136,128,8,136,112,8,120
170,7.04,0,177.694058543551,0.56,7.13,0,175.412115193645,0.57,226.27,184.7,46,42.2,17.3,34.5,70.1,164.07,46,42.2,17,34,69.2,162.42,199.25,31.8,43.8,18.5,34.7,71,139.36,8.48,147.84,130.72,8.08,138.8,114.88,8.24,123.12,129.87,8.12,137.99,129.87,8.12,137.99,113.5,8,121.5,128,8,136,128,8,136,112,8,120
180,7.05,0,177.575981550489,0.56,7.13,0,175.412115193645,0.57,226.27,181.51,46,42.2,17.2,34.5,70.1,163.95,46,42.2,17,34,69.2,162.42,202.75,35.1,48.2,18.3,34.7,71,137.36,8.64,146,130.88,8.16,139.04,114.88,8.24,123.12,129.75,8.12,137.87,129.75,8.12,137.87,113.37,8.12,121.49,128,8,136,128,8,136,112,8,120
190,7.05,0,177.487840427644,0.56,7.13,0,175.412115193645,0.57,226.27,186.74,46,42.2,17.2,34.4,70,163.9,46,42.2,17,34,69.2,162.42,197.06,37.2,51,18.2,34.6,70.8,137.2,8.8,146,130.48,8.08,138.56,114.64,8.24,122.88,129.62,8.12,137.74,129.62,8.12,137.74,113.37,8.12,121.49,128,8,136,128,8,136,112,8,120
200,7.06,0,177.273429129817,0.56,7.13,0,175.412115193645,0.57,226.27,178.54,46,42.2,19.2,34.4,70,165.76,46,42.2,17,34,69.2,162.42,206.12,38.8,53.5,24,34.7,70.8,182.16,9.76,191.92,130.64,8.08,138.72,114.48,8.24,122.72,145.62,8.12,153.74,129.5,8.12,137.62,113.25,8,121.25,128,8,136,128,8,136,112,8,120
210,7.06,0,177.255997854006,0.56,7.13,0,175.412115193645,0.57,226.27,181.26,46,42.2,17.2,34.4,69.9,163.73,46,42.2,17,34,69.2,162.42,203.03,31.5,43.4,21.3,34.6,70.7,161.84,8.48,170.32,130.24,8.08,138.32,114.32,8.24,122.56,129.5,8.12,137.62,129.5,8.12,137.62,113.12,8.12,121.24,128,8,136,128,8,136,112,8,120
220,7.06,0,177.233937789991,0.56,7.13,0,175.412115193645,0.57,226.27,181.89,46,42.2,17.2,34.4,69.9,163.7,46,42.2,17,34,69.2,162.42,202.32,34.4,47,18.8,34.6,70.6,141.2,8.8,150,130.16,8.08,138.24,114.24,8.16,122.4,129.37,8.12,137.49,129.37,8.12,137.49,113.12,8.12,121.24,128,8,136,128,8,136,112,8,120
230,7.06,0,177.138707236472,0.56,7.13,0,175.412115193645,0.57,226.27,182.09,46,42.2,17.2,34.4,69.9,163.64,46,42.2,17,34,69.2,162.42,202.1,36.1,49.4,18.9,34.6,70.6,142.48,8.8,151.28,130.16,8.08,138.24,114.24,8.16,122.4,129.37,8.12,137.49,129.37,8.12,137.49,113.12,8.12,121.24,128,8,136,128,8,136,112,8,120
240,1.28,0,976.526846214569,0.03,7.13,0,175.412115193645,0.57,226.27,158.63,46,42.2,243.1,34.3,69.8,389.42,46,42.2,17,34,69.2,162.42,231.99,37.6,51.6,35,34.6,70.6,268,11.92,279.92,130.32,8.08,138.4,114.24,8.24,122.48,1816.37,128,1944.37,129.25,8.12,137.37,113,8,121,128,8,136,128,8,136,112,8,120
250,7.07,0,177.00297497459,0.56,7.13,0,175.412115193645,0.57,226.27,182.64,46,42.2,17.2,34.3,69.8,163.56,46,42.2,17,34,69.2,162.42,201.49,31.3,43.2,20.5,34.5,70.5,155.44,8.56,164,129.92,8.08,138,114,8.16,122.16,129.25,8.12,137.37,129.25,8.12,137.37,113,8.12,121.12,128,8,136,128,8,136,112,8,120
260,7.07,0,176.907094180735,0.56,7.13,0,175.412115193645,0.57,226.27,176.16,46,42.2,17.1,34.3,69.8,163.45,46,42.2,17,34,69.2,162.42,208.9,32.7,46.3,22.3,34.5,70.5,169.12,9.44,178.56,130,8.08,138.08,114,8.16,122.16,129.12,8.12,137.24,129.12,8.12,137.24,112.87,8.12,120.99,128,8,136,128,8,136,112,8,120
270,7.07,0,176.943905690945,0.56,7.13,0,175.412115193645,0.57,226.27,182.77,46,42.2,17.1,34.3,69.8,163.46,46,42.2,17,34,69.2,162.42,201.34,35.4,48.3,20,34.5,70.4,151.36,8.64,160,129.92,8.08,138,113.92,8.16,122.08,129.12,8,137.12,129.12,8,137.12,112.87,8.12,120.99,128,8,136,128,8,136,112,8,120
280,7.08,0,176.639532234359,0.56,7.13,0,175.412115193645,0.57,226.27,182.09,46,42.2,19.2,34.3,69.7,165.33,46,42.2,17,34,69.2,162.42,202.1,36.7,50.2,21.6,34.5,70.4,163.6,9.6,173.2,130,8.08,138.08,113.92,8.16,122.08,145.12,8,153.12,129.12,8,137.12,112.87,8,120.87,128,8,136,128,8,136,112,8,120
290,7.07,0,176.932068154037,0.56,7.13,0,175.412115193645,0.57,226.27,182.41,46,42.2,17.1,34.3,69.8,163.43,46,42.2,17,34,69.2,162.42,201.75,31.7,43,20.5,34.4,70.4,155.36,8.4,163.76,129.68,8.08,137.76,113.84,8.16,122,129,8,137,129,8,137,112.87,8.25,121.12,128,8,136,128,8,136,112,8,120
300,7.08,0,176.646388892569,0.56,7.13,0,175.412115193645,0.57,226.27,179.29,46,42.2,17.1,34.3,69.7,163.31,46,42.2,17,34,69.2,162.42,205.25,33.7,45.7,20.9,34.5,70.4,157.84,8.96,166.8,129.84,8.08,137.92,113.84,8.16,122,129,8,137,129,8,137,112.87,8,120.87,128,8,136,128,8,136,112,8,120
310,7.09,0,176.58089777343,0.56,7.13,0,175.412115193645,0.57,226.27,182,46,42.2,17.1,34.3,69.7,163.27,46,42.2,17,34,69.2,162.42,202.2,34.9,47.5,20.3,34.5,70.4,153.84,8.88,162.72,129.76,8.08,137.84,113.76,8.16,121.92,129,8,137,129,8,137,112.75,8,120.75,128,8,136,128,8,136,112,8,120
320,1.04,0,1205.65318802261,0.04,7.13,0,175.412115193645,0.57,226.27,151.36,46,42.2,290,484.1,69.7,885.98,46,42.2,17,34,69.2,162.42,243.13,35.9,49.2,40.3,34.5,70.4,310.64,11.84,322.48,130.08,8.08,138.16,113.92,8.16,122.08,2192.25,128,2320.25,1816.25,120,1936.25,112.75,8,120.75,128,8,136,128,8,136,112,8,120
