N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark cycl,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM CS MLUPs,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,ECM LC MLUPs,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,4.90,222.72,0.0,CPU bound,4.90,222.72,0.0,CPU bound,,,,,,93.55,98.34,41.3,32.0,0.0,0.0,0.0,41.28,445.73,41.3,32.0,0.0,0.0,0.0,41.28,445.73,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4.90,222.72,31.974989909344398,CPU bound,4.90,222.72,28.933660933660928,CPU bound,,,,,,87.60,105.03,41.3,32.0,17.1,0.0,0.0,41.28,445.73,41.3,32.0,16.0,0.0,0.0,41.28,445.73,,,,,,,,,,68.25,11.37,79.62,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,4.90,222.72,34.967381544889136,CPU bound,4.90,222.72,28.933660933660928,CPU bound,,,,,,81.68,112.64,41.3,32.0,19.4,9.6,0.0,41.28,445.73,41.3,32.0,16.0,6.0,0.0,41.28,445.73,,,,,,,,,,77.75,9.37,87.12,19.25,19.25,38.50,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
40,4.90,222.72,34.70095775708722,CPU bound,4.90,222.72,28.933660933660928,CPU bound,,,,,,81.30,113.15,41.3,32.0,19.2,11.1,0.0,41.28,445.73,41.3,32.0,16.0,6.0,0.0,41.28,445.73,,,,,,,,,,77.00,9.37,86.37,22.12,22.12,44.24,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,4.90,222.72,32.19229372837112,CPU bound,4.90,222.72,28.933660933660928,CPU bound,,,,,,79.50,115.73,41.3,32.0,17.8,10.1,0.0,41.28,445.73,41.3,32.0,16.0,6.0,0.0,41.28,445.73,,,,,,,,,,71.37,8.75,80.12,20.25,20.25,40.50,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
60,4.90,222.72,32.55127676400102,CPU bound,4.90,222.72,28.933660933660928,CPU bound,,,,,,80.19,114.73,41.3,32.0,18.0,10.1,0.3,41.28,445.73,41.3,32.0,16.0,6.0,0.0,41.28,445.73,,,,,,,,,,72.12,8.87,80.99,19.87,20.37,40.24,.37,.12,.49,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
70,3.90,177.27,51.92499562906084,0.12,4.90,222.72,29.522005571030636,CPU bound,,,,,,81.53,112.85,41.3,32.0,17.3,19.4,15.3,41.28,445.73,41.3,32.0,16.0,18.0,13.9,41.28,445.73,,,,,,,,,,69.00,8.50,77.50,29.75,47.75,77.50,18.00,8.50,26.50,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
80,2.66,120.90,75.9506787950384,0.08,4.90,222.72,29.522005571030636,CPU bound,,,,,,87.84,104.73,41.3,32.0,17.5,30.4,15.4,45.84,401.39,41.3,32.0,16.0,18.0,13.9,41.28,445.73,,,,,,,,,,69.87,8.62,78.49,51.87,69.87,121.74,18.00,8.62,26.62,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
90,2.79,126.81,72.46523571936295,0.08,4.90,222.72,29.522005571030636,CPU bound,,,,,,81.14,113.38,41.3,32.0,17.0,29.0,15.0,43.93,418.84,41.3,32.0,16.0,18.0,13.9,41.28,445.73,,,,,,,,,,67.87,8.37,76.24,49.12,66.62,115.74,17.50,8.37,25.87,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
100,2.71,123.18,74.57136349675132,0.08,4.90,222.72,29.522005571030636,CPU bound,,,,,,80.61,114.13,41.3,32.0,21.4,29.9,15.0,44.92,409.61,41.3,32.0,16.0,18.0,13.9,41.28,445.73,,,,,,,,,,85.50,8.50,94.00,51.12,68.62,119.74,17.50,8.37,25.87,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
