N,threads,iterations,time,blocking factor,flop,lup,Gflop/s,Gflop/s (Roofline),Mlup/s,Mlup/s (Roofline),cy/CL,cy/CL (ECM),MLUP/s (ECM),l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
700,1,9,28.6874,,65981000000,3008160700,2.3,3.44,104.86,156.36,87.73,61.33,150.0075,0,0,0,0,0,0,,,
700,2,9,16.8206,,66104900000,3008364300,3.93,4.16,178.85,189.09,51.44,43.33,212.3225,0,0,0,0,0,0,,,
700,3,9,15.502,,66038000000,3008318000,4.26,4.1,194.06,186.36,47.41,43.33,212.3225,0,0,0,0,0,0,,,
700,4,9,14.1425,,66045400000,3008251100,4.67,4.46,212.71,202.72,43.25,43.33,212.3225,0,0,0,0,0,0,,,
700,5,9,13.8141,,66169500000,3008296500,4.79,4.59,217.77,208.63,42.25,43.33,212.3225,0,0,0,0,0,0,,,
700,6,9,13.6071,,66130500000,3008257600,4.86,4.67,221.08,212.27,41.61,43.33,212.3225,0,0,0,0,0,0,,,
700,7,9,11.6301,,66175200000,3008241600,5.69,5.45,258.66,247.72,35.57,37.14,247.71,0,0,0,0,0,0,,,
700,8,9,10.1836,,66091500000,3008337200,6.49,6.22,295.41,282.72,31.14,32.5,283.075,0,0,0,0,0,0,,,
700,9,9,9.0542,,66095600000,3008257900,7.3,6.99,332.25,317.72,27.69,28.89,318.4475,0,0,0,0,0,0,,,
700,10,9,8.155,,66137000000,3008297000,8.11,7.76,368.89,352.72,24.94,26,353.845,0,0,0,0,0,0,,,
700,11,9,7.4156,,66147100000,3008286400,8.92,8.55,405.67,388.63,22.68,23.63,389.335,0,0,0,0,0,0,,,
700,12,9,6.8381,,66124400000,3008285300,9.67,9.33,439.93,424.09,20.91,21.66,424.745,0,0,0,0,0,0,,,
700,13,9,6.2818,,66147300000,3008291200,10.53,10.1,478.89,459.09,19.21,20,460,0,0,0,0,0,0,,,
700,14,9,5.8315,,66129200000,3008295900,11.34,10.89,515.87,495,17.83,18.57,495.4225,0,0,0,0,0,0,,,
700,15,9,5.4469,,66179800000,3008322800,12.15,11.68,552.3,530.9,16.66,17.33,530.87,0,0,0,0,0,0,,,
700,16,9,5.1256,,66171400000,3008317100,12.91,12.51,586.92,568.63,15.68,16.25,566.1525,0,0,0,0,0,0,,,
700,17,9,4.8312,,66139100000,3008291600,13.69,13.31,622.68,605,14.77,15.29,601.7,0,0,0,0,0,0,,,
700,18,9,4.5571,,66169000000,3008278400,14.52,14.06,660.13,639.09,13.94,14.44,637.1175,0,0,0,0,0,0,,,
700,19,9,4.3203,,66143700000,3008311200,15.31,14.87,696.32,675.9,13.21,13.68,672.5125,0,0,0,0,0,0,,,
700,20,9,4.1279,,66170200000,3008289600,16.03,15.71,728.77,714.09,12.62,13,707.69,0,0,0,0,0,0,,,
700,21,9,3.8904,,66175700000,3008290700,17.01,16.49,773.26,749.54,11.9,12.38,743.1325,0,0,0,0,0,0,,,
700,22,9,3.7781,,66154500000,3008312100,17.51,17.56,796.25,798.18,11.55,11.82,778.34,0,0,0,0,0,0,,,
700,23,9,3.5656,,66177500000,3008296700,18.56,18.52,843.7,841.81,10.9,11.3,814.1575,0,0,0,0,0,0,,,
700,24,9,3.4311,,66151600000,3008285500,19.28,20.07,876.77,912.27,10.49,10.83,849.49,0,0,0,0,0,0,,,
