,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
10,,,,2.28,84.44,,84.43,341.09,,,,,,,227.4,112.0,0.0,0.0,0.0,227.4 ,56.29,508.00,0,0,0,0,0,0,0,0,0,0,0
20,2.28,84.44,,2.28,84.44,,84.39,340.45,227.4,112.0,3.5,0.0,0.0,227.4 ,227.4,112.0,3.0,0.0,0.0,227.4 ,56.40,423.36,20.16,9.12,29.28,20.16,0,0,0,0,0,0,0
30,2.28,84.44,,2.28,84.44,,84.43,420.21,227.4,112.0,3.0,0.0,0.0,227.4 ,227.4,112.0,3.0,0.0,0.0,227.4 ,45.69,333.04,22.16,8.72,30.88,22.16,0,0,0,0,0,0,0
40,2.28,84.44,,2.28,84.44,,84.43,395.65,227.4,112.0,5.3,0.0,0.0,227.4 ,227.4,112.0,5.0,0.0,0.0,227.4 ,48.53,290.56,35.04,8.48,43.52,35.04,2.40,8.96,11.36,2.40,0,0,0
50,2.28,84.44,,2.28,84.44,,84.39,469.64,227.4,112.0,5.0,8.0,0.0,227.4 ,227.4,112.0,5.0,8.0,0.0,227.4 ,40.88,261.84,34.48,8.40,42.88,34.48,17.28,17.20,34.48,17.28,0,0,0
60,2.28,84.44,,2.28,84.44,,84.43,435.44,227.4,112.0,5.0,8.0,0.0,227.4 ,227.4,112.0,5.0,8.0,0.0,227.4 ,44.09,279.52,34.08,8.32,42.40,34.08,17.36,17.36,34.72,17.36,0,0,0
70,2.28,84.44,,2.28,84.44,,84.39,468.60,227.4,112.0,5.0,8.0,0.0,227.4 ,227.4,112.0,5.0,8.0,0.0,227.4 ,40.97,263.76,33.68,8.24,41.92,33.68,17.20,17.20,34.40,17.20,0,0,0
80,2.28,84.44,,2.28,84.44,,84.43,433.32,227.4,112.0,5.0,8.0,0.0,227.4 ,227.4,112.0,5.0,8.0,0.0,227.4 ,44.31,252.08,33.68,8.24,41.92,33.68,17.04,17.04,34.08,17.04,0,0,0
90,2.28,84.44,,2.28,84.44,,84.39,487.57,227.4,112.0,5.0,8.0,0.0,227.4 ,227.4,112.0,5.0,8.0,0.0,227.4 ,39.38,240.88,33.76,8.24,42.00,33.76,16.96,16.96,33.92,16.88,0,0,0
