,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,10.13,533.15,CPU bound,9.16,482.10,0.24,530.38,171.28,36.0,26.2,6.3,0.0,0.0,36.0 ,36.0,26.2,10.0,0.0,0.0,36.2 ,112.09,50.3,71.5,8.1,0.0,0.0,58.96,5.68,64.64,0,0,0,0,0,0,45.00,5.37,50.37,0,0,0,0,0,0,72.00,8.00,80.00,0,0,0,0,0,0
20,5.97,314.21,0.15,6.54,344.21,0.17,477.41,284.52,36.0,26.2,15.3,0.0,0.0,41.5 ,36.0,26.2,14.0,0.0,0.0,40.2 ,67.48,19.6,37.2,16.5,0.0,0.0,121.52,10.88,132.40,0,0,0,0,0,0,112.62,10.00,122.62,0,0,0,0,0,0,104.00,8.00,112.00,0,0,0,0,0,0
30,3.10,163.15,0.11,6.54,344.21,0.17,251.96,253.03,36.0,26.2,16.4,43.1,0.0,85.7 ,36.0,26.2,14.0,36.0,0.0,76.2 ,75.88,25.2,37.2,16.7,91.7,0.1,124.48,9.36,133.84,91.68,91.68,183.36,.32,0,.32,121.87,9.25,131.12,86.25,9.25,95.50,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
40,1.07,56.31,0.03,6.54,344.21,0.17,251.86,223.84,36.0,26.2,85.7,41.0,0.0,152.9 ,36.0,26.2,14.0,36.0,0.0,76.2 ,85.78,21.9,31.9,17.8,88.0,0.2,132.96,9.68,142.64,88.00,88.00,176.00,.48,0,.48,621.37,64.00,685.37,82.00,8.87,90.87,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
50,3.35,176.31,0.12,6.54,344.21,0.17,251.86,281.47,36.0,26.2,15.3,39.9,0.0,81.5 ,36.0,26.2,14.0,36.0,0.0,76.2 ,68.21,22.4,33.1,15.5,84.6,0.1,114.88,8.72,123.60,84.64,84.56,169.20,.16,0,.16,114.00,8.75,122.75,79.87,8.75,88.62,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
60,3.39,178.42,0.12,6.54,344.21,0.17,251.86,284.97,36.0,26.2,15.1,39.4,0.0,80.7 ,36.0,26.2,14.0,36.0,0.0,76.2 ,67.38,19.3,30.5,15.2,81.8,0.1,113.04,8.72,121.76,81.84,81.84,163.68,.24,0,.24,112.00,8.62,120.62,78.87,8.50,87.37,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
70,3.41,179.47,0.12,6.54,344.21,0.17,251.96,287.14,36.0,26.2,14.9,39.2,0.0,80.3 ,36.0,26.2,14.0,36.0,0.0,76.2 ,66.87,21.1,31.6,15.0,80.2,0.8,111.44,8.56,120.00,80.24,80.16,160.40,2.40,.24,2.64,110.87,8.50,119.37,78.37,8.50,86.87,0,0,0,104.00,8.00,112.00,72.00,8.00,80.00,0,0,0
80,0.92,48.42,0.02,3.94,207.36,0.24,189.08,209.50,36.0,26.2,99.2,4.2,26.9,156.5 ,36.0,26.2,14.0,36.0,25.3,101.5 ,91.64,22.2,29.8,18.9,83.3,6.3,142.00,9.12,151.12,83.28,83.28,166.56,17.28,2.48,19.76,729.75,64.00,793.75,1.62,8.50,10.12,76.62,8.50,85.12,104.00,8.00,112.00,72.00,8.00,80.00,72.00,8.00,80.00
