,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total,load,evict,total,load,evict,total,load,evict,total
250,1.47,210,0.15,2.45,350,0.17,392.857142857143,406.39,12,14,10,10,27.7,61.7,12,14,10,10,10.8,44.8,43.31,118.72,8.08,32.4,40.48,32.4,7.36,30.16,37.52,30.16,8.16,16.4,24.56
260,1.61,230,0.17,2.45,350,0.17,392.857142857143,401.34,12,14,10,10,21.7,55.7,12,14,10,10,10.8,44.8,43.85,120.8,8.08,32.4,40.48,32.4,7.36,30.16,37.52,30.16,8.16,16.32,24.48
270,2.45,350,0.17,2.45,350,0.17,392.857142857143,408.61,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,43.07,118.24,8.08,32.32,40.4,32.32,7.44,30.08,37.52,30.08,8.16,16.32,24.48
280,2.45,350,0.17,2.45,350,0.17,392.857142857143,413.77,12,14,10,10,15.2,49.2,12,14,10,10,10.8,44.8,42.54,122.32,8.08,32.32,40.4,32.32,7.28,29.92,37.2,29.92,8.16,16.32,24.48
290,2.45,350,0.17,2.45,350,0.17,392.857142857143,422.08,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,41.7,115.6,8.08,32.32,40.4,32.32,7.36,30.08,37.44,30.08,8.16,16.32,24.48
300,2.45,350,0.17,2.45,350,0.17,392.857142857143,414.37,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,42.47,121.6,8.08,32.32,40.4,32.32,7.36,29.92,37.28,29.92,8.16,16.32,24.48
310,2.45,350,0.17,2.45,350,0.17,392.857142857143,410.07,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,42.92,117.44,8.08,32.32,40.4,32.32,7.36,30.08,37.44,30.08,8.16,16.32,24.48
320,2.45,350,0.17,2.45,350,0.17,392.857142857143,401.74,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,43.81,121.04,8.08,32.48,40.56,32.48,7.36,30.16,37.52,30.16,8.16,16.32,24.48
330,2.45,350,0.17,2.45,350,0.17,392.857142857143,410.7,12,14,10,10,7.5,41.5,12,14,10,10,10.8,44.8,42.85,117.12,8.08,32.24,40.32,32.24,7.36,30.16,37.52,30.16,8.16,16.32,24.48
340,2.45,350,0.17,2.45,350,0.17,392.857142857143,408.2,12,14,10,10,15.8,49.8,12,14,10,10,10.8,44.8,43.12,118.8,8.08,32.24,40.32,32.24,7.36,30.08,37.44,30.08,8.16,16.32,24.48
