N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,7.85,523.33,CPU bound,7.85,523.33,,390.93,179.49,33.6,33,0,0,0,33.6,33.6,33,12,0,0,45,98.05,60.6,65.6,0,0,0.2,0,0,0,0,0,0,0.16,0.16,0.32,0,0,0,0,0,0,0,0,0,40,8,48,0,0,0,0,0,0
20,7.65,510,0.23,7.2,480,0.31,308.63,214.7,33.6,33,16.2,5,0,54.2,33.6,33,12,12,0,57,81.98,46.1,48.3,17.6,7.8,0.1,60.16,10.24,70.4,27.84,3.44,31.28,0.16,0.16,0.32,54.87,10,64.87,16.62,3.5,20.12,0,0,0,40,8,48,40,8,48,0,0,0
30,5.26,350.66,0.16,6.19,412.66,0.19,270.64,211.51,33.6,33,23.5,14.6,0,71.1,33.6,33,20,12,0,65,83.21,35.1,35.5,23.9,15.5,0.2,86.24,9.36,95.6,52.8,9.12,61.92,0.16,0.16,0.32,84.87,9.25,94.12,49.12,9.25,58.37,0,0,0,72,8,80,40,8,48,0,0,0
40,5.51,367.33,0.17,6.19,412.66,0.19,270.64,204.99,33.6,33,22.5,13.8,0,69.3,33.6,33,20,12,0,65,85.86,36.8,36.4,23,14.5,0.2,82.88,9.04,91.92,49.2,8.8,58,0.16,0.16,0.32,81,8.87,89.87,46.37,8.87,55.24,0,0,0,72,8,80,40,8,48,0,0,0
50,5.64,376,0.17,6.19,412.66,0.19,270.64,219.68,33.6,33,22,13.4,0,68.4,33.6,33,20,12,0,65,80.12,31.6,31.8,22.2,15,0.1,80.08,8.72,88.8,51.52,8.56,60.08,0.16,0.16,0.32,79.12,8.75,87.87,45,8.75,53.75,0,0,0,72,8,80,40,8,48,0,0,0
60,5.74,382.66,0.17,6.19,412.66,0.19,270.64,216.89,33.6,33,21.6,13.3,0,67.9,33.6,33,20,12,0,65,81.15,33.9,33,21.9,16,0.1,78.96,8.72,87.68,55.6,8.4,64,0.16,0.16,0.32,77.75,8.62,86.37,44.5,8.62,53.12,0,0,0,72,8,80,40,8,48,0,0,0
70,4.1,273.33,0.18,4.32,288,0.19,240.98,225.18,33.6,33,21.4,21.1,0,75.4,33.6,33,20,20,0,73,78.16,30.5,30.3,21.5,20.7,0.2,77.6,8.56,86.16,74.48,8.24,82.72,0.16,0.16,0.32,76.87,8.5,85.37,75.87,8.5,84.37,0,0,0,72,8,80,72,8,80,0,0,0
80,4.1,273.33,0.18,4.32,288,0.19,240.98,218.33,33.6,33,21.2,21.1,0,75.2,33.6,33,20,20,0,73,80.61,32.1,31.4,22.1,20.4,0.3,79.6,8.64,88.24,73.36,8.08,81.44,0.4,0.16,0.56,76.25,8.37,84.62,75.87,8.37,84.24,0,0,0,72,8,80,72,8,80,0,0,0
90,4.13,275.33,0.18,3.8,253.33,0.31,188.35,214.21,33.6,33,21,21,15.1,90.1,33.6,33,20,20,20.4,93.4,82.16,30,29.5,21.2,20.5,6.8,76.16,8.4,84.56,73.84,8.08,81.92,13.28,2.8,16.08,75.75,8.37,84.12,75.37,8.37,83.74,29.37,6.12,35.49,72,8,80,72,8,80,40,8,48
100,3.63,242,0.3,3.8,253.33,0.31,188.35,202.61,33.6,33,20.9,20.9,21.4,96.3,33.6,33,20,20,20.4,93.4,86.87,31.4,30.5,21,20.2,17.4,75.68,8.4,84.08,73.04,8,81.04,33.36,7.44,40.8,75.37,8.37,83.74,75.37,8.37,83.74,42,8.37,50.37,72,8,80,72,8,80,40,8,48
110,3.64,242.66,0.3,3.8,253.33,0.31,188.35,193.56,33.6,33,20.8,20.8,21.3,96,33.6,33,20,20,20.4,93.4,90.93,29.7,29.1,20.9,20.3,21,75.28,8.32,83.6,73.04,8,81.04,40.88,8.48,49.36,75,8.25,83.25,75,8.25,83.25,41.87,8.25,50.12,72,8,80,72,8,80,40,8,48
120,3.65,243.33,0.3,3.8,253.33,0.31,188.35,183.21,33.6,33,20.8,20.8,21.3,95.8,33.6,33,20,20,20.4,93.4,96.06,30.8,29.9,21,20.4,21.6,75.44,8.4,83.84,73.76,8.08,81.84,42.32,8.48,50.8,74.75,8.25,83,74.75,8.25,83,41.62,8.37,49.99,72,8,80,72,8,80,40,8,48
130,3.67,244.66,0.3,3.8,253.33,0.31,188.35,180.86,33.6,33,20.7,20.7,21.2,95.6,33.6,33,20,20,20.4,93.4,97.31,29.5,28.7,22,20.3,21.5,79.52,8.48,88,73.28,8,81.28,42.16,8.48,50.64,74.62,8.25,82.87,74.62,8.25,82.87,41.62,8.12,49.74,72,8,80,72,8,80,40,8,48
140,3.67,244.66,0.3,3.8,253.33,0.31,188.35,184.66,33.6,33,20.6,20.6,21.1,95.4,33.6,33,20,20,20.4,93.4,95.31,30.6,29.5,20.7,20.2,21.5,74.72,8.32,83.04,72.8,7.92,80.72,42.08,8.4,50.48,74.37,8.25,82.62,74.37,8.25,82.62,41.37,8.25,49.62,72,8,80,72,8,80,40,8,48
150,3.68,245.33,0.3,3.8,253.33,0.31,188.35,179.9,33.6,33,20.6,20.6,21.1,95.3,33.6,33,20,20,20.4,93.4,97.83,29.3,28.5,20.7,20.4,21.4,74.56,8.32,82.88,73.36,8,81.36,41.84,8.4,50.24,74.12,8.25,82.37,74.12,8.25,82.37,41.37,8.25,49.62,72,8,80,72,8,80,40,8,48
160,3.68,245.33,0.3,3.8,253.33,0.31,188.35,171.25,33.6,33,150,20.6,21,224.6,33.6,33,20,20,20.4,93.4,102.77,30.7,29.2,22.9,20.3,21.4,83.12,8.56,91.68,73.12,8,81.12,41.76,8.4,50.16,536,64,600,74,8.25,82.25,41.25,8.25,49.5,72,8,80,72,8,80,40,8,48
170,3.7,246.66,0.3,3.8,253.33,0.31,188.35,187.85,33.6,33,20.5,20.5,21,95.1,33.6,33,20,20,20.4,93.4,93.69,29.2,28.3,20.6,20.1,21.3,74.16,8.24,82.4,72.64,7.92,80.56,41.68,8.4,50.08,74,8.25,82.25,74,8.25,82.25,41.25,8.12,49.37,72,8,80,72,8,80,40,8,48
180,3.7,246.66,0.3,3.8,253.33,0.31,188.35,183.72,33.6,33,20.5,20.5,21,95,33.6,33,20,20,20.4,93.4,95.8,30,28.9,20.6,20.2,21.3,74.16,8.24,82.4,72.88,8,80.88,41.6,8.4,50,73.75,8.12,81.87,73.75,8.12,81.87,41.12,8.25,49.37,72,8,80,72,8,80,40,8,48
190,3.71,247.33,0.3,3.8,253.33,0.31,188.35,191.52,33.6,33,20.5,20.5,20.9,94.9,33.6,33,20,20,20.4,93.4,91.89,29.1,28.2,21.1,19.9,21.2,76.16,8.32,84.48,71.68,7.84,79.52,41.52,8.32,49.84,73.75,8.12,81.87,73.75,8.12,81.87,41,8.12,49.12,72,8,80,72,8,80,40,8,48
