N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
430,16,2.233993,L2 430 430 430 16 38 430,18554106240,1236940416,8.30,553.69,34.88,58.24,8.64,19.49,19.48,122241639.00,104108516.00,66.88,38.97,226350155.00
440,16,2.363229,L2 440 440 440 16 37 440,19891645440,1326109696,8.41,561.13,34.88,57.09,8.67,19.24,19.22,130606736.00,111615314.00,65.76,38.46,242222050.00
450,16,2.673109,L2 450 450 450 16 36 450,21291968640,1419464576,7.96,531.01,36.88,64.27,8.68,19.38,19.36,140160120.00,119419854.00,72.95,38.74,259579974.00
460,16,2.794452,L2 460 460 460 16 35 460,22756515840,1517101056,8.14,542.89,35.52,73.27,8.77,19.35,19.33,149550020.00,127609412.00,82.04,38.68,277159432.00
470,16,2.887780,L2 470 470 470 16 34 470,24286727040,1619115136,8.40,560.67,34.88,60.58,8.76,19.20,19.18,159097163.00,136161892.00,69.34,38.38,295259055.00
480,16,3.289553,L2 480 480 480 16 34 480,25884042240,1725602816,7.86,524.56,36.88,62.96,8.65,19.56,19.53,170374817.00,145129813.00,71.61,39.09,315504630.00
490,16,3.403976,L2 490 490 490 16 33 490,27549901440,1836660096,8.09,539.56,36.16,61.71,8.68,20.23,20.21,182425108.00,154405648.00,70.39,40.44,336830756.00
500,16,3.643777,L2 500 500 500 16 32 500,29285744640,1952382976,8.03,535.81,36.16,69.86,8.71,19.45,19.43,192719565.00,164146924.00,78.57,38.88,356866489.00
510,8,2.193535,L2 510 510 510 16 32 510,15546505920,1036433728,7.08,472.49,41.68,64.35,8.68,19.52,19.50,102666434.00,87104767.00,73.03,39.02,189771201.00
520,8,2.102463,L2 520 520 520 16 31 520,16486571520,1099104768,7.83,522.76,37.60,80.26,8.71,19.53,19.51,108650484.00,92380919.00,88.97,39.04,201031403.00
530,8,2.310273,L2 530 530 530 16 30 530,17463789120,1164252608,7.55,503.94,38.40,80.76,8.70,20.28,20.27,116290852.00,97833294.00,89.46,40.55,214124146.00
540,8,2.367618,L2 540 540 540 16 30 540,18478878720,1231925248,7.80,520.32,37.60,80.92,8.69,19.62,19.60,122264310.00,103511905.00,89.61,39.22,225776215.00
550,8,2.505341,L2 550 550 550 16 29 550,19532560320,1302170688,7.79,519.75,37.60,80.69,8.67,19.51,19.49,129674590.00,109360063.00,89.36,39.00,239034653.00
560,8,2.746907,L2 560 560 560 16 29 560,20625553920,1375036928,7.50,500.57,39.12,80.24,8.66,20.53,20.50,137763134.00,115522512.00,88.90,41.03,253285646.00
570,8,2.769173,L2 570 570 570 16 28 570,21758579520,1450571968,7.85,523.82,36.88,80.67,8.65,19.52,19.51,144481234.00,121806740.00,89.32,39.03,266287974.00
580,8,2.914047,L2 580 580 580 16 28 580,22932357120,1528823808,7.86,524.63,36.88,80.70,8.65,19.63,19.62,151433360.00,128392199.00,89.35,39.25,279825559.00
590,8,3.051208,L2 590 590 590 16 27 590,24147606720,1609840448,7.91,527.60,36.88,80.63,8.63,19.56,19.53,160834188.00,135132706.00,89.26,39.09,295966894.00
600,8,3.216928,L2 600 600 600 16 27 600,25405048320,1693669888,7.89,526.48,36.88,80.66,8.62,19.71,19.69,169918927.00,142205641.00,89.28,39.40,312124568.00
610,8,3.486866,L2 610 610 610 16 26 610,26705401920,1780360128,7.65,510.59,37.60,80.62,8.61,19.85,19.84,178383213.00,149439009.00,89.23,39.69,327822222.00
620,8,3.643988,L2 620 620 620 16 26 620,28049387520,1869959168,7.69,513.16,37.60,80.73,8.60,19.75,19.73,187324150.00,156975849.00,89.33,39.48,344299999.00
630,8,3.776853,L2 630 630 630 16 26 630,29437725120,1962515008,7.79,519.61,37.60,80.60,8.59,19.94,19.93,197425791.00,164690614.00,89.19,39.87,362116405.00
640,4,2.131700,L2 640 640 640 16 25 640,15435567360,1029037824,7.23,482.72,40.80,78.66,8.55,19.64,19.62,102654131.00,86378375.00,87.21,39.26,189032506.00
650,4,2.075271,L2 650 650 650 16 25 650,16175168160,1078344544,7.79,519.61,37.60,80.58,8.57,19.74,19.72,108212121.00,90460286.00,89.15,39.46,198672407.00
660,4,2.123970,L2 660 660 660 16 24 660,16938024960,1129201664,7.97,531.64,36.88,80.78,8.57,20.09,20.07,112681050.00,94763248.00,89.35,40.16,207444298.00
670,4,2.252962,L2 670 670 670 16 24 670,17724497760,1181633184,7.86,524.47,36.88,80.59,8.55,19.81,19.79,118101778.00,99122447.00,89.14,39.60,217224225.00
680,4,2.316870,L2 680 680 680 16 24 680,18534946560,1235663104,7.99,533.33,36.16,80.74,8.55,20.02,20.00,124672531.00,103672638.00,89.29,40.02,228345169.00
690,4,2.454661,L2 690 690 690 16 23 690,19369731360,1291315424,7.88,526.06,36.88,80.56,8.54,19.92,19.89,129202462.00,108291391.00,89.10,39.81,237493853.00
700,4,2.567264,L2 700 700 700 16 23 700,20229212160,1348614144,7.87,525.31,36.88,80.70,8.54,19.89,19.87,135317847.00,113094983.00,89.24,39.76,248412830.00
710,4,2.657165,L2 710 710 710 16 23 710,21113748960,1407583264,7.94,529.72,36.88,80.55,8.52,19.98,19.96,141734826.00,118025405.00,89.07,39.94,259760231.00
720,4,2.937932,L2 720 720 720 16 22 720,22023701760,1468246784,7.49,499.75,39.12,81.05,8.52,20.83,20.79,148612635.00,123168931.00,89.57,41.62,271781566.00
730,4,2.946182,L2 730 730 730 16 22 730,22959430560,1530628704,7.78,519.52,37.60,80.54,8.51,19.90,19.88,153387622.00,128331319.00,89.05,39.78,281718941.00
740,4,2.989701,L2 740 740 740 16 22 740,23921295360,1594753024,8.00,533.41,36.16,80.67,8.51,19.86,19.84,160214789.00,133731141.00,89.18,39.70,293945930.00
750,4,3.087026,L2 750 750 750 16 21 750,24909656160,1660643744,8.06,537.94,36.16,80.53,8.50,19.87,19.85,166971937.00,139201314.00,89.03,39.72,306173251.00
760,4,3.284380,L2 760 760 760 16 21 760,25924872960,1728324864,7.89,526.22,36.88,80.72,8.50,20.36,20.34,175021775.00,144917357.00,89.22,40.70,319939132.00
770,4,3.901892,L2 770 770 770 16 21 770,26967305760,1797820384,6.90,460.75,42.64,81.97,8.49,19.95,19.93,180617759.00,150676438.00,90.46,39.88,331294197.00
780,4,3.563018,L2 780 780 780 16 21 780,28037314560,1869154304,7.86,524.59,36.88,80.58,8.48,20.42,20.40,189102782.00,156673926.00,89.06,40.82,345776708.00
790,4,3.625556,L2 790 790 790 16 20 790,29135259360,1942350624,8.03,535.73,36.16,80.78,8.48,20.10,20.08,195377725.00,162790686.00,89.26,40.18,358168411.00
800,4,3.993869,L2 800 800 800 16 20 800,30261500160,2017433344,7.57,505.13,38.40,81.76,8.47,20.31,20.28,203271087.00,169119254.00,90.23,40.59,372390341.00
810,4,3.971157,L2 810 810 810 16 20 810,31416396960,2094426464,7.90,527.40,36.88,80.59,8.46,20.18,20.16,210162480.00,175524260.00,89.05,40.34,385686740.00
820,2,2.006916,L2 820 820 820 16 19 820,16300154880,1086676992,8.12,541.46,36.16,80.49,8.46,20.09,20.07,109481372.00,91060037.00,88.95,40.16,200541409.00
830,2,2.140194,L2 830 830 830 16 19 830,16906799280,1127119952,7.89,526.63,36.88,80.60,8.45,20.15,20.13,113494785.00,94433782.00,89.05,40.28,207928567.00
840,2,2.159362,L2 840 840 840 16 19 840,17528311680,1168554112,8.11,541.15,36.16,80.49,8.45,20.26,20.24,117929407.00,97931298.00,88.94,40.50,215860705.00
850,2,2.266991,L2 850 850 850 16 19 850,18164872080,1210991472,8.01,534.18,36.16,80.60,8.44,20.18,20.17,121895960.00,101449579.00,89.04,40.35,223345539.00
860,2,2.426018,L2 860 860 860 16 19 860,18816660480,1254444032,7.75,517.07,37.60,80.49,8.43,21.66,21.64,127661526.00,105112150.00,88.92,43.30,232773676.00
870,2,2.500089,L2 870 870 870 16 18 870,19483856880,1298923792,7.79,519.54,37.60,80.64,8.43,20.48,20.46,132126690.00,108819142.00,89.07,40.94,240945832.00
880,2,2.598973,L2 880 880 880 16 18 880,20166641280,1344442752,7.75,517.29,37.60,80.99,8.43,20.29,20.26,136827235.00,112648134.00,89.42,40.55,249475369.00
890,2,2.665466,L2 890 890 890 16 18 890,20865193680,1391012912,7.82,521.86,36.88,80.46,8.42,20.42,20.41,141087369.00,116520524.00,88.88,40.83,257607893.00
900,2,2.995266,L2 900 900 900 16 18 900,21579694080,1438646272,7.20,480.30,40.80,80.57,8.42,20.42,20.41,146363691.00,120532473.00,88.99,40.83,266896164.00
910,2,2.801744,L2 910 910 910 16 18 910,22310322480,1487354832,7.96,530.86,36.88,80.57,8.41,20.36,20.33,149752999.00,124576729.00,88.98,40.69,274329728.00
920,2,2.846290,L2 920 920 920 16 17 920,23057258880,1537150592,8.09,540.05,36.16,80.46,8.41,20.42,20.39,156332404.00,128772508.00,88.87,40.81,285104912.00
930,2,3.063323,L2 930 930 930 16 17 930,23820683280,1588045552,7.77,518.40,37.60,80.44,8.40,20.69,20.66,160944614.00,132990142.00,88.84,41.35,293934756.00
940,2,3.126501,L2 940 940 940 16 17 940,24600775680,1640051712,7.86,524.56,36.88,80.44,8.40,20.58,20.55,167454049.00,137348450.00,88.84,41.13,304802499.00
950,2,3.195194,L2 950 950 950 16 17 950,25397716080,1693181072,7.94,529.91,36.88,80.58,8.39,20.55,20.54,171666806.00,141777810.00,88.97,41.09,313444616.00
960,2,3.581276,L2 960 960 960 16 17 960,26211684480,1747445632,7.31,487.93,40.00,81.66,8.39,20.43,20.40,178810410.00,146366673.00,90.05,40.83,325177083.00
970,2,3.476500,L2 970 970 970 16 16 970,27042860880,1802857392,7.77,518.58,37.60,80.42,8.39,20.62,20.60,184655975.00,150959053.00,88.81,41.22,335615028.00
980,2,3.734410,L2 980 980 980 16 16 980,27891425280,1859428352,7.46,497.91,39.12,80.43,8.38,20.91,20.89,187927204.00,155739766.00,88.81,41.80,343666970.00
990,2,3.695403,L2 990 990 990 16 16 990,28757557680,1917170512,7.77,518.79,37.60,80.46,8.38,20.83,20.81,194729301.00,160528212.00,88.84,41.64,355257513.00
1000,2,3.658174,L2 1000 1000 1000 16 16 1000,29641438080,1976095872,8.10,540.18,36.16,80.54,8.38,20.52,20.49,200007873.00,165492945.00,88.92,41.01,365500818.00
1010,2,4.046218,L2 1010 1010 1010 16 16 1010,30543246480,2036216432,7.54,503.23,38.40,80.71,8.39,20.50,20.48,207970539.00,170477290.00,89.10,40.98,378447829.00
1020,2,4.458203,L2 1020 1020 1020 16 16 1020,31463162880,2097544192,7.05,470.49,41.68,81.90,8.38,21.28,21.25,213976155.00,175685931.00,90.28,42.53,389662086.00
1030,2,4.314538,L2 1030 1030 1030 16 15 1030,32401367280,2160091152,7.50,500.65,38.40,81.08,8.38,20.67,20.65,221267536.00,180819139.00,89.46,41.32,402086675.00
1040,2,4.338645,L2 1040 1040 1040 16 15 1040,33358039680,2223869312,7.68,512.57,37.60,81.20,8.37,20.68,20.65,227539548.00,186221959.00,89.57,41.33,413761507.00
1050,2,4.363407,L2 1050 1050 1050 16 15 1050,34333360080,2288890672,7.86,524.56,36.88,80.46,8.36,20.60,20.58,232785293.00,191578339.00,88.82,41.18,424363632.00
1060,2,4.444325,L2 1060 1060 1060 16 15 1060,35327508480,2355167232,7.94,529.92,36.88,80.63,8.35,21.21,21.19,238382218.00,197161003.00,88.98,42.40,435543221.00
1070,2,4.571155,L2 1070 1070 1070 16 15 1070,36340664880,2422710992,7.94,529.99,36.88,80.42,8.35,20.75,20.73,245597047.00,202770072.00,88.77,41.48,448367119.00
1080,2,4.703368,L2 1080 1080 1080 16 15 1080,37373009280,2491533952,7.94,529.73,36.88,80.56,8.35,21.52,21.50,254324583.00,208619839.00,88.91,43.02,462944422.00
1090,2,5.026857,L2 1090 1090 1090 16 15 1090,38424721680,2561648112,7.64,509.59,38.40,80.58,8.34,20.83,20.81,260879960.00,214395899.00,88.92,41.64,475275859.00
1100,2,4.972309,L2 1100 1100 1100 16 14 1100,39495982080,2633065472,7.94,529.54,36.88,80.56,8.34,20.97,20.94,268990911.00,220433647.00,88.90,41.91,489424558.00
1110,2,5.067067,L2 1110 1110 1110 16 14 1110,40586970480,2705798032,8.00,533.99,36.16,80.43,8.34,20.68,20.66,278637065.00,226447984.00,88.77,41.34,505085049.00
1120,2,5.459544,L2 1120 1120 1120 16 14 1120,41697866880,2779857792,7.63,509.17,38.40,81.62,8.34,20.85,20.82,283530892.00,232710252.00,89.96,41.67,516241144.00
1130,2,5.424077,L2 1130 1130 1130 16 14 1130,42828851280,2855256752,7.89,526.40,36.88,80.44,8.34,20.72,20.70,293843105.00,238932030.00,88.78,41.42,532775135.00
1140,2,5.529759,L2 1140 1140 1140 16 14 1140,43980103680,2932006912,7.95,530.22,36.88,80.60,8.33,20.78,20.75,299875631.00,248030534.00,88.93,41.53,547906165.00
1150,2,6.008358,L2 1150 1150 1150 16 14 1150,45151804080,3010120272,7.51,500.98,38.40,80.93,8.33,21.11,21.09,312083150.00,257765645.00,89.26,42.20,569848795.00
