,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,32.45,1298.00,CPU bound,32.45,1298.00,,1297.29,472.58,29.6,14.0,0.0,0.0,0.0,29.6 ,29.6,14.0,0.0,0.0,0.0,29.6 ,81.26,62.5,36.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,32.45,1298.00,CPU bound,32.45,1298.00,,1296.75,795.61,29.6,14.0,4.5,0.0,0.0,29.6 ,29.6,14.0,3.0,0.0,0.0,29.6 ,48.26,23.1,29.0,4.3,0.0,0.0,24.80,10.00,34.80,0,0,0,0,0,0,25.25,10.37,35.62,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,32.45,1298.00,CPU bound,32.45,1298.00,,1296.75,812.57,29.6,14.0,3.8,0.0,0.0,29.6 ,29.6,14.0,3.0,0.0,0.0,29.6 ,47.26,25.7,26.9,4.1,0.0,0.0,23.68,9.44,33.12,0,0,0,0,0,0,21.37,9.37,30.74,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,32.45,1298.00,CPU bound,32.45,1298.00,,1297.29,886.97,29.6,14.0,6.4,0.0,0.0,29.6 ,29.6,14.0,7.0,0.0,0.0,29.6 ,43.29,22.7,22.2,7.0,0.0,0.0,47.28,8.96,56.24,0,0,0,0,0,0,42.37,8.87,51.24,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
50,31.15,1246.00,CPU bound,32.45,1298.00,,1297.29,1000.94,29.6,14.0,7.7,0.0,0.0,29.6 ,29.6,14.0,7.0,0.0,0.0,29.6 ,38.36,21.1,19.6,7.8,4.3,0.0,53.68,8.72,62.40,4.32,4.32,8.64,0,0,0,53.12,8.75,61.87,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
60,31.68,1267.20,CPU bound,32.45,1298.00,,1296.75,1072.63,29.6,14.0,7.6,9.4,0.0,31.0 ,29.6,14.0,7.0,8.0,0.0,29.6 ,35.80,19.9,17.4,7.6,18.2,0.0,52.56,8.56,61.12,18.16,18.16,36.32,.08,0,.08,52.25,8.62,60.87,18.87,9.00,27.87,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
70,32.11,1284.40,CPU bound,32.45,1298.00,,1296.75,1012.51,29.6,14.0,7.5,9.5,0.0,31.0 ,29.6,14.0,7.0,8.0,0.0,29.6 ,37.93,21.3,18.4,7.6,18.5,0.0,51.92,8.48,60.40,18.48,18.48,36.96,0,0,0,51.50,8.50,60.00,19.00,9.00,28.00,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
80,32.45,1298.00,CPU bound,32.45,1298.00,,1296.75,1029.87,29.6,14.0,7.4,9.6,0.0,31.0 ,29.6,14.0,7.0,8.0,0.0,29.6 ,37.29,20.9,17.3,7.5,18.1,0.0,51.68,8.48,60.16,18.16,18.16,36.32,0,0,0,51.00,8.37,59.37,19.25,8.87,28.12,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
