,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,17.30,467.56,CPU bound,17.30,467.56,,467.15,201.20,41.1,22.2,0.0,0.0,0.0,41.1 ,41.1,22.2,0.0,0.0,0.0,41.1 ,95.43,45.6,62.8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,17.30,467.56,CPU bound,17.30,467.56,,467.15,276.46,41.1,22.2,5.5,0.0,0.0,41.1 ,41.1,22.2,3.0,0.0,0.0,41.1 ,69.45,39.5,38.8,6.5,0.0,0.0,40.00,11.68,51.68,0,0,0,0,0,0,32.75,11.62,44.37,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,15.67,423.51,CPU bound,17.30,467.56,,467.15,358.44,41.1,22.2,11.5,0.0,0.0,41.1 ,41.1,22.2,9.0,0.0,0.0,41.1 ,53.56,30.9,28.1,11.7,0.0,0.0,83.76,10.24,94.00,0,0,0,0,0,0,81.87,10.00,91.87,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
40,16.67,450.54,CPU bound,17.30,467.56,,467.15,334.82,41.1,22.2,10.8,0.0,0.0,41.1 ,41.1,22.2,9.0,0.0,0.0,41.1 ,57.34,33.3,29.3,10.9,1.9,0.0,78.00,9.52,87.52,1.84,1.84,3.68,0,0,0,76.87,9.37,86.24,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
50,17.30,467.56,CPU bound,17.30,467.56,,467.15,383.94,41.1,22.2,10.4,10.3,0.0,42.9 ,41.1,22.2,9.0,8.0,0.0,41.1 ,50.01,30.1,25.7,10.4,19.9,0.0,74.32,9.12,83.44,19.92,19.92,39.84,.08,0,.08,74.00,9.12,83.12,20.62,9.12,29.74,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
60,17.30,467.56,CPU bound,17.30,467.56,,467.15,349.60,41.1,22.2,10.1,10.2,0.0,42.5 ,41.1,22.2,9.0,8.0,0.0,41.1 ,54.92,31.8,26.9,10.2,20.1,0.0,72.96,8.96,81.92,20.16,20.08,40.24,.08,0,.08,72.25,8.87,81.12,20.37,8.87,29.24,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
70,17.30,467.56,CPU bound,17.30,467.56,,467.15,389.20,41.1,22.2,9.9,10.2,0.0,42.4 ,41.1,22.2,9.0,8.0,0.0,41.1 ,49.33,29.8,24.8,10.0,19.7,0.0,71.04,8.80,79.84,19.68,19.68,39.36,.08,0,.08,70.87,8.75,79.62,20.50,8.75,29.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
80,17.30,467.56,CPU bound,17.30,467.56,,467.15,349.08,41.1,22.2,9.8,10.4,0.0,42.4 ,41.1,22.2,9.0,8.0,0.0,41.1 ,55.00,31.2,25.9,10.1,19.3,0.0,71.76,8.80,80.56,19.36,19.28,38.64,.08,0,.08,69.87,8.62,78.49,20.87,8.62,29.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
