N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,,,,9.55,353.70,,353.38,278.97,,,,,,,52.0,28.0,0.0,0.0,0.0,52.0 ,65.96,590.40,0,0,0,0,0,0,0,0,.08,0,.08
20,9.55,353.70,,9.55,353.70,,353.38,218.42,52.0,28.0,7.0,0.0,0.0,52.0 ,52.0,28.0,6.0,0.0,0.0,52.0 ,84.24,678.24,20.08,9.12,29.20,20.08,0,0,0,0,.08,0,.08
30,9.55,353.70,,9.55,353.70,,353.38,282.60,52.0,28.0,6.0,7.0,0.0,52.0 ,52.0,28.0,6.0,6.0,0.0,52.0 ,65.11,474.24,20.96,8.72,29.68,20.96,19.04,7.60,26.64,19.04,.08,0,.08
40,9.55,353.70,,9.55,353.70,,353.38,245.88,52.0,28.0,10.7,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,74.83,547.92,35.12,8.48,43.60,35.12,18.24,8.48,26.72,18.24,.08,0,.08
50,9.55,353.70,,9.55,353.70,,353.38,285.09,52.0,28.0,10.0,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,64.54,456.40,34.48,8.40,42.88,34.48,17.92,8.32,26.24,17.92,.08,0,.08
60,9.55,353.70,,9.55,353.70,,353.38,269.98,52.0,28.0,10.0,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,68.15,507.84,34.00,8.32,42.32,34.00,18.32,8.24,26.56,18.32,.08,0,.08
70,9.55,353.70,,9.55,353.70,,353.38,289.71,52.0,28.0,10.0,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,63.51,449.12,33.68,8.24,41.92,33.68,19.04,8.24,27.28,19.04,.08,0,.08
80,9.55,353.70,,9.55,353.70,,353.38,268.99,52.0,28.0,10.0,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,68.40,488.32,34.48,8.24,42.72,34.48,22.40,8.24,30.64,22.40,.08,0,.08
90,9.55,353.70,,9.55,353.70,,353.38,262.26,52.0,28.0,10.0,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,70.16,445.20,33.44,8.24,41.68,33.44,25.84,8.16,34.00,25.84,.08,.08,.16
100,9.55,353.70,,9.55,353.70,,353.38,279.58,52.0,28.0,10.0,10.0,0.0,52.0 ,52.0,28.0,10.0,10.0,0.0,52.0 ,65.81,476.80,33.20,8.16,41.36,33.20,29.92,8.16,38.08,29.92,.32,.16,.48
110,9.55,353.70,,9.55,353.70,,353.38,288.95,52.0,28.0,10.0,8.0,0.0,52.0 ,52.0,28.0,10.0,10.0,0.0,52.0 ,63.68,442.72,33.12,8.16,41.28,33.12,32.40,8.16,40.56,32.40,3.44,2.32,5.76
120,9.55,353.70,,9.55,353.70,,295.90,270.30,52.0,28.0,10.0,10.0,8.2,56.2 ,52.0,28.0,10.0,10.0,14.1,62.1 ,68.07,469.20,33.04,8.16,41.20,33.04,33.04,8.16,41.20,33.04,9.68,5.76,15.44
