N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,2097152,2.819410,L2 10 10 10 16 307 10
L3 10 10 10 16 32440 10,2952790016,134217728,1.04,47.60,460.00,0,0,0,0,0,0,0,0,0
20,262144,3.070207,L2 20 20 20 16 153 20
L3 20 20 20 16 16220 20,15825108992,719323136,5.15,234.29,80.00,0,0,0,0,0,0,0,0,0
30,65536,2.673264,L2 30 30 30 16 102 30
L3 30 30 30 16 10813 30,19931332608,905969664,7.45,338.89,55.68,0,0,0,0,0,0,0,0,0
40,32768,2.772109,L2 40 40 40 16 76 40
L3 40 40 40 16 8110 40,28334096384,1287913472,10.21,464.59,40.00,0,0,0,0,0,0,0,0,0
50,16384,2.769941,L2 50 50 50 16 61 50
L3 50 50 50 16 6488 50,30704402432,1395654656,11.08,503.85,36.80,0,0,0,0,0,0,0,0,0
60,8192,2.216307,L2 60 60 60 16 51 60
L3 60 60 60 16 5406 60,28378791936,1289945088,12.80,582.02,32.24,0,0,0,0,0,0,0,0,0
70,8192,3.370736,L2 70 70 70 16 43 70
L3 70 70 70 16 4634 70,47244640256,2147483648,14.01,637.09,29.20,0,0,0,0,0,0,0,0,0
80,4096,2.495840,L2 80 80 80 16 38 80
L3 80 80 80 16 4055 80,36515545088,1659797504,14.62,665.02,27.84,0,0,0,0,0,0,0,0,0
90,4096,3.626885,L2 90 90 90 16 34 90
L3 90 90 90 16 3604 90,53409742848,2427715584,14.72,669.36,27.84,0,0,0,0,0,0,0,0,0
100,2048,2.386523,L2 100 100 100 16 30 100
L3 100 100 100 16 3244 100,37422792704,1701036032,15.67,712.76,25.84,0,0,0,0,0,0,0,0,0
110,2048,3.466857,L2 110 110 110 16 27 110
L3 110 110 110 16 2949 110,50681872384,2303721472,14.61,664.49,27.84,0,0,0,0,0,0,0,0,0
120,1024,2.767418,L2 120 120 120 16 25 120
L3 120 120 120 16 2703 120,33376223232,1517101056,12.05,548.20,34.00,0,0,0,0,0,0,0,0,0
130,512,2.133362,L2 130 130 130 16 23 130
L3 130 130 130 16 2495 130,21476212736,976191488,10.06,457.58,40.88,0,0,0,0,0,0,0,0,0
140,512,2.765842,L2 140 140 140 16 21 140
L3 140 140 140 16 2317 140,27102355456,1231925248,9.79,445.40,41.76,0,0,0,0,0,0,0,0,0
150,512,3.434367,L2 150 150 150 16 20 150
