,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
140,8.59,390.45,0.29,9.03,410.45,0.31,254.16,234.59,30.0,22.2,18.9,18.9,15.0,75.1 ,30.0,22.2,18.0,18.0,14.1,72.3 ,78.44,31.7,24.1,18.9,19.0,15.2,67.36,8.40,75.76,67.68,8.32,76.00,17.44,8.40,25.84,67.25,8.37,75.62,67.25,8.37,75.62,17.12,8.37,25.49,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
150,8.63,392.27,0.29,9.03,410.45,0.31,254.16,236.01,30.0,22.2,18.8,18.8,14.9,74.8 ,30.0,22.2,18.0,18.0,14.1,72.3 ,77.96,30.4,22.6,19.0,18.9,15.3,67.76,8.40,76.16,67.44,8.32,75.76,17.52,8.40,25.92,67.00,8.37,75.37,67.00,8.37,75.37,17.00,8.37,25.37,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
160,8.65,393.18,0.29,9.03,410.45,0.31,254.16,216.88,30.0,22.2,18.8,18.8,14.7,74.5 ,30.0,22.2,18.0,18.0,14.1,72.3 ,84.84,31.7,23.8,20.9,18.9,15.2,74.88,8.64,83.52,67.20,8.32,75.52,17.44,8.32,25.76,66.75,8.25,75.00,66.75,8.25,75.00,16.87,8.12,24.99,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
170,8.67,394.09,0.29,9.03,410.45,0.31,254.16,242.74,30.0,22.2,18.7,18.7,14.9,74.6 ,30.0,22.2,18.0,18.0,14.1,72.3 ,75.80,30.5,22.6,18.8,18.8,15.1,66.96,8.40,75.36,66.96,8.32,75.28,17.36,8.32,25.68,66.62,8.25,74.87,66.62,8.25,74.87,16.87,8.37,25.24,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
180,8.70,395.45,0.29,9.03,410.45,0.31,254.16,234.10,30.0,22.2,18.7,18.7,14.8,74.3 ,30.0,22.2,18.0,18.0,14.1,72.3 ,78.60,31.5,23.6,18.9,18.8,15.1,67.52,8.32,75.84,66.80,8.24,75.04,17.28,8.32,25.60,66.50,8.25,74.75,66.50,8.25,74.75,16.75,8.25,25.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
190,8.71,395.90,0.29,9.03,410.45,0.31,254.16,242.84,30.0,22.2,18.7,18.7,14.8,74.3 ,30.0,22.2,18.0,18.0,14.1,72.3 ,75.77,30.4,22.5,19.0,18.7,15.0,67.76,8.32,76.08,66.64,8.24,74.88,17.20,8.32,25.52,66.37,8.25,74.62,66.37,8.25,74.62,16.75,8.25,25.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
200,8.72,396.36,0.30,9.03,410.45,0.31,254.16,229.35,30.0,22.2,18.6,18.6,14.7,74.2 ,30.0,22.2,18.0,18.0,14.1,72.3 ,80.23,31.4,23.5,19.1,18.7,15.0,68.00,8.24,76.24,66.48,8.24,74.72,17.20,8.32,25.52,66.25,8.25,74.50,66.25,8.25,74.50,16.75,8.25,25.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
210,8.75,397.72,0.30,9.03,410.45,0.31,254.16,248.26,30.0,22.2,18.6,18.6,15.0,74.4 ,30.0,22.2,18.0,18.0,14.1,72.3 ,74.12,30.4,22.5,19.4,18.6,15.0,69.20,8.24,77.44,66.32,8.24,74.56,17.12,8.24,25.36,66.12,8.25,74.37,66.12,8.25,74.37,16.62,8.87,25.49,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
220,8.76,398.18,0.30,9.03,410.45,0.31,254.16,233.91,30.0,22.2,18.6,18.5,14.6,73.9 ,30.0,22.2,18.0,18.0,14.1,72.3 ,78.66,31.2,23.3,19.8,18.6,14.9,71.12,8.24,79.36,66.24,8.24,74.48,17.04,8.24,25.28,66.00,8.25,74.25,66.00,8.12,74.12,16.62,8.12,24.74,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
230,8.77,398.63,0.30,9.03,410.45,0.31,254.16,244.97,30.0,22.2,18.5,18.5,14.6,73.9 ,30.0,22.2,18.0,18.0,14.1,72.3 ,75.11,30.3,22.4,19.9,18.6,14.9,71.12,8.48,79.60,66.16,8.24,74.40,17.04,8.24,25.28,65.87,8.25,74.12,65.87,8.25,74.12,16.62,8.25,24.87,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
240,8.78,399.09,0.30,9.03,410.45,0.31,254.16,231.51,30.0,22.2,18.5,18.5,14.6,73.9 ,30.0,22.2,18.0,18.0,14.1,72.3 ,79.48,31.1,23.2,21.0,18.6,14.9,75.76,8.40,84.16,66.08,8.24,74.32,17.04,8.24,25.28,65.87,8.25,74.12,65.87,8.25,74.12,16.62,8.25,24.87,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
250,8.78,399.09,0.30,9.03,410.45,0.31,254.16,245.19,30.0,22.2,18.5,18.5,14.7,73.9 ,30.0,22.2,18.0,18.0,14.1,72.3 ,75.04,30.3,22.4,20.1,18.5,14.8,72.00,8.40,80.40,66.00,8.16,74.16,16.96,8.24,25.20,65.87,8.25,74.12,65.87,8.25,74.12,16.62,8.25,24.87,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
260,8.81,400.45,0.30,9.03,410.45,0.31,254.16,230.99,30.0,22.2,18.5,18.5,14.6,73.7 ,30.0,22.2,18.0,18.0,14.1,72.3 ,79.66,31.0,23.1,20.4,18.5,14.8,73.12,8.32,81.44,65.92,8.16,74.08,16.96,8.24,25.20,65.62,8.25,73.87,65.62,8.25,73.87,16.50,8.25,24.75,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
270,8.82,400.90,0.30,9.03,410.45,0.31,254.16,244.30,30.0,22.2,18.4,18.4,14.5,73.6 ,30.0,22.2,18.0,18.0,14.1,72.3 ,75.32,30.3,22.3,20.9,18.5,14.8,75.28,8.40,83.68,65.76,8.16,73.92,16.88,8.24,25.12,65.62,8.12,73.74,65.62,8.12,73.74,16.50,8.12,24.62,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
