,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
10,,,,9.55,353.70,,353.69,273.23,,,,,,,52.0,28.0,0.0,0.0,0.0,52.0 ,67.34,590.40,0,0,0,0,0,0,0,0,0,0,0
20,9.55,353.70,,9.55,353.70,,353.84,230.89,52.0,28.0,7.0,0.0,0.0,52.0 ,52.0,28.0,6.0,0.0,0.0,52.0 ,79.69,678.24,20.08,8.88,28.96,20.08,.24,0,.24,.24,0,0,0
30,9.55,353.70,,9.55,353.70,,353.84,290.49,52.0,28.0,6.0,7.0,0.0,52.0 ,52.0,28.0,6.0,6.0,0.0,52.0 ,63.34,474.24,21.20,8.72,29.92,21.20,16.80,7.76,24.56,16.80,0,0,0
40,9.55,353.70,,9.55,353.70,,353.84,247.16,52.0,28.0,10.7,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,74.45,547.92,35.20,8.48,43.68,35.20,18.24,8.40,26.64,18.24,0,0,0
50,9.55,353.70,,9.55,353.70,,353.84,286.62,52.0,28.0,10.0,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,64.20,456.40,34.64,8.40,43.04,34.64,17.84,8.32,26.16,17.84,0,0,0
60,9.55,353.70,,9.55,353.70,,353.69,270.39,52.0,28.0,10.0,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,68.05,507.84,34.00,8.32,42.32,34.00,18.32,8.24,26.56,18.32,0,0,0
70,9.55,353.70,,9.55,353.70,,353.69,297.37,52.0,28.0,10.0,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,61.88,449.12,33.76,8.24,42.00,33.76,19.04,8.24,27.28,19.04,0,0,0
80,9.55,353.70,,9.55,353.70,,353.69,268.97,52.0,28.0,10.0,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,68.41,488.32,33.60,8.24,41.84,33.60,23.04,8.24,31.28,23.04,0,0,0
90,9.55,353.70,,9.55,353.70,,353.84,276.81,52.0,28.0,10.0,6.0,0.0,52.0 ,52.0,28.0,10.0,6.0,0.0,52.0 ,66.47,445.20,33.44,8.24,41.68,33.44,25.44,8.16,33.60,25.44,.48,.32,.80
