,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
10,,,,9.27,74.16,,74.19,29.72,,,,,,,248.0,166.0,0.0,0.0,0.0,248.0 ,619.10,6768.56,.56,.56,1.12,.56,0,0,0,0,.16,.16,.32
20,9.27,74.16,,9.27,74.16,,74.16,57.65,248.0,166.0,4.0,0.0,0.0,248.0 ,248.0,166.0,6.0,0.0,0.0,248.0 ,319.14,2814.64,27.28,10.00,37.28,27.28,3.68,0,3.68,3.68,.08,.08,.16
30,9.27,74.16,,9.27,74.16,,74.19,47.63,248.0,166.0,14.0,5.0,0.0,248.0 ,248.0,166.0,14.0,6.0,0.0,248.0 ,386.31,3596.32,57.76,9.36,67.12,57.76,22.00,8.80,30.80,22.00,.08,.08,.16
40,9.27,74.16,,9.27,74.16,,74.19,56.98,248.0,166.0,12.0,6.0,0.0,248.0 ,248.0,166.0,14.0,6.0,0.0,248.0 ,322.92,2724.88,58.88,9.04,67.92,58.88,21.84,8.88,30.72,21.84,.08,.08,.16
50,9.27,74.16,,9.27,74.16,,74.19,52.21,248.0,166.0,14.0,4.5,0.0,248.0 ,248.0,166.0,14.0,6.0,0.0,248.0 ,352.45,3171.60,58.00,8.88,66.88,58.00,21.60,8.64,30.24,21.60,.08,.08,.16
60,9.27,74.16,,9.27,74.16,,74.16,58.76,248.0,166.0,14.0,5.2,0.0,248.0 ,248.0,166.0,14.0,6.0,0.0,248.0 ,313.14,2684.00,56.24,8.64,64.88,56.24,23.44,8.56,32.00,23.44,.08,.08,.16
70,9.27,74.16,,9.27,74.16,,74.16,53.64,248.0,166.0,14.0,6.0,0.0,248.0 ,248.0,166.0,14.0,6.0,0.0,248.0 ,343.01,3025.84,54.48,8.64,63.12,54.48,30.80,8.48,39.28,30.80,.08,.08,.16
80,9.27,74.16,,9.27,74.16,,74.19,57.53,248.0,166.0,14.0,16.0,0.0,248.0 ,248.0,166.0,14.0,14.0,0.0,248.0 ,319.85,2688.32,54.40,8.64,63.04,54.40,44.16,8.48,52.64,44.16,.08,.08,.16
