,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,evict,load,total,access,evict,load,total,access,evict,load,total
10,,,,8.8,676.923076923077,,676.923076923077,123.64,,,,,,,26,25,0,0,0,26,142.35,137.15,0,0,0,0,0,0,0,0,0.24,0.24,0.48
20,8.8,676.923076923077,,8.8,676.923076923077,,567.741935483871,237.27,26,25,6,0,0,31,26,25,6,0,0,31,74.18,591.92,10.24,26,36.24,26,0,0,0,0,0.16,0.16,0.32
30,6.64,510.769230769231,0.23,6.64,510.769230769231,0.23,391.111111111111,261.36,26,25,14,7,0,46,26,25,14,6,0,45,67.34,437.28,9.36,50,59.36,50,6.4,17.28,23.68,17.28,0.16,0.16,0.32
40,5.92,455.384615384615,0.41,6.64,510.769230769231,0.23,391.111111111111,215.21,26,25,16.7,8,0,49.7,26,25,14,6,0,45,81.78,434.56,8.96,54.8,63.76,54.8,8.8,21.12,29.92,21.12,0.16,0.16,0.32
50,6.64,510.769230769231,0.23,6.64,510.769230769231,0.23,391.111111111111,280.2,26,25,14,6,0,45,26,25,14,6,0,45,62.81,403.28,8.72,53.28,62,53.28,8.56,21.6,30.16,21.6,0.16,0.16,0.32
60,6.64,510.769230769231,0.23,6.64,510.769230769231,0.23,391.111111111111,265.76,26,25,14,5.2,0,44.2,26,25,14,6,0,45,66.23,402.64,8.64,52.64,61.28,52.64,8.48,26.08,34.56,26.08,0.16,0.16,0.32
70,6.64,510.769230769231,0.23,6.64,510.769230769231,0.23,391.111111111111,281.59,26,25,14,4,0,43,26,25,14,6,0,45,62.5,370.72,8.48,51.68,60.16,51.68,8.4,26.88,35.28,26.88,0.16,0.16,0.32
80,3.79,291.538461538462,0.27,3.25,250,0.23,332.075471698113,227.14,26,25,14,12,0,51,26,25,14,14,0,53,77.48,378.32,8.56,53.68,62.24,53.68,8.4,42,50.4,42,0.16,0.16,0.32
90,3.25,250,0.23,3.25,250,0.23,332.075471698113,283.32,26,25,14,14,0,53,26,25,14,14,0,53,62.12,368.16,8.4,50.8,59.2,50.8,8.32,48.16,56.48,48.16,0.16,0.16,0.32
100,2.97,228.461538461538,0.27,3.25,250,0.23,332.075471698113,279.12,26,25,14,12,0,51,26,25,14,14,0,53,63.05,371.44,8.32,50.48,58.8,50.48,8.24,50.24,58.48,50.24,0.08,0.16,0.24
110,2.88,221.538461538461,0.21,3.25,250,0.23,332.075471698113,284.17,26,25,14,15.8,0,54.8,26,25,14,14,0,53,61.93,354.56,8.32,50.24,58.56,50.24,8.24,49.84,58.08,49.84,0.4,0.48,0.88
120,3.25,250,0.23,3.25,250,0.23,275.862068965517,229.06,26,25,14,14,0,53,26,25,14,14,10.8,63.8,76.84,360.96,8.32,50.08,58.4,50.08,8.24,50.4,58.64,50.4,4.56,6.24,10.8
130,3.25,250,0.23,3.25,250,0.23,275.862068965517,264.9,26,25,14,14,14,67,26,25,14,14,10.8,63.8,66.44,355.36,8.4,50.24,58.64,50.24,8.16,49.52,57.68,49.52,8.08,13.44,21.52
140,3.25,250,0.23,3.25,250,0.23,275.862068965517,272.34,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,64.63,358.64,8.24,49.92,58.16,49.92,8,49.12,57.12,49.12,8.4,16.88,25.28
150,3.25,250,0.23,3.25,250,0.23,275.862068965517,273.08,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,64.45,347.28,8.24,49.68,57.92,49.68,8,48.72,56.72,48.72,8.32,17.12,25.44
160,3.25,250,0.23,3.25,250,0.23,275.862068965517,218.89,26,25,14,14,7.5,60.5,26,25,14,14,10.8,63.8,80.41,352.48,8.4,51.12,59.52,51.12,8.16,49.6,57.76,49.6,8.4,17.04,25.44
170,3.25,250,0.23,3.25,250,0.23,275.862068965517,277.75,26,25,14,14,7.5,60.5,26,25,14,14,10.8,63.8,63.37,348.8,8.24,49.44,57.68,49.44,7.84,48.32,56.16,48.32,8.32,16.96,25.28
180,3.25,250,0.23,3.25,250,0.23,275.862068965517,275.73,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,63.83,351.68,8.24,49.36,57.6,49.36,7.92,48.64,56.56,48.64,8.32,16.88,25.2
190,3.25,250,0.23,3.25,250,0.23,275.862068965517,272.09,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,64.69,343.12,8.16,49.28,57.44,49.28,7.84,48.24,56.08,48.24,8.32,16.88,25.2
200,3.25,250,0.23,3.25,250,0.23,275.862068965517,222.86,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,78.97,347.52,8.16,49.2,57.36,49.2,8.08,49.12,57.2,49.12,8.32,16.88,25.2
210,3.25,250,0.23,3.25,250,0.23,275.862068965517,281.78,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,62.46,344.72,8.16,49.12,57.28,49.12,7.92,48.08,56,48.08,8.24,16.8,25.04
220,3.25,250,0.23,3.25,250,0.23,275.862068965517,281.85,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,62.45,347.28,8.16,49.12,57.28,49.12,7.92,48.08,56,48.08,8.24,16.72,24.96
230,3.25,250,0.23,3.25,250,0.23,275.862068965517,274.06,26,25,14,14,7.5,60.5,26,25,14,14,10.8,63.8,64.22,340.4,8.16,49.12,57.28,49.12,7.84,47.84,55.68,47.84,8.24,16.72,24.96
240,3.25,250,0.23,3.25,250,0.23,275.862068965517,223.56,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,78.73,344.16,8.24,50.88,59.12,50.88,8.08,48.96,57.04,48.96,8.32,16.72,25.04
250,3.25,250,0.23,3.25,250,0.23,275.862068965517,273.7,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,64.3,342,8.32,49.44,57.76,49.44,7.92,48,55.92,48,8.24,16.72,24.96
260,2.24,172.307692307692,0.2,3.25,250,0.23,275.862068965517,266.67,26,25,14,14,28.9,81.9,26,25,14,14,10.8,63.8,66,344.32,8.32,51.52,59.84,51.52,7.92,48.24,56.16,48.24,8.24,16.64,24.88
270,2.24,172.307692307692,0.2,3.25,250,0.23,275.862068965517,276.92,26,25,14,14,28.9,81.9,26,25,14,14,10.8,63.8,63.56,338.56,8.16,49.44,57.6,49.44,7.84,47.68,55.52,47.68,8.24,16.64,24.88
280,3.25,250,0.23,3.25,250,0.23,275.862068965517,233.63,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,75.33,341.84,8.16,49.28,57.44,49.28,8.08,48.8,56.88,48.8,8.24,16.64,24.88
290,3.25,250,0.23,3.25,250,0.23,275.862068965517,278.7,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,63.15,340.08,8.16,49.12,57.28,49.12,7.84,47.84,55.68,47.84,8.24,16.64,24.88
300,3.25,250,0.23,3.25,250,0.23,275.862068965517,277.08,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,63.52,342.08,8.16,49.04,57.2,49.04,7.84,47.84,55.68,47.84,8.24,16.56,24.8
310,3.25,250,0.23,3.25,250,0.23,275.862068965517,275.94,26,25,14,14,7.5,60.5,26,25,14,14,10.8,63.8,63.78,337.2,8.16,49.12,57.28,49.12,7.84,47.6,55.44,47.6,8.24,16.56,24.8
320,3.25,250,0.23,3.25,250,0.23,275.862068965517,230.23,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,76.45,340.08,8.4,59.28,67.68,59.28,8,49.04,57.04,49.04,8.24,16.56,24.8
330,3.25,250,0.23,3.25,250,0.23,275.862068965517,277.59,26,25,14,14,7.5,60.5,26,25,14,14,10.8,63.8,63.4,338.56,8.24,49.12,57.36,49.12,7.76,47.44,55.2,47.44,8.24,16.56,24.8
340,3.25,250,0.23,3.25,250,0.23,275.862068965517,278.98,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,63.09,340.4,8.24,49.6,57.84,49.6,7.76,47.76,55.52,47.76,8.24,16.56,24.8
350,3.25,250,0.23,3.25,250,0.23,275.862068965517,274.32,26,25,14,14,10.8,63.8,26,25,14,14,10.8,63.8,64.16,336.16,8.16,56.56,64.72,56.56,7.76,47.28,55.04,47.28,8.24,16.56,24.8
