,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
130,8.63,392.27,0.29,9.09,413.18,0.31,246.21,223.47,30.1,22.2,19.0,19.0,17.6,77.7 ,30.1,22.2,18.0,18.0,16.5,74.7 ,82.34,70.40,8.72,79.12,67.84,8.40,76.24,17.60,8.40,26.00,67.50,8.37,75.87,67.50,8.37,75.87,17.12,8.37,25.49,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
140,8.67,394.09,0.29,9.09,413.18,0.31,246.31,227.70,30.1,22.2,18.9,18.9,17.4,77.4 ,30.1,22.2,18.0,18.0,16.5,74.7 ,80.81,67.36,8.40,75.76,67.60,8.40,76.00,17.60,8.40,26.00,67.25,8.37,75.62,67.25,8.37,75.62,17.00,8.25,25.25,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
150,8.69,395.00,0.29,9.09,413.18,0.31,246.31,267.17,30.1,22.2,18.8,18.8,17.5,77.4 ,30.1,22.2,18.0,18.0,16.5,74.7 ,68.87,67.44,8.40,75.84,67.28,8.32,75.60,17.44,8.32,25.76,67.00,8.37,75.37,67.00,8.37,75.37,17.00,8.37,25.37,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
160,8.72,396.36,0.29,9.09,413.18,0.31,246.21,216.83,30.1,22.2,18.8,18.8,17.4,77.2 ,30.1,22.2,18.0,18.0,16.5,74.7 ,84.86,73.84,8.88,82.72,67.04,8.32,75.36,17.36,8.32,25.68,66.75,8.25,75.00,66.75,8.25,75.00,16.87,8.37,25.24,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
170,8.73,396.81,0.29,9.09,413.18,0.31,246.31,270.41,30.1,22.2,18.7,18.7,17.2,76.9 ,30.1,22.2,18.0,18.0,16.5,74.7 ,68.04,67.12,8.40,75.52,66.96,8.32,75.28,17.28,8.32,25.60,66.62,8.25,74.87,66.62,8.25,74.87,16.87,8.12,24.99,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
180,8.76,398.18,0.29,9.09,413.18,0.31,246.21,264.15,30.1,22.2,18.7,18.7,17.2,76.7 ,30.1,22.2,18.0,18.0,16.5,74.7 ,69.66,68.08,8.32,76.40,66.72,8.24,74.96,17.20,8.32,25.52,66.50,8.25,74.75,66.50,8.25,74.75,16.87,8.12,24.99,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
190,8.77,398.63,0.29,9.09,413.18,0.31,246.31,261.88,30.1,22.2,18.7,18.7,17.3,76.8 ,30.1,22.2,18.0,18.0,16.5,74.7 ,70.26,67.60,8.32,75.92,66.56,8.24,74.80,17.12,8.24,25.36,66.37,8.25,74.62,66.37,8.25,74.62,16.75,8.37,25.12,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
200,8.79,399.54,0.30,9.09,413.18,0.31,246.21,263.41,30.1,22.2,18.6,18.6,17.3,76.7 ,30.1,22.2,18.0,18.0,16.5,74.7 ,69.85,67.12,8.32,75.44,66.40,8.24,74.64,17.04,8.24,25.28,66.25,8.25,74.50,66.25,8.25,74.50,16.75,8.25,25.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
210,8.80,400.00,0.30,9.09,413.18,0.31,246.31,262.40,30.1,22.2,18.6,18.6,17.3,76.7 ,30.1,22.2,18.0,18.0,16.5,74.7 ,70.12,67.68,8.24,75.92,66.24,8.24,74.48,17.04,8.24,25.28,66.12,8.25,74.37,66.12,8.25,74.37,16.75,8.25,25.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
220,8.82,400.90,0.30,9.09,413.18,0.31,246.31,229.68,30.1,22.2,18.6,18.6,16.8,76.2 ,30.1,22.2,18.0,18.0,16.5,74.7 ,80.11,70.80,8.24,79.04,66.16,8.24,74.40,16.96,8.24,25.20,66.00,8.25,74.25,66.00,8.12,74.12,16.62,7.75,24.37,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
