N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,8.00,266.66,CPU bound,8.00,266.66,,220.00,92.06,52.0,66.0,11.1,0.0,0.0,77.1 ,52.0,66.0,14.0,0.0,0.0,80.0 ,191.18,138.9,110.3,12.0,0.0,0.3,39.04,9.04,48.08,0,0,0,.40,.40,.80,37.62,6.75,44.37,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
20,8.00,266.66,CPU bound,8.00,266.66,,187.23,111.79,52.0,66.0,16.3,13.5,0.0,95.8 ,52.0,66.0,14.0,14.0,0.0,94.0 ,157.44,109.8,80.7,16.7,15.1,0.3,57.68,8.96,66.64,53.84,6.40,60.24,.32,.32,.64,56.25,9.12,65.37,46.62,7.25,53.87,0,0,0,48.00,8.00,56.00,48.00,8.00,56.00,0,0,0
30,8.00,266.66,CPU bound,8.00,266.66,,179.59,122.58,52.0,66.0,19.9,15.4,0.0,101.3 ,52.0,66.0,18.0,14.0,0.0,98.0 ,143.58,81.4,58.4,20.0,16.2,0.3,71.20,8.80,80.00,56.00,8.64,64.64,.32,.32,.64,70.75,8.62,79.37,53.00,8.62,61.62,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
40,8.00,266.66,CPU bound,8.00,266.66,,179.59,116.44,52.0,66.0,19.3,15.0,0.0,100.2 ,52.0,66.0,18.0,14.0,0.0,98.0 ,151.15,83.7,58.2,20.3,15.6,0.3,72.48,8.64,81.12,54.00,8.48,62.48,.32,.32,.64,68.62,8.37,76.99,51.37,8.37,59.74,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
50,8.00,266.66,CPU bound,8.00,266.66,,179.51,130.08,52.0,66.0,19.1,14.8,0.0,99.9 ,52.0,66.0,18.0,14.0,0.0,98.0 ,135.30,71.7,49.9,19.3,16.3,0.2,68.64,8.48,77.12,56.88,8.40,65.28,.24,.24,.48,67.87,8.37,76.24,50.87,8.37,59.24,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
60,8.00,266.66,CPU bound,8.00,266.66,,179.51,134.07,52.0,66.0,18.9,14.7,0.0,99.6 ,52.0,66.0,18.0,14.0,0.0,98.0 ,131.28,74.6,51.2,19.1,17.9,0.3,68.00,8.40,76.40,63.44,8.32,71.76,.24,.24,.48,67.12,8.25,75.37,50.62,8.25,58.87,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
70,8.00,266.66,CPU bound,8.00,266.66,,172.54,135.65,52.0,66.0,18.7,18.5,0.0,103.2 ,52.0,66.0,18.0,18.0,0.0,102.0 ,129.74,67.6,46.4,18.9,18.8,0.2,67.20,8.32,75.52,66.88,8.24,75.12,.24,.24,.48,66.62,8.25,74.87,65.62,8.25,73.87,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,8.00,266.66,CPU bound,8.00,266.66,,172.54,126.16,52.0,66.0,18.6,18.6,0.0,103.2 ,52.0,66.0,18.0,18.0,0.0,102.0 ,139.50,70.8,47.8,19.2,18.6,2.7,68.40,8.32,76.72,66.00,8.24,74.24,5.44,.80,6.24,66.25,8.25,74.50,66.12,8.25,74.37,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
90,5.99,199.66,0.49,6.52,217.33,0.54,139.90,127.78,52.0,66.0,18.6,18.6,25.9,129.1 ,52.0,66.0,18.0,18.0,23.8,125.8 ,137.73,65.9,44.5,18.7,18.8,14.0,66.56,8.24,74.80,66.96,8.16,75.12,29.28,3.76,33.04,66.00,8.25,74.25,66.00,8.25,74.25,50.62,10.37,60.99,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
100,6.36,212.00,0.52,6.52,217.33,0.54,139.84,134.99,52.0,66.0,18.5,18.5,24.4,127.4 ,52.0,66.0,18.0,18.0,23.8,125.8 ,130.38,67.9,45.8,18.6,18.6,22.9,66.00,8.24,74.24,66.24,8.16,74.40,45.84,8.00,53.84,65.87,8.12,73.99,65.87,8.12,73.99,49.12,8.12,57.24,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
110,6.38,212.66,0.52,6.52,217.33,0.54,139.90,132.12,52.0,66.0,18.4,18.5,24.3,127.3 ,52.0,66.0,18.0,18.0,23.8,125.8 ,133.21,64.1,43.3,18.6,18.5,24.7,66.16,8.24,74.40,66.00,8.16,74.16,49.68,8.40,58.08,65.62,8.12,73.74,65.62,8.25,73.87,49.00,8.12,57.12,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
120,6.39,213.00,0.53,6.52,217.33,0.54,139.90,122.93,52.0,66.0,18.4,18.4,24.3,127.1 ,52.0,66.0,18.0,18.0,23.8,125.8 ,143.17,66.8,44.5,20.4,18.5,24.8,73.12,8.32,81.44,65.76,8.08,73.84,49.84,8.40,58.24,65.50,8.12,73.62,65.50,8.12,73.62,49.00,8.12,57.12,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
130,6.40,213.33,0.53,6.52,217.33,0.54,139.90,112.83,52.0,66.0,18.4,18.4,24.3,127.0 ,52.0,66.0,18.0,18.0,23.8,125.8 ,155.99,66.2,42.4,19.5,18.5,24.8,69.84,8.32,78.16,65.76,8.16,73.92,49.76,8.48,58.24,65.37,8.12,73.49,65.37,8.12,73.49,48.87,8.12,56.99,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
140,6.41,213.66,0.53,6.52,217.33,0.54,139.90,128.06,52.0,66.0,18.3,18.3,24.2,126.9 ,52.0,66.0,18.0,18.0,23.8,125.8 ,137.43,68.4,43.5,18.5,18.4,24.7,65.60,8.16,73.76,65.52,8.16,73.68,49.52,8.40,57.92,65.25,8.12,73.37,65.25,8.12,73.37,48.87,8.12,56.99,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
150,6.42,214.00,0.53,6.52,217.33,0.54,139.90,132.71,52.0,66.0,18.3,18.3,24.2,126.8 ,52.0,66.0,18.0,18.0,23.8,125.8 ,132.62,62.8,41.8,18.5,18.4,24.6,65.76,8.16,73.92,65.44,8.16,73.60,49.44,8.40,57.84,65.12,8.12,73.24,65.12,8.12,73.24,48.75,8.12,56.87,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
160,6.42,214.00,0.53,6.52,217.33,0.54,139.90,118.43,52.0,66.0,18.3,18.3,24.2,126.8 ,52.0,66.0,18.0,18.0,23.8,125.8 ,148.61,66.4,42.8,19.9,18.4,24.6,71.36,8.48,79.84,65.52,8.00,73.52,49.44,8.40,57.84,65.12,8.12,73.24,65.12,8.12,73.24,48.75,8.12,56.87,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
170,6.43,214.33,0.53,6.52,217.33,0.54,139.90,133.33,52.0,66.0,18.3,18.3,24.1,126.7 ,52.0,66.0,18.0,18.0,23.8,125.8 ,132.00,62.2,41.4,18.4,18.3,24.5,65.52,8.24,73.76,65.20,8.08,73.28,49.28,8.32,57.60,65.12,8.12,73.24,65.12,8.00,73.12,48.75,8.00,56.75,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
180,6.43,214.33,0.53,6.52,217.33,0.54,139.84,135.67,52.0,66.0,18.3,18.3,24.2,126.7 ,52.0,66.0,18.0,18.0,23.8,125.8 ,129.73,64.0,42.3,18.5,18.3,24.5,65.76,8.16,73.92,65.04,8.08,73.12,49.20,8.32,57.52,65.00,8.12,73.12,65.00,8.12,73.12,48.62,8.12,56.74,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
