,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,6.25,117.92,0.16,8.51,160.56,0.22,273.78,103.63,50.4,40.1,40.9,0.0,0.0,81.0 ,50.4,40.1,30.0,0.0,0.0,70.1 ,185.27,60.8,66.1,41.8,0.0,0.0,323.36,11.12,334.48,0,0,0,0,0,0,316.62,10.50,327.12,0,0,0,0,0,0,232.00,8.00,240.00,0,0,0,0,0,0
20,2.81,53.01,0.10,6.23,117.54,0.22,102.07,83.41,50.4,40.1,36.6,132.5,0.0,209.1 ,50.4,40.1,32.0,116.0,0.0,188.1 ,230.20,78.3,65.4,37.2,285.4,0.2,288.72,9.20,297.92,285.44,285.36,570.80,.64,0,.64,283.62,9.12,292.74,264.87,9.12,273.99,0,0,0,248.00,8.00,256.00,232.00,8.00,240.00,0,0,0
30,2.96,55.84,0.11,6.23,117.54,0.22,102.03,90.29,50.4,40.1,34.8,126.0,0.0,200.9 ,50.4,40.1,32.0,116.0,0.0,188.1 ,212.66,63.5,53.5,35.5,267.3,0.0,275.04,8.72,283.76,267.36,267.20,534.56,.08,0,.08,269.75,8.62,278.37,252.00,8.62,260.62,0,0,0,248.00,8.00,256.00,232.00,8.00,240.00,0,0,0
40,1.05,19.81,0.03,6.23,117.54,0.22,102.03,67.45,50.4,40.1,243.3,122.5,0.0,406.0 ,50.4,40.1,32.0,116.0,0.0,188.1 ,284.65,68.5,47.9,68.9,262.4,0.3,532.88,18.16,551.04,262.48,262.24,524.72,.96,.08,1.04,1882.50,64.00,1946.50,245.12,8.37,253.49,0,0,0,248.00,8.00,256.00,232.00,8.00,240.00,0,0,0
50,3.07,57.92,0.11,6.23,117.54,0.22,102.03,92.29,50.4,40.1,33.6,42.2,51.3,167.2 ,50.4,40.1,32.0,116.0,0.0,188.1 ,208.04,42.1,44.4,34.8,253.0,9.4,269.76,8.96,278.72,252.96,252.88,505.84,28.40,1.52,29.92,260.12,8.37,268.49,84.50,8.37,92.87,158.75,3.87,162.62,248.00,8.00,256.00,232.00,8.00,240.00,0,0,0
60,3.09,58.30,0.11,3.67,69.24,0.22,72.72,68.50,50.4,40.1,33.3,4.1,79.1,156.6 ,50.4,40.1,32.0,116.0,75.8,263.9 ,280.29,53.2,48.1,36.8,253.7,36.3,284.88,9.20,294.08,253.76,253.68,507.44,111.04,4.00,115.04,257.87,8.25,266.12,0,8.25,8.25,241.37,8.87,250.24,248.00,8.00,256.00,232.00,8.00,240.00,232.00,8.00,240.00
70,2.91,54.90,0.10,3.67,69.24,0.22,70.58,61.09,50.4,40.1,33.1,8.0,77.1,158.3 ,50.4,40.1,32.0,124.0,75.8,271.9 ,314.27,52.6,45.8,34.7,257.0,52.5,269.12,8.48,277.60,256.96,256.96,513.92,160.16,6.16,166.32,256.37,8.25,264.62,16.12,8.25,24.37,240.25,3.87,244.12,248.00,8.00,256.00,248.00,8.00,256.00,232.00,8.00,240.00
80,1.05,19.81,0.03,3.67,69.24,0.22,70.58,51.09,50.4,40.1,243.2,8.2,77.8,369.3 ,50.4,40.1,32.0,124.0,75.8,271.9 ,375.78,76.3,44.1,67.1,259.8,62.4,519.76,16.64,536.40,259.92,259.76,519.68,190.32,7.28,197.60,1881.25,64.00,1945.25,16.37,8.25,24.62,238.12,8.25,246.37,248.00,8.00,256.00,248.00,8.00,256.00,232.00,8.00,240.00
