N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
10,4194304,3.622221,L2 10 10 10 16 614 10,21474836480,2147483648,5.92,592.86,31.12,0,0,0,0,188360.00,186538.00,0,0,374898.00
20,262144,2.186883,L2 20 20 20 16 307 20,15288238080,1528823808,6.98,699.08,26.64,19.83,8.92,0,0,115778.00,113357.00,28.75,0,229135.00
30,131072,3.650637,L2 30 30 30 16 205 30,28772925440,2877292544,7.88,788.16,23.52,20.82,8.70,18.50,8.63,192782.00,189097.00,29.52,27.13,381879.00
40,32768,2.648455,L2 40 40 40 16 153 40,17980456960,1798045696,6.78,678.90,27.44,34.41,8.52,18.26,8.46,138784.00,137035.00,42.93,26.72,275819.00
50,16384,2.461852,L2 50 50 50 16 123 50,18119393280,1811939328,7.35,736.00,25.20,33.86,8.39,17.87,8.34,126903.00,126266.00,42.25,26.21,253169.00
60,8192,2.204351,L2 60 60 60 16 102 60,15983575040,1598357504,7.24,725.08,25.52,33.52,8.31,18.55,8.26,114867.00,113893.00,41.83,26.81,228760.00
70,8192,3.206988,L2 70 70 70 16 88 70,25758269440,2575826944,8.02,803.18,22.96,33.28,8.26,19.12,8.23,200919.00,172733.00,41.54,27.35,373652.00
80,4096,2.560429,L2 80 80 80 16 77 80,19437649920,1943764992,7.58,759.15,24.48,33.36,8.24,20.65,8.21,132767.00,131422.00,41.60,28.86,264189.00
90,4096,3.818439,L2 90 90 90 16 68 90,27913093120,2791309312,7.30,731.00,25.20,33.25,8.21,20.66,8.18,604106.01,772039.00,41.46,28.84,1376145.01
100,2048,2.597192,L2 100 100 100 16 61 100,19275612160,1927561216,7.41,742.17,25.20,33.11,8.18,20.07,8.15,15991668.52,19608517.00,41.29,28.22,35600185.52
110,1024,2.025526,L2 110 110 110 16 56 110,12899450880,1289945088,6.36,636.84,29.20,32.98,8.17,18.89,8.10,84560033.18,97535295.00,41.15,26.99,182095328.18
120,1024,3.047501,L2 120 120 120 16 51 120,16824647680,1682464768,5.51,552.07,33.44,33.09,8.16,19.95,8.00,196463925.46,206857933.00,41.25,27.95,403321858.46
130,1024,3.975913,L2 130 130 130 16 47 130,21474836480,2147483648,5.40,540.12,34.64,33.05,8.15,19.41,7.96,275374795.20,272801832.00,41.20,27.37,548176627.20
140,512,2.452157,L2 140 140 140 16 44 140,13455728640,1345572864,5.48,548.72,34.00,32.60,8.13,19.70,7.97,174036339.27,170817398.00,40.73,27.67,344853737.27
150,512,3.023733,L2 150 150 150 16 41 150,16597975040,1659797504,5.48,548.92,34.00,32.98,8.14,18.54,7.91,214318434.25,210582960.00,41.12,26.45,424901394.25
160,512,3.847227,L2 160 160 160 16 38 160,20194877440,2019487744,5.24,524.91,35.36,32.63,8.13,20.81,7.96,260656673.25,256001372.00,40.76,28.77,516658045.25
170,256,2.241203,L2 170 170 170 16 36 170,12138577920,1213857792,5.41,541.60,34.64,32.97,8.12,19.26,7.92,156420799.24,153750699.00,41.09,27.18,310171498.24
180,256,2.692006,L2 180 180 180 16 34 180,14437765120,1443776512,5.36,536.31,34.64,32.95,8.10,20.89,7.90,185936187.23,182701969.00,41.05,28.79,368638156.23
190,256,3.059246,L2 190 190 190 16 32 190,17010360320,1701036032,5.56,556.02,33.44,33.00,8.10,18.41,7.89,219418920.24,215169881.00,41.10,26.30,434588801.24
200,256,3.654097,L2 200 200 200 16 31 200,19871723520,1987172352,5.43,543.81,34.00,33.03,8.10,19.39,7.85,257507963.28,251229772.00,41.13,27.24,508737735.28
210,128,2.104968,L2 210 210 210 16 29 210,11518607360,1151860736,5.46,547.21,34.00,32.86,8.10,19.70,7.86,149458181.29,145551076.00,40.96,27.56,295009257.29
220,128,2.363533,L2 220 220 220 16 28 220,13261096960,1326109696,5.61,561.06,33.44,32.99,8.08,18.35,7.82,172767604.33,167462215.00,41.07,26.17,340229819.33
230,128,2.709047,L2 230 230 230 16 27 230,15171010560,1517101056,5.59,560.01,33.44,33.01,8.09,18.31,7.88,198068800.34,191534286.00,41.10,26.19,389603086.34
240,128,3.281523,L2 240 240 240 16 25 240,17256028160,1725602816,5.25,525.85,35.36,33.15,8.09,21.74,7.87,226509445.39,217786834.00,41.24,29.61,444296279.39
250,128,3.635822,L2 250 250 250 16 24 250,19523829760,1952382976,5.36,536.98,34.64,33.09,8.09,20.25,7.88,256329347.39,246322782.00,41.18,28.13,502652129.39
260,64,2.069770,L2 260 260 260 16 24 260,10991047680,1099104768,5.30,531.02,35.36,33.04,8.07,19.53,7.85,144945637.43,138609436.00,41.11,27.38,283555073.43
270,64,2.203754,L2 270 270 270 16 23 270,12319252480,1231925248,5.58,559.00,33.44,33.06,8.08,18.25,7.88,162683521.44,155321973.00,41.14,26.13,318005494.44
280,64,2.509453,L2 280 280 280 16 22 280,13750369280,1375036928,5.47,547.94,34.00,33.10,8.08,19.54,7.81,182283656.47,173328198.00,41.18,27.35,355611854.47
290,64,2.867601,L2 290 290 290 16 21 290,15288238080,1528823808,5.32,533.13,34.64,33.11,8.07,20.07,7.89,203446591.51,192664417.00,41.18,27.96,396111008.51
