,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
260,1.61,230,0.17,2.45,350,0.17,384.279475982533,296.34,12,15,10,10,21.7,56.7,12,15,10,10,10.8,45.8,59.39,188.32,8.08,32.32,40.4,32.32,8,32.24,40.24,32.24,8.16,16.4,24.56
270,2.45,350,0.17,2.45,350,0.17,384.279475982533,295.81,12,15,10,10,10.8,45.8,12,15,10,10,10.8,45.8,59.5,185.84,8.08,32.32,40.4,32.32,8,32.24,40.24,32.24,8.16,16.4,24.56
280,2.45,350,0.17,2.45,350,0.17,384.279475982533,302,12,15,10,10,15.2,50.2,12,15,10,10,10.8,45.8,58.28,186.72,8.08,32.32,40.4,32.32,8,32.24,40.24,32.24,8.16,16.4,24.56
290,2.45,350,0.17,2.45,350,0.17,384.279475982533,296.41,12,15,10,10,10.8,45.8,12,15,10,10,10.8,45.8,59.38,185.12,8.08,32.32,40.4,32.32,8,32.24,40.24,32.24,8.16,16.4,24.56
300,2.45,350,0.17,2.45,350,0.17,384.279475982533,300.39,12,15,10,10,10.8,45.8,12,15,10,10,10.8,45.8,58.59,186.64,8.08,32.32,40.4,32.32,8,32.24,40.24,32.24,8.16,16.4,24.56
310,2.45,350,0.17,2.45,350,0.17,384.279475982533,299.38,12,15,10,10,10.8,45.8,12,15,10,10,10.8,45.8,58.79,183.92,8.08,32.32,40.4,32.32,8,32.24,40.24,32.24,8.16,16.32,24.48
320,2.45,350,0.17,2.45,350,0.17,384.279475982533,300.44,12,15,10,10,10.8,45.8,12,15,10,10,10.8,45.8,58.58,186,8.08,32.96,41.04,32.96,8,32.24,40.24,32.24,8.16,16.32,24.48
330,2.45,350,0.17,2.45,350,0.17,384.279475982533,298.47,12,15,10,10,7.5,42.5,12,15,10,10,10.8,45.8,58.97,184,8.08,32.32,40.4,32.32,7.92,32.24,40.16,32.24,8.16,16.32,24.48
340,2.45,350,0.17,2.45,350,0.17,384.279475982533,297.43,12,15,10,10,15.8,50.8,12,15,10,10,10.8,45.8,59.17,185.44,8.08,32.32,40.4,32.32,8,32.24,40.24,32.24,8.16,16.32,24.48
350,2.45,350,0.17,2.45,350,0.17,384.279475982533,297.41,12,15,10,10,15.8,50.8,12,15,10,10,10.8,45.8,59.18,183.6,8.08,32.32,40.4,32.32,8,32.16,40.16,32.16,8.16,16.32,24.48
360,2.45,350,0.17,2.45,350,0.17,384.279475982533,302.1,12,15,10,10,10.8,45.8,12,15,10,10,10.8,45.8,58.26,184.32,8.08,32.24,40.32,32.24,8,32.16,40.16,32.16,8.16,16.32,24.48
370,2.45,350,0.17,2.45,350,0.17,384.279475982533,297.51,12,15,10,10,7.5,42.5,12,15,10,10,10.8,45.8,59.16,183.2,8.08,32.24,40.32,32.24,7.92,32.16,40.08,32.16,8.16,16.32,24.48
380,2.45,350,0.17,2.45,350,0.17,384.279475982533,299.87,12,15,10,10,10.8,45.8,12,15,10,10,10.8,45.8,58.69,184.4,8.08,32.32,40.4,32.32,7.92,32.08,40,32.08,8.16,16.32,24.48
390,2.45,350,0.17,2.45,350,0.17,384.279475982533,297.71,12,15,10,10,10.8,45.8,12,15,10,10,10.8,45.8,59.12,182.32,8.08,32.4,40.48,32.4,8,32.16,40.16,32.16,8.16,16.32,24.48
400,2.45,350,,2.45,350,0.17,384.279475982533,302.24,12,15,10,10,10.8,45.8,12,15,10,10,10.8,45.8,58.23,184,8.08,33.12,41.2,33.12,8,32.16,40.16,32.16,8.16,16.32,24.48
410,,,,2.45,350,0.17,384.279475982533,299.08,,,,,,,12,15,10,10,10.8,45.8,58.85,182.48,8.08,32.32,40.4,32.32,8,32.16,40.16,32.16,8.16,16.4,24.56
