,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,21.85,1150.00,CPU bound,21.85,1150.00,,1150.00,282.22,16.0,14.0,0.0,0.0,0.0,16.0 ,16.0,14.0,0.0,0.0,0.0,16.0 ,65.20,36.1,48.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21.85,1150.00,CPU bound,21.85,1150.00,,920.00,475.75,16.0,14.0,8.7,0.0,0.0,22.7 ,16.0,14.0,6.0,0.0,0.0,20.0 ,38.68,18.0,18.3,8.9,0.0,0.0,25.76,10.00,35.76,0,0,0,0,0,0,24.87,10.00,34.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,10.94,575.78,0.30,12.48,656.84,0.34,541.17,437.95,16.0,14.0,16.0,7.6,0.0,37.6 ,16.0,14.0,14.0,6.0,0.0,34.0 ,42.01,21.5,20.7,14.8,7.2,0.0,49.60,9.36,58.96,20.24,8.48,28.72,0,0,0,54.62,9.25,63.87,21.25,9.25,30.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
40,11.06,582.10,0.30,12.48,656.84,0.34,540.94,441.84,16.0,14.0,15.8,7.2,0.0,37.0 ,16.0,14.0,14.0,6.0,0.0,34.0 ,41.64,17.4,15.3,15.9,7.6,0.0,54.72,8.96,63.68,21.44,8.88,30.32,0,0,0,54.25,8.87,63.12,19.75,8.87,28.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
50,11.33,596.31,0.31,12.48,656.84,0.34,540.94,467.68,16.0,14.0,15.4,6.9,0.0,36.3 ,16.0,14.0,14.0,6.0,0.0,34.0 ,39.34,19.6,17.3,15.5,8.3,0.0,53.20,8.72,61.92,24.64,8.72,33.36,0,0,0,53.00,8.75,61.75,18.87,8.75,27.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
60,11.53,606.84,0.31,12.48,656.84,0.34,541.17,450.03,16.0,14.0,15.2,6.8,0.0,36.0 ,16.0,14.0,14.0,6.0,0.0,34.0 ,40.89,17.4,14.4,15.3,8.1,0.0,52.48,8.72,61.20,24.00,8.56,32.56,0,0,0,52.00,8.62,60.62,18.87,8.62,27.49,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
70,11.66,613.68,0.32,12.48,656.84,0.34,541.17,465.05,16.0,14.0,15.0,6.9,0.0,35.8 ,16.0,14.0,14.0,6.0,0.0,34.0 ,39.57,18.9,16.0,15.1,13.6,0.0,51.76,8.48,60.24,46.00,8.48,54.48,0,0,0,51.50,8.50,60.00,19.00,8.50,27.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
80,10.01,526.84,0.34,10.10,531.57,0.34,438.09,425.34,16.0,14.0,14.9,14.1,0.0,43.0 ,16.0,14.0,14.0,14.0,0.0,42.0 ,43.26,17.4,14.1,15.1,14.9,0.0,51.92,8.48,60.40,51.28,8.40,59.68,0,0,0,51.00,8.37,59.37,48.00,8.37,56.37,0,0,0,48.00,8.00,56.00,48.00,8.00,56.00,0,0,0
