,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,7.89,789.00,0.22,6.47,647.00,0.18,706.76,395.96,12.0,12.0,11.5,0.0,0.0,23.5 ,12.0,12.0,14.0,0.0,0.0,26.0 ,46.47,35.60,6.72,42.32,0,0,0,.08,0,.08,39.00,6.87,45.87,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
20,5.55,555.00,0.15,5.46,546.00,0.18,459.40,384.73,12.0,12.0,16.3,13.4,0.0,41.7 ,12.0,12.0,14.0,14.0,0.0,40.0 ,47.83,57.28,8.88,66.16,53.76,6.80,60.56,.08,0,.08,56.25,9.12,65.37,46.37,7.25,53.62,0,0,0,48.00,8.00,56.00,48.00,8.00,56.00,0,0,0
30,4.62,462.00,0.13,5.03,503.00,0.14,417.63,438.37,12.0,12.0,19.6,15.4,0.0,47.0 ,12.0,12.0,18.0,14.0,0.0,44.0 ,41.97,69.60,8.72,78.32,55.84,8.64,64.48,.08,0,.08,69.75,8.62,78.37,53.00,8.62,61.62,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
40,4.75,475.00,0.13,5.03,503.00,0.14,417.63,386.06,12.0,12.0,19.1,15.0,0.0,46.0 ,12.0,12.0,18.0,14.0,0.0,44.0 ,47.66,69.92,8.56,78.48,54.64,8.48,63.12,.08,0,.08,67.75,8.37,76.12,51.37,8.37,59.74,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
50,4.80,480.00,0.13,5.03,503.00,0.14,417.63,459.22,12.0,12.0,18.9,14.8,0.0,45.7 ,12.0,12.0,18.0,14.0,0.0,44.0 ,40.07,67.44,8.40,75.84,54.88,8.32,63.20,.08,0,.08,67.25,8.37,75.62,50.87,8.37,59.24,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
60,4.84,484.00,0.13,5.03,503.00,0.14,417.63,415.65,12.0,12.0,18.7,14.7,0.0,45.4 ,12.0,12.0,18.0,14.0,0.0,44.0 ,44.27,67.52,8.32,75.84,58.56,8.24,66.80,.08,0,.08,66.62,8.25,74.87,50.62,8.25,58.87,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
70,4.19,419.00,0.14,4.24,424.00,0.14,382.83,422.72,12.0,12.0,18.6,18.2,0.0,48.9 ,12.0,12.0,18.0,18.0,0.0,48.0 ,43.53,67.04,8.24,75.28,62.72,8.24,70.96,.88,0,.88,66.25,8.25,74.50,64.75,8.25,73.00,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,3.54,354.00,0.26,2.40,240.00,0.18,229.12,299.17,12.0,12.0,18.5,18.5,21.8,70.8 ,12.0,12.0,18.0,18.0,32.2,80.2 ,61.50,68.00,8.32,76.32,66.08,8.24,74.32,12.96,1.12,14.08,65.87,8.25,74.12,65.62,8.12,73.74,32.12,5.75,37.87,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
90,2.34,234.00,0.17,2.40,240.00,0.18,229.12,217.80,12.0,12.0,18.5,18.5,33.1,82.0 ,12.0,12.0,18.0,18.0,32.2,80.2 ,84.48,66.56,8.24,74.80,66.00,8.16,74.16,34.56,5.52,40.08,65.75,8.25,74.00,65.75,8.25,74.00,49.37,8.25,57.62,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
100,2.34,234.00,0.17,2.40,240.00,0.18,229.12,191.38,12.0,12.0,18.4,18.4,33.0,81.8 ,12.0,12.0,18.0,18.0,32.2,80.2 ,96.14,66.24,8.16,74.40,65.84,8.08,73.92,47.60,8.08,55.68,65.50,8.12,73.62,65.50,8.12,73.62,49.25,8.12,57.37,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
