,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
140,9.55,353.70,CPU bound,9.55,353.70,,284.82,280.70,52.0,28.0,10.2,10.2,17.0,65.4 ,52.0,28.0,10.0,10.0,16.6,64.6 ,65.55,54.4,28.9,10.2,10.3,17.1,32.88,8.16,41.04,32.88,8.08,40.96,16.56,8.16,24.72,32.75,8.12,40.87,32.75,8.12,40.87,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,9.55,353.70,CPU bound,9.55,353.70,,284.82,287.76,52.0,28.0,10.2,10.2,16.9,65.4 ,52.0,28.0,10.0,10.0,16.6,64.6 ,63.94,52.3,27.4,10.2,10.2,17.1,32.80,8.08,40.88,32.80,8.08,40.88,16.56,8.16,24.72,32.75,8.12,40.87,32.75,8.12,40.87,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
160,9.55,353.70,CPU bound,9.55,353.70,,284.70,279.27,52.0,28.0,10.2,10.2,16.9,65.3 ,52.0,28.0,10.0,10.0,16.6,64.6 ,65.88,54.3,28.7,10.6,10.2,17.1,34.40,8.08,42.48,32.80,8.08,40.88,16.56,8.16,24.72,32.75,8.12,40.87,32.75,8.12,40.87,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
170,9.55,353.70,CPU bound,9.55,353.70,,284.70,293.03,52.0,28.0,10.2,10.2,16.9,65.2 ,52.0,28.0,10.0,10.0,16.6,64.6 ,62.79,52.3,27.4,10.2,10.2,17.1,32.72,8.08,40.80,32.72,8.08,40.80,16.48,8.08,24.56,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
180,9.55,353.70,CPU bound,9.55,353.70,,284.70,282.06,52.0,28.0,10.2,10.2,16.9,65.2 ,52.0,28.0,10.0,10.0,16.6,64.6 ,65.24,54.0,28.5,10.2,10.2,17.0,32.64,8.08,40.72,32.72,8.08,40.80,16.48,8.08,24.56,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
190,9.55,353.70,CPU bound,9.55,353.70,,284.70,289.93,52.0,28.0,10.2,10.2,16.9,65.2 ,52.0,28.0,10.0,10.0,16.6,64.6 ,63.46,52.2,27.3,10.2,10.2,17.0,32.72,8.08,40.80,32.64,8.08,40.72,16.40,8.08,24.48,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
200,9.55,353.70,CPU bound,9.55,353.70,,284.70,290.27,52.0,28.0,10.2,10.2,16.9,65.2 ,52.0,28.0,10.0,10.0,16.6,64.6 ,63.39,53.8,28.3,10.2,10.2,17.0,32.72,8.16,40.88,32.64,8.08,40.72,16.40,8.08,24.48,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
210,9.55,353.70,CPU bound,9.55,353.70,,284.70,294.97,52.0,28.0,10.2,10.2,16.9,65.2 ,52.0,28.0,10.0,10.0,16.6,64.6 ,62.38,52.3,27.3,10.2,10.2,17.0,32.56,8.08,40.64,32.56,8.08,40.64,16.40,8.08,24.48,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
220,9.55,353.70,CPU bound,9.55,353.70,,284.82,285.30,52.0,28.0,10.1,10.1,16.9,65.2 ,52.0,28.0,10.0,10.0,16.6,64.6 ,64.49,53.7,28.2,10.4,10.2,17.0,33.44,8.24,41.68,32.56,8.08,40.64,16.40,8.08,24.48,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
230,9.55,353.70,CPU bound,9.55,353.70,,284.70,287.94,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,10.0,10.0,16.6,64.6 ,63.90,52.2,27.3,10.2,10.1,17.0,32.56,8.08,40.64,32.48,8.08,40.56,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
240,9.55,353.70,CPU bound,9.55,353.70,,284.70,284.46,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,10.0,10.0,16.6,64.6 ,64.68,53.5,28.1,10.4,10.1,16.9,33.36,8.16,41.52,32.48,8.08,40.56,16.32,8.08,24.40,32.37,8.12,40.49,32.37,8.12,40.49,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,9.55,353.70,CPU bound,9.55,353.70,,284.82,292.94,52.0,28.0,10.1,10.2,16.8,65.1 ,52.0,28.0,10.0,10.0,16.6,64.6 ,62.81,52.2,27.3,10.2,10.2,16.9,32.56,8.08,40.64,32.56,8.08,40.64,16.32,8.08,24.40,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,9.55,353.70,CPU bound,9.55,353.70,,284.82,284.82,52.0,28.0,10.1,10.1,16.9,65.2 ,52.0,28.0,10.0,10.0,16.6,64.6 ,64.60,53.4,28.0,10.3,10.1,16.9,33.20,8.08,41.28,32.48,8.08,40.56,16.32,8.08,24.40,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,9.55,353.70,CPU bound,9.55,353.70,,284.82,300.10,52.0,28.0,10.1,10.2,16.8,65.1 ,52.0,28.0,10.0,10.0,16.6,64.6 ,61.31,52.2,27.2,10.2,10.1,16.9,32.72,8.08,40.80,32.48,8.08,40.56,16.32,8.08,24.40,32.50,8.00,40.50,32.50,8.12,40.62,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,9.55,353.70,CPU bound,9.55,353.70,,284.82,281.71,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,10.0,10.0,16.6,64.6 ,65.31,53.3,28.0,10.2,10.1,16.9,32.72,8.08,40.80,32.48,8.08,40.56,16.32,8.08,24.40,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,9.55,353.70,CPU bound,9.55,353.70,,284.82,290.21,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,10.0,10.0,16.6,64.6 ,63.40,52.2,27.2,11.1,10.1,16.9,36.48,8.08,44.56,32.40,8.08,40.48,16.32,8.08,24.40,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,9.55,353.70,CPU bound,9.55,353.70,,284.70,289.96,52.0,28.0,10.1,10.2,16.8,65.1 ,52.0,28.0,10.0,10.0,16.6,64.6 ,63.46,53.2,27.9,11.1,10.1,16.9,36.48,8.08,44.56,32.48,8.08,40.56,16.32,8.08,24.40,32.50,8.00,40.50,32.50,8.12,40.62,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,9.55,353.70,CPU bound,9.55,353.70,,284.70,293.30,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,10.0,10.0,16.6,64.6 ,62.74,52.2,27.2,10.2,10.1,16.9,32.88,8.08,40.96,32.48,8.08,40.56,16.32,8.08,24.40,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
320,9.55,353.70,CPU bound,9.55,353.70,,284.82,262.65,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,10.0,10.0,16.6,64.6 ,70.06,53.2,27.8,10.5,10.1,16.9,33.92,8.08,42.00,32.40,8.08,40.48,16.32,8.08,24.40,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,9.55,353.70,CPU bound,9.55,353.70,,284.82,286.40,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,10.0,10.0,16.6,64.6 ,64.25,52.2,27.2,10.9,10.1,16.9,35.52,8.16,43.68,32.40,8.08,40.48,16.24,8.08,24.32,32.37,8.00,40.37,32.37,8.12,40.49,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
