,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,15.36,1920.00,CPU bound,15.36,1920.00,,1919.20,657.90,10.0,8.0,0.0,0.0,0.0,10.0 ,10.0,8.0,0.0,0.0,0.0,10.0 ,29.18,15.1,16.8,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,11.43,1428.75,0.28,13.79,1723.75,0.33,1745.45,403.63,10.0,8.0,3.6,0.0,0.0,11.6 ,10.0,8.0,3.0,0.0,0.0,11.0 ,47.57,29.6,30.2,3.6,0.0,0.0,20.08,9.12,29.20,0,0,0,0,0,0,19.87,9.12,28.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,12.22,1527.50,0.30,13.79,1723.75,0.33,1745.45,744.43,10.0,8.0,3.4,0.0,0.0,11.4 ,10.0,8.0,3.0,0.0,0.0,11.0 ,25.79,12.3,14.1,3.7,0.0,0.0,20.80,8.64,29.44,0,0,0,0,0,0,18.37,8.62,26.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,7.31,913.75,0.19,7.78,972.50,0.20,1476.92,860.20,10.0,8.0,5.3,0.0,0.0,13.3 ,10.0,8.0,5.0,0.0,0.0,13.0 ,22.32,11.5,11.7,5.4,2.0,0.0,34.48,8.48,42.96,1.92,1.92,3.84,0,0,0,34.12,8.37,42.49,0,0,0,0,0,0,32.00,8.00,40.00,0,0,0,0,0,0
50,5.35,668.75,0.23,7.78,972.50,0.20,914.28,814.05,10.0,8.0,5.3,8.7,0.0,22.0 ,10.0,8.0,5.0,8.0,0.0,21.0 ,23.59,10.3,11.1,5.3,17.4,0.0,33.84,8.40,42.24,17.44,17.44,34.88,0,0,0,33.75,8.37,42.12,17.37,8.37,25.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,5.36,670.00,0.23,7.78,972.50,0.20,914.28,866.77,10.0,8.0,5.2,8.7,0.0,21.9 ,10.0,8.0,5.0,8.0,0.0,21.0 ,22.15,10.7,11.1,5.2,17.3,0.0,33.60,8.32,41.92,17.28,17.28,34.56,0,0,0,33.50,8.25,41.75,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,5.34,667.50,0.23,7.78,972.50,0.20,914.28,994.22,10.0,8.0,5.2,8.7,0.0,21.9 ,10.0,8.0,5.0,8.0,0.0,21.0 ,19.31,9.2,9.0,5.2,17.1,0.0,33.28,8.24,41.52,17.12,17.12,34.24,0,0,0,33.25,8.25,41.50,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,5.29,661.25,0.23,7.78,972.50,0.20,914.28,959.42,10.0,8.0,5.2,8.8,0.0,22.0 ,10.0,8.0,5.0,8.0,0.0,21.0 ,20.01,9.7,10.1,5.2,16.9,0.0,33.28,8.24,41.52,16.96,16.96,33.92,.08,0,.08,33.00,8.25,41.25,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
