N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark cycl,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM CS MLUPs,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,ECM LC MLUPs,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.81,127.72,0.0,CPU bound,2.81,127.72,0.0,CPU bound,42.2,43.0,0.0,0.0,0.1,133.14,69.10,72.0,48.4,0.0,0.0,0.0,72.00,255.55,72.0,48.4,0.0,0.0,0.0,72.00,255.55,0,0,0,0,0,0,.16,.08,.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.81,127.72,44.10430915182432,CPU bound,2.81,127.72,36.1596724667349,CPU bound,37.4,28.8,9.9,2.3,0.1,116.06,79.27,72.0,48.4,11.0,0.0,0.0,72.00,255.55,72.0,48.4,9.0,0.0,0.0,72.00,255.55,69.76,9.28,79.04,7.68,1.60,9.28,.16,.08,.24,76.37,11.37,87.74,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,2.81,127.72,43.703768427091795,CPU bound,2.81,127.72,36.1596724667349,CPU bound,36.7,26.7,11.5,9.2,0.1,140.65,65.41,72.0,48.4,10.9,8.3,0.0,72.00,255.55,72.0,48.4,9.0,6.0,0.0,72.00,255.55,82.16,9.52,91.68,27.28,9.28,36.56,.16,.08,.24,77.75,9.37,87.12,24.00,9.25,33.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
40,2.81,127.72,43.36690881956327,CPU bound,2.81,127.72,36.1596724667349,CPU bound,36.5,25.9,10.6,18.8,0.1,136.84,67.23,72.0,48.4,10.8,7.9,0.0,72.00,255.55,72.0,48.4,9.0,6.0,0.0,72.00,255.55,76.48,8.56,85.04,66.72,8.48,75.20,.16,.08,.24,77.00,9.37,86.37,22.12,9.37,31.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,2.81,127.72,40.23250697383597,CPU bound,2.81,127.72,44.83248730964466,CPU bound,38.3,27.6,10.3,17.7,0.1,116.26,79.13,72.0,48.4,10.0,14.4,0.0,72.77,252.85,72.0,48.4,9.0,18.0,0.0,75.40,244.03,73.84,8.72,82.56,62.16,8.72,70.88,.16,.08,.24,71.37,8.75,80.12,48.75,8.75,57.50,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
60,2.81,127.72,50.45170439787814,CPU bound,2.81,127.72,44.83248730964466,CPU bound,37.9,26.9,10.0,19.6,0.1,115.18,79.88,72.0,48.4,10.1,20.3,0.0,78.78,233.56,72.0,48.4,9.0,18.0,0.0,75.40,244.03,71.68,8.40,80.08,70.00,8.32,78.32,.16,.08,.24,72.12,8.87,80.99,72.12,8.87,80.99,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
70,2.81,127.72,48.3015255499154,CPU bound,2.81,127.72,44.83248730964466,CPU bound,37.6,26.5,10.0,20.0,0.1,114.82,80.12,72.0,48.4,9.7,19.4,0.0,77.49,237.44,72.0,48.4,9.0,18.0,0.0,75.40,244.03,71.36,8.48,79.84,71.52,8.48,80.00,.16,.08,.24,69.12,8.50,77.62,69.12,8.50,77.62,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,2.81,127.72,48.91900044430669,CPU bound,2.81,127.72,44.83248730964466,CPU bound,37.5,26.1,10.4,19.7,0.4,121.44,75.76,72.0,48.4,9.8,19.6,0.0,77.86,236.32,72.0,48.4,9.0,18.0,0.0,75.40,244.03,74.56,8.64,83.20,70.40,8.16,78.56,.48,.16,.64,69.87,8.62,78.49,69.87,8.62,78.49,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
90,2.81,127.72,47.48577353637902,CPU bound,2.81,127.72,44.83248730964466,CPU bound,37.4,25.9,9.9,19.6,3.8,117.05,78.60,72.0,48.4,9.5,19.1,0.0,77.00,238.96,72.0,48.4,9.0,18.0,0.0,75.40,244.03,70.96,8.56,79.52,70.00,8.40,78.40,3.92,2.56,6.48,67.87,8.37,76.24,67.87,8.37,76.24,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
100,2.81,127.72,48.01021401015228,CPU bound,2.81,127.72,44.83248730964466,CPU bound,37.2,25.7,11.6,19.4,11.3,120.86,76.12,72.0,48.4,9.6,19.3,15.4,92.67,198.55,72.0,48.4,9.0,18.0,14.1,89.53,205.51,84.16,8.56,92.72,69.28,8.16,77.44,12.40,6.80,19.20,68.62,8.50,77.12,68.62,8.50,77.12,17.50,8.50,26.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
110,2.81,127.72,46.95575390862943,CPU bound,2.81,127.72,44.83248730964466,CPU bound,37.1,25.5,9.8,19.3,14.9,117.56,78.26,72.0,48.4,9.4,18.9,15.0,91.71,200.63,72.0,48.4,9.0,18.0,14.1,89.53,205.51,70.16,8.32,78.48,68.72,8.32,77.04,17.12,8.24,25.36,67.12,8.25,75.37,67.12,8.37,75.49,17.25,8.25,25.50,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
120,2.81,127.72,47.46440620859795,CPU bound,2.81,127.72,44.83248730964466,CPU bound,37.0,25.4,9.9,19.1,15.4,119.42,77.04,72.0,48.4,9.5,19.1,15.2,92.14,199.69,72.0,48.4,9.0,18.0,14.1,89.53,205.51,70.88,8.32,79.20,68.32,8.16,76.48,17.92,8.16,26.08,67.87,8.37,76.24,67.87,8.37,76.24,17.25,8.37,25.62,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
130,2.81,127.72,46.63933617597293,CPU bound,2.81,127.72,44.83248730964466,CPU bound,36.9,25.3,11.6,19.1,15.4,134.74,68.28,72.0,48.4,10.3,18.7,14.9,92.32,199.30,72.0,48.4,9.0,18.0,14.1,89.53,205.51,84.24,8.64,92.88,68.08,8.24,76.32,17.92,8.32,26.24,74.25,8.25,82.50,66.62,8.25,74.87,17.12,8.12,25.24,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
140,2.81,127.72,47.09025137055838,CPU bound,2.81,127.72,44.83248730964466,CPU bound,36.9,25.2,10.7,18.9,15.2,117.01,78.63,72.0,48.4,10.5,18.9,15.0,92.80,198.27,72.0,48.4,9.0,18.0,14.1,89.53,205.51,77.12,8.64,85.76,67.68,8.08,75.76,17.68,8.16,25.84,75.50,8.37,83.87,67.25,8.37,75.62,17.12,8.37,25.49,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
150,2.81,127.72,46.36436358714044,CPU bound,2.81,127.72,60.2661207778915,CPU bound,36.8,25.1,10.5,18.9,15.3,117.38,78.38,72.0,48.4,10.2,18.6,14.8,92.00,200.00,72.0,48.4,15.0,18.0,14.1,95.53,192.60,75.04,8.64,83.68,67.52,8.24,75.76,17.60,8.32,25.92,73.50,8.25,81.75,66.25,8.25,74.50,16.87,8.25,25.12,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
160,2.81,127.72,46.817410662934066,CPU bound,2.81,127.72,60.2661207778915,CPU bound,36.8,25.0,11.9,18.8,15.3,124.51,73.89,72.0,48.4,11.5,18.8,14.9,93.56,196.66,72.0,48.4,15.0,18.0,14.1,95.53,192.60,86.64,8.48,95.12,67.20,8.08,75.28,17.76,8.16,25.92,83.37,8.25,91.62,66.87,8.25,75.12,17.00,8.25,25.25,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
170,2.81,127.72,46.18842098138749,CPU bound,2.81,127.72,60.2661207778915,CPU bound,36.7,25.0,12.5,18.8,15.1,119.65,76.89,72.0,48.4,12.3,18.5,14.7,93.89,195.97,72.0,48.4,15.0,18.0,14.1,95.53,192.60,91.52,8.64,100.16,66.96,8.16,75.12,17.44,8.24,25.68,89.87,8.25,98.12,66.00,8.25,74.25,16.75,8.12,24.87,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
180,2.81,127.72,62.34550424205345,CPU bound,2.81,127.72,60.2661207778915,CPU bound,36.7,24.9,15.4,18.7,15.0,122.07,75.37,72.0,48.4,15.5,18.7,14.8,97.39,188.93,72.0,48.4,15.0,18.0,14.1,95.53,192.60,114.64,8.64,123.28,66.80,8.08,74.88,17.36,8.16,25.52,115.87,8.25,124.12,66.50,8.25,74.75,16.87,8.25,25.12,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
190,2.81,127.72,57.188710393109254,CPU bound,2.81,127.72,60.2661207778915,CPU bound,36.6,24.9,14.1,18.7,15.1,134.27,68.52,72.0,48.4,14.2,18.5,14.6,95.74,192.18,72.0,48.4,15.0,18.0,14.1,95.53,192.60,104.00,8.64,112.64,66.64,8.16,74.80,17.44,8.24,25.68,105.75,8.12,113.87,65.75,8.12,73.87,16.62,8.12,24.74,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
200,2.81,127.72,62.12838115513589,CPU bound,2.81,127.72,60.2661207778915,CPU bound,36.6,24.8,15.4,18.6,15.0,123.65,74.41,72.0,48.4,15.5,18.6,14.6,97.11,189.47,72.0,48.4,15.0,18.0,14.1,95.53,192.60,114.32,8.56,122.88,66.48,8.08,74.56,17.36,8.16,25.52,115.50,8.25,123.75,66.12,8.25,74.37,16.62,8.12,24.74,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
210,2.81,127.72,61.49002963682611,CPU bound,2.81,127.72,60.2661207778915,CPU bound,36.6,24.8,15.5,18.7,15.2,120.08,76.62,72.0,48.4,15.3,18.4,14.5,96.63,190.41,72.0,48.4,15.0,18.0,14.1,95.53,192.60,115.76,8.64,124.40,66.48,8.16,74.64,17.52,8.24,25.76,114.25,8.12,122.37,65.50,8.12,73.62,16.62,8.00,24.62,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
