,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
140,5.25,403.84,0.19,5.73,440.76,0.20,325.28,404.07,23.7,14.0,8.3,4.9,10.5,37.7 ,23.7,14.0,8.0,28.0,9.0,59.0 ,47.52,15.4,16.7,8.3,40.6,7.7,58.00,8.24,66.24,40.64,40.64,81.28,19.52,7.68,27.20,57.87,8.25,66.12,9.87,8.25,18.12,25.00,8.25,33.25,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
150,3.22,247.69,0.11,5.73,440.76,0.20,325.42,344.79,23.7,14.0,8.2,16.0,10.4,48.7 ,23.7,14.0,8.0,28.0,9.0,59.0 ,55.69,16.2,17.5,8.3,50.6,9.1,57.92,8.24,66.16,50.64,50.56,101.20,24.08,8.24,32.32,57.75,8.25,66.00,32.00,8.25,40.25,24.87,8.12,32.99,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
160,3.17,243.84,0.11,5.73,440.76,0.20,325.28,314.54,23.7,14.0,8.2,16.4,10.4,49.1 ,23.7,14.0,8.0,28.0,9.0,59.0 ,61.04,17.3,16.6,8.4,56.0,11.0,59.20,8.32,67.52,56.08,56.00,112.08,26.48,8.24,34.72,57.62,8.25,65.87,32.87,8.25,41.12,24.87,8.25,33.12,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
170,3.18,244.61,0.11,5.73,440.76,0.20,325.28,314.79,23.7,14.0,8.2,16.4,10.4,49.0 ,23.7,14.0,8.0,28.0,9.0,59.0 ,60.99,16.8,17.4,8.2,57.3,11.5,57.60,8.24,65.84,57.36,57.28,114.64,28.08,8.24,36.32,57.62,8.25,65.87,32.75,8.25,41.00,24.75,8.12,32.87,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
180,3.18,244.61,0.11,5.73,440.76,0.20,325.28,322.17,23.7,14.0,8.2,16.4,10.4,49.0 ,23.7,14.0,8.0,28.0,9.0,59.0 ,59.60,16.5,16.5,8.2,57.5,11.1,57.60,8.16,65.76,57.44,57.44,114.88,26.80,8.16,34.96,57.50,8.12,65.62,32.75,8.12,40.87,24.75,8.12,32.87,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
190,3.19,245.38,0.11,5.73,440.76,0.20,325.28,318.05,23.7,14.0,8.2,16.3,10.4,48.9 ,23.7,14.0,8.0,28.0,9.0,59.0 ,60.37,17.6,17.2,8.2,57.5,11.1,57.68,8.24,65.92,57.52,57.52,115.04,26.96,8.16,35.12,57.37,8.12,65.49,32.75,8.12,40.87,24.75,8.12,32.87,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
200,3.19,245.38,0.11,5.73,440.76,0.20,325.42,320.39,23.7,14.0,8.2,16.3,10.4,48.9 ,23.7,14.0,8.0,28.0,9.0,59.0 ,59.93,16.7,16.5,8.2,57.5,11.2,57.44,8.16,65.60,57.44,57.44,114.88,27.20,8.16,35.36,57.37,8.12,65.49,32.62,8.25,40.87,24.62,8.12,32.74,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
210,3.20,246.15,0.11,5.73,440.76,0.20,325.28,318.60,23.7,14.0,8.2,16.3,9.3,47.8 ,23.7,14.0,8.0,28.0,9.0,59.0 ,60.26,16.7,17.1,8.2,57.4,11.1,57.44,8.16,65.60,57.36,57.36,114.72,26.88,8.16,35.04,57.25,8.12,65.37,32.62,8.12,40.74,24.62,8.37,32.99,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
220,3.20,246.15,0.11,5.73,440.76,0.20,325.28,317.62,23.7,14.0,8.2,16.3,10.3,48.8 ,23.7,14.0,8.0,28.0,9.0,59.0 ,60.45,16.4,16.4,8.2,57.3,11.3,57.44,8.24,65.68,57.28,57.28,114.56,27.52,8.16,35.68,57.12,8.12,65.24,32.62,8.12,40.74,24.62,8.12,32.74,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
230,3.20,246.15,0.11,5.73,440.76,0.20,325.42,319.68,23.7,14.0,8.2,16.3,10.3,48.8 ,23.7,14.0,8.0,28.0,9.0,59.0 ,60.06,16.6,17.0,8.2,57.2,11.3,57.36,8.16,65.52,57.28,57.20,114.48,27.44,8.16,35.60,57.12,8.12,65.24,32.62,8.12,40.74,24.62,8.12,32.74,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
