,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
10,,,,7.96,418.947368421053,,419.047619047619,74.11,,,,,,,36,42,0,0,0,42,237.48,1892,0,0,0,0,0,0,0,0,0.48,0.56,1.04
20,7.96,418.947368421053,,7.96,418.947368421053,,366.666666666667,151.38,36,42,8.7,0,0,50.7,36,42,6,0,0,48,116.27,874.96,11.68,38.96,50.64,38.96,0,0,0,0,0.24,0.24,0.48
30,6.28,330.526315789474,0.3,7.55,397.368421052632,0.26,266.666666666667,111.35,36,42,16,4,0,62,36,42,18,6,0,66,158.05,796.88,10.16,83.84,94,83.84,8.24,21.84,30.08,21.84,0.32,0.32,0.64
40,7.84,412.631578947368,0.27,7.55,397.368421052632,0.26,266.666666666667,119,36,42,17.3,6,0,65.3,36,42,18,6,0,66,147.9,660,9.52,78.4,87.92,78.4,9.36,26.72,36.08,26.72,0.32,0.32,0.64
50,7.55,397.368421052632,0.26,7.55,397.368421052632,0.26,266.666666666667,119.78,36,42,18,6,0,66,36,42,18,6,0,66,146.94,666.88,9.12,74.4,83.52,74.4,9.04,25.28,34.32,25.28,0.32,0.32,0.64
60,7.55,397.368421052632,0.26,7.55,397.368421052632,0.26,266.666666666667,123.57,36,42,18,4,0,64,36,42,18,6,0,66,142.43,603.76,9.04,73.28,82.32,73.28,8.88,45.04,53.92,45.04,0.32,0.32,0.64
70,7.55,397.368421052632,0.26,3.69,194.210526315789,0.26,225.641025641026,124.06,36,42,18,8,0,68,36,42,18,18,0,78,141.87,617.36,8.8,71.2,80,71.2,8.72,55.6,64.32,55.6,0.24,0.32,0.56
80,3.69,194.210526315789,0.26,3.69,194.210526315789,0.26,225.641025641026,125.21,36,42,18,18,0,78,36,42,18,18,0,78,140.57,579.76,8.8,72.56,81.36,72.56,8.72,70.16,78.88,70.16,0.24,0.24,0.48
90,3.69,194.210526315789,0.26,3.69,194.210526315789,0.26,225.641025641026,125.7,36,42,18,18,0,78,36,42,18,18,0,78,140.01,592.24,8.64,69.6,78.24,69.6,8.56,70.16,78.72,70.16,0.24,0.24,0.48
