N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
940,,,L2 940 940 940 16 12 420,,,,,,,,,,,,,,
950,,,L2 950 950 950 16 12 420,,,,,,,,,,,,,,
960,,,L2 960 960 960 16 12 420,,,,,,,,,,,,,,
970,,,L2 970 970 970 16 12 420,,,,,,,,,,,,,,
980,,,L2 980 980 980 16 12 420,,,,,,,,,,,,,,
990,,,L2 990 990 990 16 12 420,,,,,,,,,,,,,,
1000,,,L2 1000 1000 1000 16 12 420,,,,,,,,,,,,,,
1010,,,L2 1010 1010 1010 16 12 420,,,,,,,,,,,,,,
1020,,,L2 1020 1020 1020 16 12 420,,,,,,,,,,,,,,
1030,,,L2 1030 1030 1030 16 12 420,,,,,,,,,,,,,,
1040,,,L2 1040 1040 1040 16 12 420,,,,,,,,,,,,,,
1050,,,L2 1050 1050 1050 16 12 420,,,,,,,,,,,,,,
1060,,,L2 1060 1060 1060 16 12 420,,,,,,,,,,,,,,
1070,,,L2 1070 1070 1070 16 12 420,,,,,,,,,,,,,,
1080,,,L2 1080 1080 1080 16 12 420,,,,,,,,,,,,,,
1090,,,L2 1090 1090 1090 16 12 420,,,,,,,,,,,,,,
1100,,,L2 1100 1100 1100 16 12 420,,,,,,,,,,,,,,
1110,,,L2 1110 1110 1110 16 12 420,,,,,,,,,,,,,,
1120,,,L2 1120 1120 1120 16 12 420,,,,,,,,,,,,,,
1130,,,L2 1130 1130 1130 16 12 420,,,,,,,,,,,,,,
1140,,,L2 1140 1140 1140 16 12 420,,,,,,,,,,,,,,
1150,,,L2 1150 1150 1150 16 12 420,,,,,,,,,,,,,,
1160,,,L2 1160 1160 1160 16 12 420,,,,,,,,,,,,,,
1170,,,L2 1170 1170 1170 16 12 420,,,,,,,,,,,,,,
1180,,,L2 1180 1180 1180 16 12 420,,,,,,,,,,,,,,
1190,,,L2 1190 1190 1190 16 12 420,,,,,,,,,,,,,,
1200,,,L2 1200 1200 1200 16 12 420,,,,,,,,,,,,,,
1210,,,L2 1210 1210 1210 16 12 420,,,,,,,,,,,,,,
1220,,,L2 1220 1220 1220 16 12 420,,,,,,,,,,,,,,
