,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,13.80,920.00,CPU bound,11.32,754.66,0.31,612.53,210.60,20.0,18.0,0.0,0.0,0.0,20.0 ,20.0,18.0,12.0,0.0,0.0,30.0 ,87.37,43.0,63.5,1.8,0.0,0.1,6.16,1.04,7.20,0,0,0,.08,.08,.16,0,0,0,0,0,0,0,0,0,40.00,8.00,48.00,0,0,0,0,0,0
20,8.39,559.33,0.23,9.55,636.66,0.31,437.52,358.20,20.0,18.0,16.2,5.0,0.0,39.2 ,20.0,18.0,12.0,12.0,0.0,42.0 ,51.37,21.2,24.3,17.5,6.5,0.0,59.76,10.24,70.00,24.08,1.76,25.84,.08,0,.08,54.87,10.00,64.87,16.62,3.50,20.12,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
30,5.78,385.33,0.16,6.79,452.66,0.19,367.52,327.66,20.0,18.0,23.5,14.6,0.0,56.1 ,20.0,18.0,20.0,12.0,0.0,50.0 ,56.16,25.6,28.1,23.8,15.9,0.1,85.76,9.36,95.12,54.48,9.28,63.76,.08,0,.08,84.87,9.25,94.12,49.12,9.25,58.37,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
40,6.05,403.33,0.17,6.79,452.66,0.19,367.52,341.64,20.0,18.0,22.5,13.8,0.0,54.3 ,20.0,18.0,20.0,12.0,0.0,50.0 ,53.86,20.5,20.7,22.9,15.0,0.0,82.72,9.04,91.76,51.04,8.96,60.00,.08,0,.08,81.00,8.87,89.87,46.37,8.87,55.24,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
50,6.19,412.66,0.17,6.79,452.66,0.19,367.52,364.58,20.0,18.0,22.0,13.4,0.0,53.4 ,20.0,18.0,20.0,12.0,0.0,50.0 ,50.47,23.1,23.7,22.1,15.4,0.0,79.52,8.72,88.24,52.72,8.72,61.44,.08,0,.08,79.12,8.75,87.87,45.00,8.75,53.75,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
60,6.30,420.00,0.17,6.79,452.66,0.19,367.52,347.03,20.0,18.0,21.6,13.3,0.0,52.9 ,20.0,18.0,20.0,12.0,0.0,50.0 ,53.02,20.3,19.7,21.9,18.0,0.0,78.80,8.72,87.52,63.60,8.56,72.16,.08,0,.08,77.75,8.62,86.37,44.50,8.62,53.12,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
70,5.43,362.00,0.18,5.73,382.00,0.19,316.82,355.65,20.0,18.0,21.4,21.1,0.0,60.4 ,20.0,18.0,20.0,20.0,0.0,58.0 ,51.74,22.3,22.0,21.6,20.6,0.1,77.84,8.48,86.32,73.76,8.48,82.24,.08,0,.08,76.87,8.50,85.37,75.87,8.50,84.37,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
80,5.44,362.66,0.18,5.73,382.00,0.19,316.82,314.14,20.0,18.0,21.2,21.1,0.0,60.2 ,20.0,18.0,20.0,20.0,0.0,58.0 ,58.57,20.3,19.3,22.1,21.4,2.1,79.60,8.64,88.24,77.20,8.48,85.68,3.36,.24,3.60,76.25,8.37,84.62,75.87,8.37,84.24,0,0,0,72.00,8.00,80.00,72.00,8.00,80.00,0,0,0
