,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
140,13.36,1027.69,0.45,13.82,1063.07,0.46,629.05,732.93,24.0,14.0,14.5,14.5,17.4,60.4 ,24.0,14.0,14.0,14.0,16.5,58.5 ,50.21,24.1,13.9,14.5,14.5,11.3,49.92,8.24,58.16,49.60,8.24,57.84,11.12,5.36,16.48,49.62,8.25,57.87,49.62,8.25,57.87,16.75,8.62,25.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
150,13.41,1031.53,0.45,13.82,1063.07,0.46,628.78,690.15,24.0,14.0,14.4,14.4,17.1,59.9 ,24.0,14.0,14.0,14.0,16.5,58.5 ,53.32,26.6,15.7,14.5,14.5,15.2,49.92,8.24,58.16,49.84,8.16,58.00,14.96,7.12,22.08,49.50,8.25,57.75,49.50,8.12,57.62,16.62,8.12,24.74,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
160,13.40,1030.76,0.45,13.82,1063.07,0.46,629.05,633.47,24.0,14.0,14.4,14.4,17.1,60.0 ,24.0,14.0,14.0,14.0,16.5,58.5 ,58.09,28.8,16.7,14.8,14.5,16.9,51.04,8.24,59.28,49.92,8.16,58.08,16.56,8.00,24.56,49.37,8.25,57.62,49.37,8.25,57.62,16.62,8.25,24.87,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
170,13.43,1033.07,0.45,13.82,1063.07,0.46,629.05,720.09,24.0,14.0,14.4,14.4,17.0,59.8 ,24.0,14.0,14.0,14.0,16.5,58.5 ,51.10,30.5,17.5,14.4,14.4,17.3,49.60,8.24,57.84,49.52,8.16,57.68,16.88,8.16,25.04,49.37,8.25,57.62,49.37,8.25,57.62,16.50,8.12,24.62,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
180,13.44,1033.84,0.45,13.82,1063.07,0.46,628.78,721.28,24.0,14.0,14.4,14.4,17.1,59.8 ,24.0,14.0,14.0,14.0,16.5,58.5 ,51.02,24.1,13.7,14.4,14.4,17.3,49.52,8.16,57.68,49.36,8.16,57.52,16.88,8.16,25.04,49.37,8.12,57.49,49.37,8.25,57.62,16.62,8.12,24.74,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
190,13.49,1037.69,0.45,13.82,1063.07,0.46,629.05,723.96,24.0,14.0,14.4,14.3,17.1,59.8 ,24.0,14.0,14.0,14.0,16.5,58.5 ,50.83,26.1,15.1,14.4,14.4,17.3,49.52,8.16,57.68,49.36,8.16,57.52,16.88,8.16,25.04,49.25,8.12,57.37,49.25,8.12,57.37,16.50,8.25,24.75,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
200,13.51,1039.23,0.45,13.82,1063.07,0.46,629.05,687.95,24.0,14.0,14.3,14.3,16.9,59.5 ,24.0,14.0,14.0,14.0,16.5,58.5 ,53.49,27.7,15.9,14.4,14.4,17.2,49.44,8.16,57.60,49.36,8.16,57.52,16.80,8.16,24.96,49.12,8.12,57.24,49.12,8.12,57.24,16.50,8.12,24.62,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
210,13.52,1040.00,0.45,13.82,1063.07,0.46,628.78,705.83,24.0,14.0,14.3,14.3,16.9,59.6 ,24.0,14.0,14.0,14.0,16.5,58.5 ,52.14,29.2,16.7,14.4,14.4,17.2,49.36,8.16,57.52,49.28,8.16,57.44,16.80,8.16,24.96,49.12,8.12,57.24,49.12,8.12,57.24,16.50,8.12,24.62,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
220,13.53,1040.76,0.45,13.82,1063.07,0.46,628.78,736.07,24.0,14.0,14.3,14.3,17.0,59.6 ,24.0,14.0,14.0,14.0,16.5,58.5 ,50.00,24.1,13.6,14.4,14.3,17.2,49.28,8.16,57.44,49.20,8.08,57.28,16.80,8.16,24.96,49.00,8.12,57.12,49.00,8.12,57.12,16.50,8.25,24.75,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
230,13.54,1041.53,0.45,13.82,1063.07,0.46,629.05,733.06,24.0,14.0,14.3,14.3,16.9,59.5 ,24.0,14.0,14.0,14.0,16.5,58.5 ,50.20,25.7,14.7,14.4,14.3,17.2,49.28,8.16,57.44,49.12,8.08,57.20,16.80,8.16,24.96,49.00,8.12,57.12,49.00,8.12,57.12,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
