,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,4.69,360.76,0.12,6.32,486.15,0.16,738.46,316.51,21.5,16.0,13.5,0.0,0.0,29.5 ,21.5,16.0,10.0,0.0,0.0,26.0 ,60.66,17.2,30.3,13.9,0.0,0.0,100.40,10.88,111.28,0,0,0,0,0,0,97.00,10.87,107.87,0,0,0,0,0,0,72.00,8.00,80.00,0,0,0,0,0,0
20,5.02,386.15,0.13,5.27,405.38,0.14,685.71,354.95,21.5,16.0,12.6,0.0,0.0,28.6 ,21.5,16.0,12.0,0.0,0.0,28.0 ,54.09,19.2,31.4,11.9,0.0,0.0,86.48,9.12,95.60,0,0,0,0,0,0,91.62,9.00,100.62,0,0,0,0,0,0,88.00,8.00,96.00,0,0,0,0,0,0
30,1.92,147.69,0.08,3.96,304.61,0.16,300.00,302.15,21.5,16.0,13.0,39.5,0.0,68.5 ,21.5,16.0,12.0,36.0,0.0,64.0 ,63.54,14.4,20.5,13.1,79.2,0.0,96.24,8.64,104.88,79.20,79.20,158.40,0,0,0,95.62,8.62,104.24,79.00,8.62,87.62,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
40,,,,3.96,304.61,0.16,299.87,261.43,21.5,16.0,83.2,38.3,0.0,137.5 ,21.5,16.0,12.0,36.0,0.0,64.0 ,73.44,16.7,23.7,14.1,78.9,0.1,103.60,8.88,112.48,78.96,78.88,157.84,.24,0,.24,601.62,64.00,665.62,76.62,8.37,84.99,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
50,2.00,153.84,0.09,3.96,304.61,0.16,300.00,304.63,21.5,16.0,12.6,38.0,0.0,66.6 ,21.5,16.0,12.0,36.0,0.0,64.0 ,63.03,14.2,19.0,12.6,77.0,0.3,92.48,8.40,100.88,77.04,76.96,154.00,.64,.08,.72,92.25,8.37,100.62,76.00,8.37,84.37,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
60,2.01,154.61,0.09,3.96,304.61,0.16,300.00,290.73,21.5,16.0,12.5,37.7,0.0,66.2 ,21.5,16.0,12.0,36.0,0.0,64.0 ,66.04,15.3,21.4,12.5,76.0,3.9,91.60,8.32,99.92,76.00,75.92,151.92,9.28,1.44,10.72,91.50,8.25,99.75,75.50,8.25,83.75,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
70,2.02,155.38,0.09,3.96,304.61,0.16,300.00,264.18,21.5,16.0,12.4,37.6,0.0,66.0 ,21.5,16.0,12.0,36.0,0.0,64.0 ,72.68,13.9,18.4,12.4,75.4,13.9,91.12,8.24,99.36,75.36,75.36,150.72,35.52,2.48,38.00,91.00,8.25,99.25,75.25,8.25,83.50,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
80,,,,3.17,243.84,0.16,205.56,222.92,21.5,16.0,83.1,4.1,30.7,133.9 ,21.5,16.0,12.0,36.0,29.4,93.4 ,86.13,15.8,20.3,13.5,75.5,20.0,99.36,8.48,107.84,75.60,75.52,151.12,49.20,5.28,54.48,600.87,64.00,664.87,0,8.25,8.25,75.00,8.62,83.62,88.00,8.00,96.00,72.00,8.00,80.00,72.00,8.00,80.00
