,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,17.02,321.13,CPU bound. 17.02 GFLOP/s due to CPU bottleneck,17.02,321.13,,320.93,260.00,59.8,32.0,0.0,0.0,0.0,59.8 ,59.8,32.0,0.0,0.0,0.0,59.8 ,73.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,17.02,321.13,CPU bound. 17.02 GFLOP/s due to CPU bottleneck,17.02,321.13,,320.93,264.70,59.8,32.0,3.6,0.0,0.0,59.8 ,59.8,32.0,3.0,0.0,0.0,59.8 ,72.53,20.16,9.12,29.28,0,0,0,0,0,0,19.87,9.00,28.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,17.02,321.13,CPU bound. 17.02 GFLOP/s due to CPU bottleneck,17.02,321.13,,320.93,313.88,59.8,32.0,3.4,0.0,0.0,59.8 ,59.8,32.0,3.0,0.0,0.0,59.8 ,61.17,21.76,8.72,30.48,0,0,0,0,0,0,18.50,8.62,27.12,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,17.02,321.13,CPU bound. 17.02 GFLOP/s due to CPU bottleneck,17.02,321.13,,320.93,310.13,59.8,32.0,5.4,0.0,0.0,59.8 ,59.8,32.0,5.0,0.0,0.0,59.8 ,61.91,35.12,8.48,43.60,7.52,7.52,15.04,0,0,0,35.00,8.37,43.37,0,0,0,0,0,0,32.00,8.00,40.00,0,0,0,0,0,0
50,17.02,321.13,CPU bound. 17.02 GFLOP/s due to CPU bottleneck,17.02,321.13,,320.93,340.27,59.8,32.0,5.3,8.7,0.0,59.8 ,59.8,32.0,5.0,8.0,0.0,59.8 ,56.43,34.48,8.40,42.88,17.28,17.28,34.56,0,0,0,34.37,8.37,42.74,17.50,8.37,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,17.02,321.13,CPU bound. 17.02 GFLOP/s due to CPU bottleneck,17.02,321.13,,320.93,327.78,59.8,32.0,5.3,8.7,0.0,59.8 ,59.8,32.0,5.0,8.0,0.0,59.8 ,58.58,34.08,8.32,42.40,17.44,17.36,34.80,0,0,0,34.00,8.25,42.25,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,17.02,321.13,CPU bound. 17.02 GFLOP/s due to CPU bottleneck,17.02,321.13,,320.93,367.34,59.8,32.0,5.2,8.8,0.0,59.8 ,59.8,32.0,5.0,8.0,0.0,59.8 ,52.27,33.68,8.24,41.92,17.20,17.12,34.32,0,0,0,33.62,8.25,41.87,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,17.02,321.13,CPU bound. 17.02 GFLOP/s due to CPU bottleneck,17.02,321.13,,320.93,314.10,59.8,32.0,5.2,8.8,0.0,59.8 ,59.8,32.0,5.0,8.0,0.0,59.8 ,61.13,34.56,8.24,42.80,17.04,17.04,34.08,0,0,0,33.50,8.25,41.75,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
90,17.02,321.13,CPU bound. 17.02 GFLOP/s due to CPU bottleneck,17.02,321.13,,320.93,320.50,59.8,32.0,5.2,8.9,0.0,59.8 ,59.8,32.0,5.0,8.0,0.0,59.8 ,59.91,33.44,8.24,41.68,16.96,16.96,33.92,0,0,0,33.25,8.25,41.50,17.87,8.12,25.99,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
100,17.02,321.13,CPU bound. 17.02 GFLOP/s due to CPU bottleneck,17.02,321.13,,320.93,352.63,59.8,32.0,5.2,9.1,0.0,59.8 ,59.8,32.0,5.0,8.0,0.0,59.8 ,54.45,33.28,8.16,41.44,16.88,16.88,33.76,.16,.08,.24,33.12,8.12,41.24,18.12,8.12,26.24,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
