N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,14.30,1100.00,CPU bound,14.30,1100.00,,1100.00,284.96,16.0,14.0,0.0,0.0,0.0,16.0 ,16.0,14.0,0.0,0.0,0.0,16.0 ,61.76,45.0,26.0,0.0,0.0,0.1,0,0,0,0,0,0,.08,.08,.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,14.30,1100.00,CPU bound,14.30,1100.00,,879.60,400.99,16.0,14.0,7.2,0.0,0.0,21.2 ,16.0,14.0,6.0,0.0,0.0,20.0 ,43.89,33.1,19.3,7.2,0.0,0.1,19.92,8.88,28.80,0,0,0,.08,.08,.16,19.87,9.12,28.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,12.01,923.84,0.48,13.55,1042.30,0.54,676.92,281.35,16.0,14.0,6.8,6.8,0.0,27.5 ,16.0,14.0,6.0,6.0,0.0,26.0 ,62.56,26.0,15.1,7.3,6.8,0.1,20.56,8.72,29.28,18.72,8.32,27.04,.16,.08,.24,18.37,8.62,26.99,18.37,8.62,26.99,0,0,0,16.00,8.00,24.00,16.00,8.00,24.00,0,0,0
40,10.09,776.15,0.31,10.73,825.38,0.33,586.66,282.83,16.0,14.0,10.6,6.5,0.0,31.2 ,16.0,14.0,10.0,6.0,0.0,30.0 ,62.23,26.0,14.9,10.7,6.6,0.1,34.48,8.48,42.96,18.16,8.40,26.56,.16,.08,.24,34.12,8.37,42.49,17.75,8.37,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,10.19,783.84,0.31,10.73,825.38,0.33,586.66,290.16,16.0,14.0,10.5,6.4,0.0,31.0 ,16.0,14.0,10.0,6.0,0.0,30.0 ,60.66,22.4,13.4,10.6,6.5,0.1,33.92,8.40,42.32,17.76,8.32,26.08,.16,.16,.32,33.75,8.37,42.12,17.37,8.37,25.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,10.28,790.76,0.31,10.73,825.38,0.33,586.66,285.39,16.0,14.0,10.4,6.4,0.0,30.9 ,16.0,14.0,10.0,6.0,0.0,30.0 ,61.67,23.5,13.5,10.5,6.4,0.1,33.68,8.32,42.00,17.52,8.24,25.76,.16,.08,.24,33.50,8.25,41.75,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,10.35,796.15,0.31,10.73,825.38,0.33,586.66,290.22,16.0,14.0,10.4,6.4,0.0,30.8 ,16.0,14.0,10.0,6.0,0.0,30.0 ,60.64,20.9,12.7,10.4,7.1,0.1,33.36,8.24,41.60,20.00,8.24,28.24,.16,.08,.24,33.25,8.25,41.50,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,10.41,800.76,0.32,10.73,825.38,0.33,586.66,289.51,16.0,14.0,10.3,6.5,0.0,30.8 ,16.0,14.0,10.0,6.0,0.0,30.0 ,60.79,21.2,12.9,10.6,8.0,0.1,34.16,8.24,42.40,23.76,8.16,31.92,.16,.08,.24,33.00,8.25,41.25,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
90,10.44,803.07,0.32,10.73,825.38,0.33,586.40,293.55,16.0,14.0,10.3,6.5,0.0,30.8 ,16.0,14.0,10.0,6.0,0.0,30.0 ,59.96,20.1,12.3,10.3,7.7,0.1,33.04,8.24,41.28,22.48,8.16,30.64,.16,.08,.24,32.87,8.25,41.12,17.87,8.12,25.99,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
100,7.46,573.84,0.32,7.49,576.15,0.33,517.41,289.84,16.0,14.0,10.3,10.0,0.0,34.3 ,16.0,14.0,10.0,10.0,0.0,34.0 ,60.72,21.1,12.5,10.3,10.1,0.1,32.88,8.16,41.04,32.24,8.16,40.40,.16,.16,.32,32.87,8.12,40.99,32.00,8.12,40.12,0,0,0,32.00,8.00,40.00,32.00,8.00,40.00,0,0,0
110,7.33,563.84,0.32,7.49,576.15,0.33,517.41,294.92,16.0,14.0,10.2,10.2,0.0,34.5 ,16.0,14.0,10.0,10.0,0.0,34.0 ,59.68,19.5,12.0,10.2,10.3,0.6,32.80,8.16,40.96,32.88,8.16,41.04,.72,.48,1.20,32.75,8.12,40.87,32.75,8.12,40.87,0,0,0,32.00,8.00,40.00,32.00,8.00,40.00,0,0,0
120,7.34,564.61,0.32,7.49,576.15,0.33,396.39,290.64,16.0,14.0,10.2,10.2,8.9,43.3 ,16.0,14.0,10.0,10.0,10.4,44.4 ,60.56,19.9,12.2,10.3,10.3,4.4,32.88,8.16,41.04,32.96,8.16,41.12,5.28,4.24,9.52,32.75,8.12,40.87,32.75,8.12,40.87,12.50,8.12,20.62,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
