N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.08,56.21,0.0,CPU bound,2.08,56.21,0.0,,56.06,56.43,171.2,100.4,0.0,0.0,0.0,171.16,171.2,100.4,0.0,0.0,0.0,171.16,170.14,68.9,93.3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.08,56.21,43.345164901306724,CPU bound,2.08,56.21,35.53727506426736,,56.08,75.59,171.2,100.4,11.0,0.0,0.0,171.16,171.2,100.4,9.0,0.0,0.0,171.16,127.00,60.4,59.1,11.2,0.0,0.0,80.32,9.28,89.60,0,0,0,0,0,0,76.37,11.37,87.74,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,2.08,56.21,42.95151847316622,CPU bound,2.08,56.21,35.53727506426736,,56.08,75.94,171.2,100.4,10.9,0.0,0.0,171.16,171.2,100.4,9.0,0.0,0.0,171.16,126.41,60.9,54.0,11.4,0.6,0.0,82.00,9.36,91.36,.64,.56,1.20,.08,0,.08,77.75,9.37,87.12,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
40,2.08,56.21,42.62045705269027,CPU bound,2.08,56.21,35.53727506426736,,56.08,76.92,171.2,100.4,10.8,11.1,0.0,171.16,171.2,100.4,9.0,8.0,0.0,171.16,124.80,59.6,51.9,10.8,21.5,0.0,77.76,8.56,86.32,21.52,21.44,42.96,.08,0,.08,77.00,9.37,86.37,22.12,22.12,44.24,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,2.08,56.21,39.54000601552919,CPU bound,2.08,56.21,35.53727506426736,,56.08,78.44,171.2,100.4,10.0,10.1,0.0,171.16,171.2,100.4,9.0,8.0,0.0,171.16,122.39,59.5,50.8,10.3,21.1,0.0,73.76,8.80,82.56,21.12,21.12,42.24,0,0,0,71.37,8.75,80.12,20.25,20.25,40.50,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
60,2.08,56.21,39.98054994518914,CPU bound,2.08,56.21,35.53727506426736,,56.08,79.75,171.2,100.4,10.1,10.2,0.0,171.16,171.2,100.4,9.0,8.0,0.0,171.16,120.38,58.5,50.1,10.1,20.3,0.2,72.16,8.32,80.48,20.40,20.32,40.72,.48,0,.48,72.12,8.87,80.99,20.25,20.37,40.62,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
70,2.08,56.21,38.28564894601542,CPU bound,2.08,56.21,35.53727506426736,,56.08,79.24,171.2,100.4,9.7,10.1,9.7,171.16,171.2,100.4,9.0,8.0,8.8,171.16,121.15,58.7,49.6,10.1,21.8,0.4,71.92,8.56,80.48,21.76,21.76,43.52,.80,.32,1.12,69.12,8.50,77.62,6.00,20.12,26.12,14.25,10.25,24.50,64.00,8.00,72.00,16.00,8.00,24.00,16.00,8.00,24.00
80,2.08,56.21,38.759148859069725,CPU bound,2.08,56.21,35.53727506426736,,56.08,74.17,171.2,100.4,9.8,9.0,9.8,171.16,171.2,100.4,9.0,8.0,8.8,171.16,129.43,60.6,49.3,12.1,59.4,3.1,87.20,9.60,96.80,59.44,59.36,118.80,6.80,1.52,8.32,69.87,8.62,78.49,0,18.00,18.00,18.00,8.62,26.62,64.00,8.00,72.00,16.00,8.00,24.00,16.00,8.00,24.00
90,2.08,56.21,37.618616434025334,CPU bound,2.08,56.21,35.53727506426736,,56.08,77.76,171.2,100.4,9.5,8.8,9.5,171.16,171.2,100.4,9.0,8.0,8.8,171.16,123.45,59.7,49.0,10.1,39.3,5.5,72.08,8.48,80.56,39.28,39.20,78.48,7.84,6.16,14.00,67.87,8.37,76.24,0,17.50,17.50,17.50,8.37,25.87,64.00,8.00,72.00,16.00,8.00,24.00,16.00,8.00,24.00
100,2.08,56.21,112.9832068610635,CPU bound,2.08,56.21,56.742945100051315,,56.08,78.14,171.2,100.4,9.6,34.3,9.6,171.16,171.2,100.4,9.0,32.0,8.8,171.16,122.86,58.5,48.8,11.7,53.1,7.9,84.72,8.88,93.60,53.12,53.12,106.24,13.68,7.76,21.44,68.62,8.50,77.12,51.12,68.62,119.74,17.50,8.50,26.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
