N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.63,93.92,0.0,CPU bound,2.63,93.92,0.0,,93.64,84.84,98.1,64.0,0.0,0.0,0.0,98.12,98.1,64.0,0.0,0.0,0.0,98.12,108.43,50.3,60.7,0.0,0.0,0.1,0,0,0,0,0,0,.08,.08,.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.63,93.92,44.104309151824324,CPU bound,2.63,93.92,36.159672466734904,,93.64,104.13,98.1,64.0,11.0,0.0,0.0,98.12,98.1,64.0,9.0,0.0,0.0,98.12,88.35,43.0,38.7,10.4,4.4,0.1,73.84,9.28,83.12,14.72,3.04,17.76,.08,.08,.16,76.37,11.37,87.74,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,2.63,93.92,43.7037684270918,CPU bound,2.63,93.92,36.159672466734904,,93.64,76.67,98.1,64.0,10.9,8.3,0.0,98.12,98.1,64.0,9.0,6.0,0.0,98.12,120.00,40.3,35.4,11.4,9.4,0.1,82.16,9.44,91.60,28.40,9.28,37.68,.16,.08,.24,77.75,9.37,87.12,24.00,9.25,33.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
40,2.63,93.92,43.36690881956327,CPU bound,2.63,93.92,36.159672466734904,,93.64,76.61,98.1,64.0,10.8,7.9,0.0,98.12,98.1,64.0,9.0,6.0,0.0,98.12,120.08,40.1,34.1,10.5,17.2,0.1,75.84,8.48,84.32,60.32,8.48,68.80,.16,.08,.24,77.00,9.37,86.37,22.12,9.37,31.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,2.63,93.92,40.23250697383597,CPU bound,2.63,93.92,44.83248730964468,,93.64,76.98,98.1,64.0,10.0,14.4,0.0,98.12,98.1,64.0,9.0,18.0,0.0,98.12,119.52,39.8,33.4,10.3,17.4,0.1,73.76,8.80,82.56,61.12,8.64,69.76,.16,.08,.24,71.37,8.75,80.12,48.75,8.75,57.50,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
60,2.63,93.92,50.45170439787814,CPU bound,2.63,93.92,44.83248730964468,,93.64,89.03,98.1,64.0,10.1,20.3,0.0,98.12,98.1,64.0,9.0,18.0,0.0,98.12,103.34,41.8,34.9,10.0,19.7,0.1,71.76,8.32,80.08,70.48,8.32,78.80,.08,.08,.16,72.12,8.87,80.99,72.12,8.87,80.99,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
70,2.63,93.92,48.3015255499154,CPU bound,2.63,93.92,44.83248730964468,,93.64,89.51,98.1,64.0,9.7,19.4,0.0,98.12,98.1,64.0,9.0,18.0,0.0,98.12,102.78,41.4,34.3,10.0,20.0,0.1,71.76,8.48,80.24,71.60,8.48,80.08,.08,.08,.16,69.12,8.50,77.62,69.12,8.50,77.62,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,2.63,93.92,48.91900044430669,CPU bound,2.63,93.92,44.83248730964468,,93.64,88.14,98.1,64.0,9.8,19.6,0.0,98.12,98.1,64.0,9.0,18.0,0.0,98.12,104.38,41.3,33.9,10.6,19.7,0.4,75.92,8.96,84.88,70.48,8.16,78.64,.48,.16,.64,69.87,8.62,78.49,69.87,8.62,78.49,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
90,2.63,93.92,47.48577353637903,CPU bound,2.63,93.92,44.83248730964468,,93.64,88.09,98.1,64.0,9.5,19.1,0.0,98.12,98.1,64.0,9.0,18.0,0.0,98.12,104.44,41.0,33.5,10.3,19.6,4.3,73.76,8.56,82.32,70.08,8.40,78.48,4.40,2.88,7.28,67.87,8.37,76.24,67.87,8.37,76.24,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
100,2.63,93.92,48.010214010152275,CPU bound,2.63,93.92,44.83248730964468,,87.39,87.84,98.1,64.0,9.6,19.3,15.4,108.27,98.1,64.0,9.0,18.0,14.1,105.13,104.74,41.0,33.3,11.8,19.4,11.1,85.20,8.80,94.00,69.28,8.16,77.44,12.08,6.72,18.80,68.62,8.50,77.12,68.62,8.50,77.12,17.50,8.50,26.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
110,2.63,93.92,46.95575390862943,CPU bound,2.63,93.92,44.83248730964468,,87.39,87.72,98.1,64.0,9.4,18.9,15.0,107.31,98.1,64.0,9.0,18.0,14.1,105.13,104.88,41.0,33.0,10.3,19.3,15.0,74.08,8.40,82.48,68.80,8.32,77.12,17.12,8.24,25.36,67.12,8.25,75.37,67.12,8.37,75.49,17.25,8.25,25.50,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
