N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,3.98,306.15,0.12,5.36,412.30,0.16,352.00,167.78,26.0,30.0,27.0,0.0,0.0,57.0,26.0,30.0,20.0,0.0,0.0,50.0,104.90,56.7,66.2,27.1,0.0,0.2,97.60,10.88,108.48,0,0,0,.24,.24,.48,97.00,10.87,107.87,0,0,0,0,0,0,72.00,8.00,80.00,0,0,0,0,0,0
20,3.24,249.23,0.14,3.75,288.46,0.16,237.83,208.41,26.0,30.0,25.2,23.1,0.0,78.3,26.0,30.0,24.0,20.0,0.0,74.0,84.45,41.6,46.7,23.9,23.2,0.2,86.40,9.04,95.44,84.00,8.64,92.64,.16,.16,.32,91.62,9.00,100.62,83.25,9.12,92.37,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
30,3.42,263.07,0.15,3.75,288.46,0.16,237.83,207.50,26.0,30.0,26.1,21.9,0.0,78.0,26.0,30.0,24.0,20.0,0.0,74.0,84.82,32.6,35.8,26.5,21.3,0.2,97.12,8.72,105.84,77.20,8.08,85.28,.16,.16,.32,95.62,8.62,104.24,79.00,8.62,87.62,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
40,0,0,0,3.75,288.46,0.16,237.83,202.08,26.0,30.0,166.4,21.3,0.0,217.7,26.0,30.0,24.0,20.0,0.0,74.0,87.10,33.5,34.7,28.3,21.0,0.2,104.40,8.88,113.28,76.24,7.84,84.08,.24,.16,.40,601.62,64.00,665.62,76.62,8.37,84.99,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
50,3.33,256.15,0.14,3.75,288.46,0.16,237.83,224.52,26.0,30.0,25.2,22.5,0.0,77.7,26.0,30.0,24.0,20.0,0.0,74.0,78.39,28.0,30.9,25.4,21.1,0.1,93.20,8.40,101.60,76.80,7.68,84.48,.16,.16,.32,92.25,8.37,100.62,81.62,8.37,89.99,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
60,3.06,235.38,0.13,3.12,240.00,0.14,225.64,227.06,26.0,30.0,24.9,24.5,0.0,79.4,26.0,30.0,24.0,24.0,0.0,78.0,77.51,29.0,31.0,25.1,22.6,0.2,92.24,8.32,100.56,82.96,7.68,90.64,.24,.16,.40,91.50,8.25,99.75,89.50,8.25,97.75,0,0,0,88.00,8.00,96.00,88.00,8.00,96.00,0,0,0
70,3.02,232.30,0.13,3.12,240.00,0.14,225.53,214.59,26.0,30.0,24.8,24.8,0.0,79.6,26.0,30.0,24.0,24.0,0.0,78.0,82.02,26.5,28.8,25.0,23.9,4.3,91.68,8.32,100.00,87.68,7.76,95.44,9.04,1.04,10.08,91.00,8.25,99.25,91.00,8.25,99.25,0,0,0,88.00,8.00,96.00,88.00,8.00,96.00,0,0,0
80,0,0,0,1.98,152.30,0.16,156.93,145.67,26.0,30.0,178.1,147.7,34.9,390.7,26.0,30.0,24.0,24.0,34.1,112.1,120.82,28.3,29.2,26.3,24.3,24.6,96.64,8.56,105.20,90.32,6.80,97.12,52.32,5.36,57.68,648.37,64.00,712.37,534.87,55.75,590.62,73.87,8.25,82.12,88.00,8.00,96.00,88.00,8.00,96.00,72.00,8.00,80.00
90,1.93,148.46,0.16,1.98,152.30,0.16,157.00,127.78,26.0,30.0,24.6,24.6,34.9,114.2,26.0,30.0,24.0,24.0,34.1,112.1,137.74,25.6,27.7,24.8,24.6,33.6,91.04,8.24,99.28,90.48,7.84,98.32,70.72,8.32,79.04,90.25,8.25,98.50,90.25,8.25,98.50,73.87,8.25,82.12,88.00,8.00,96.00,88.00,8.00,96.00,72.00,8.00,80.00
100,1.93,148.46,0.16,1.98,152.30,0.16,157.00,122.73,26.0,30.0,24.5,24.5,34.9,113.9,26.0,30.0,24.0,24.0,34.1,112.1,143.41,26.1,28.1,24.6,24.4,35.2,90.24,8.24,98.48,89.84,7.76,97.60,74.32,8.48,82.80,90.00,8.12,98.12,90.00,8.12,98.12,73.62,8.25,81.87,88.00,8.00,96.00,88.00,8.00,96.00,72.00,8.00,80.00
