,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,3.91,156.40,0.11,6.95,278.00,0.20,261.99,102.81,39.2,38.2,56.9,0.0,0.0,95.1 ,39.2,38.2,32.0,0.0,0.0,70.2 ,178.97,50.7,118.6,56.5,0.0,0.1,212.00,13.84,225.84,0,0,0,0,0,0,213.75,13.87,227.62,0,0,0,0,0,0,120.00,8.00,128.00,0,0,0,0,0,0
20,4.13,165.20,0.15,5.31,212.40,0.20,166.96,142.47,39.2,38.2,50.6,41.2,0.0,130.0 ,39.2,38.2,40.0,32.0,0.0,110.2 ,129.15,20.4,46.9,52.7,49.7,0.0,200.56,10.24,210.80,188.64,10.00,198.64,0,0,0,192.37,10.00,202.37,154.75,10.00,164.75,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
30,4.50,180.00,0.17,5.31,212.40,0.20,166.96,155.01,39.2,38.2,46.7,37.8,0.0,122.7 ,39.2,38.2,40.0,32.0,0.0,110.2 ,118.71,23.5,56.0,47.2,43.2,0.0,179.36,9.36,188.72,163.68,9.12,172.80,0,0,0,177.50,9.25,186.75,141.87,9.25,151.12,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
40,,,,5.31,212.40,0.20,166.96,123.63,39.2,38.2,267.3,36.1,0.0,341.6 ,39.2,38.2,40.0,32.0,0.0,110.2 ,148.83,18.3,41.9,76.7,44.5,0.0,295.20,11.60,306.80,168.88,8.96,177.84,0,0,0,1005.37,64.00,1069.37,135.37,8.87,144.24,0,0,0,152.00,8.00,160.00,120.00,8.00,128.00,0,0,0
50,3.97,158.80,0.15,4.25,170.00,0.16,155.60,162.87,39.2,38.2,43.7,42.8,0.0,124.7 ,39.2,38.2,40.0,40.0,0.0,118.2 ,112.97,20.6,48.1,44.3,45.3,0.9,168.48,8.80,177.28,172.56,8.72,181.28,1.36,.08,1.44,166.25,8.75,175.00,162.50,8.75,171.25,0,0,0,152.00,8.00,160.00,152.00,8.00,160.00,0,0,0
60,2.54,101.60,0.18,2.76,110.40,0.20,91.32,99.68,39.2,38.2,43.0,43.0,90.2,214.4 ,39.2,38.2,40.0,40.0,83.2,201.4 ,184.59,17.7,40.5,43.7,43.7,57.3,166.08,8.72,174.80,166.32,8.64,174.96,82.48,5.76,88.24,163.50,8.62,172.12,163.50,8.62,172.12,130.25,8.62,138.87,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
70,2.55,102.00,0.18,2.76,110.40,0.20,91.36,85.30,39.2,38.2,42.6,42.6,90.1,213.5 ,39.2,38.2,40.0,40.0,83.2,201.4 ,215.72,19.7,45.1,42.9,43.0,89.2,162.96,8.56,171.52,163.68,8.40,172.08,128.80,8.48,137.28,161.87,8.50,170.37,161.87,8.50,170.37,129.37,9.25,138.62,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
80,,,,2.76,110.40,0.20,91.32,71.04,39.2,38.2,294.4,266.4,87.9,686.9 ,39.2,38.2,40.0,40.0,83.2,201.4 ,259.01,17.6,39.8,72.1,61.5,90.4,277.52,10.96,288.48,239.52,6.56,246.08,130.64,8.48,139.12,1113.75,64.00,1177.75,1001.62,64.00,1065.62,126.75,8.37,135.12,152.00,8.00,160.00,152.00,8.00,160.00,120.00,8.00,128.00
