,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,14.76,1845.00,,14.76,1845.00,,1840.00,330.62,10.0,8.0,0.0,0.0,0.0,10.0 ,10.0,8.0,0.0,0.0,0.0,10.0 ,55.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,11.91,1488.75,0.28,14.38,1797.50,0.33,1314.28,350.53,10.0,8.0,7.2,0.0,0.0,15.2 ,10.0,8.0,6.0,0.0,0.0,14.0 ,52.49,20.00,9.12,29.12,0,0,0,0,0,0,19.87,9.12,28.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,9.32,1165.00,0.30,10.51,1313.75,0.33,919.60,568.86,10.0,8.0,6.8,6.8,0.0,21.5 ,10.0,8.0,6.0,6.0,0.0,20.0 ,32.35,20.80,8.72,29.52,18.32,8.16,26.48,0,0,0,18.37,8.62,26.99,18.37,8.62,26.99,0,0,0,16.00,8.00,24.00,16.00,8.00,24.00,0,0,0
40,6.92,865.00,0.19,7.36,920.00,0.20,766.33,634.15,10.0,8.0,10.6,6.5,0.0,25.2 ,10.0,8.0,10.0,6.0,0.0,24.0 ,29.02,34.40,8.48,42.88,18.16,8.48,26.64,0,0,0,34.12,8.37,42.49,17.75,8.37,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,6.99,873.75,0.19,7.36,920.00,0.20,766.33,664.55,10.0,8.0,10.5,6.4,0.0,25.0 ,10.0,8.0,10.0,6.0,0.0,24.0 ,27.69,33.84,8.40,42.24,18.00,8.32,26.32,0,0,0,33.75,8.37,42.12,17.37,8.37,25.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,7.05,881.25,0.19,7.36,920.00,0.20,766.66,709.39,10.0,8.0,10.4,6.4,0.0,24.9 ,10.0,8.0,10.0,6.0,0.0,24.0 ,25.94,33.60,8.32,41.92,18.24,8.24,26.48,0,0,0,33.50,8.25,41.75,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,7.10,887.50,0.19,7.36,920.00,0.20,766.66,733.51,10.0,8.0,10.4,6.4,0.0,24.8 ,10.0,8.0,10.0,6.0,0.0,24.0 ,25.08,33.36,8.24,41.60,19.28,8.24,27.52,0,0,0,33.25,8.25,41.50,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,7.14,892.50,0.19,7.36,920.00,0.20,766.66,742.80,10.0,8.0,10.3,6.5,0.0,24.8 ,10.0,8.0,10.0,6.0,0.0,24.0 ,24.77,33.36,8.24,41.60,22.32,8.16,30.48,0,0,0,33.00,8.25,41.25,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
90,7.16,895.00,0.19,7.36,920.00,0.20,766.66,692.96,10.0,8.0,10.3,6.5,0.0,24.8 ,10.0,8.0,10.0,6.0,0.0,24.0 ,26.55,33.12,8.16,41.28,25.28,8.16,33.44,.24,.08,.32,32.87,8.25,41.12,17.87,8.12,25.99,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
100,5.93,741.25,0.20,5.95,743.75,0.20,657.14,659.51,10.0,8.0,10.3,10.0,0.0,28.3 ,10.0,8.0,10.0,10.0,0.0,28.0 ,27.90,32.96,8.16,41.12,29.28,8.08,37.36,2.16,1.60,3.76,32.87,8.12,40.99,32.00,8.12,40.12,0,0,0,32.00,8.00,40.00,32.00,8.00,40.00,0,0,0
