N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
930,,,L3 930 930 930 16 380 930,,,,,,,,,,,,,,
940,,,L3 940 940 940 16 376 940,,,,,,,,,,,,,,
950,,,L3 950 950 950 16 372 950,,,,,,,,,,,,,,
960,,,L3 960 960 960 16 369 960,,,,,,,,,,,,,,
970,,,L3 970 970 970 16 365 970,,,,,,,,,,,,,,
980,,,L3 980 980 980 16 361 980,,,,,,,,,,,,,,
990,,,L3 990 990 990 16 357 990,,,,,,,,,,,,,,
1000,,,L3 1000 1000 1000 16 354 1000,,,,,,,,,,,,,,
1010,,,L3 1010 1010 1010 16 350 1010,,,,,,,,,,,,,,
1020,,,L3 1020 1020 1020 16 347 1020,,,,,,,,,,,,,,
1030,,,L3 1030 1030 1030 16 344 1030,,,,,,,,,,,,,,
1040,,,L3 1040 1040 1040 16 340 1040,,,,,,,,,,,,,,
