,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction),,,,,,,,
140,5.48,685,0.33,4.89,611.25,0.29,418,456.18,10,8,10.2,10.2,16.9,45.2,12,7.5,10,10,16.5,44,40.33,8.16,32.72,40.88,8,32.64,40.64,8.16,16.56,24.72,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49
150,5.5,687.5,0.33,4.89,611.25,0.29,418.18,466.99,10,8,10.2,10.2,16.8,45.1,12,7.5,10,10,16.5,44,39.4,8.08,32.64,40.72,7.92,32.64,40.56,8.16,16.56,24.72,32.5,8.12,40.62,32.5,8.12,40.62,16.37,8.12,24.49
160,5.5,687.5,0.33,4.89,611.25,0.29,418,458.27,10,8,10.2,10.2,16.8,45.1,12,7.5,10,10,16.5,44,40.15,8.08,32.64,40.72,7.92,32.56,40.48,8.08,16.56,24.64,32.5,8.12,40.62,32.5,8.12,40.62,16.25,8.12,24.37
170,5.49,686.25,0.33,4.89,611.25,0.29,418.18,466.02,10,8,10.1,10.1,16.8,45.1,12,7.5,10,10,16.5,44,39.48,8.08,32.56,40.64,7.92,32.56,40.48,8.08,16.48,24.56,32.5,8.12,40.62,32.5,8.12,40.62,16.25,8.12,24.37
180,5.5,687.5,0.33,4.89,611.25,0.29,418.18,464.49,10,8,10.1,10.1,16.8,45.1,12,7.5,10,10,16.5,44,39.61,8.08,32.56,40.64,7.92,32.48,40.4,8.08,16.48,24.56,32.5,8.12,40.62,32.5,8.12,40.62,16.25,8.12,24.37
190,5.51,688.75,0.33,4.89,611.25,0.29,418,454.34,12,8,10.1,10.1,16.8,45,12,7.5,10,10,16.5,44,40.5,8.08,32.48,40.56,7.92,32.48,40.4,8.08,16.4,24.48,32.5,8.12,40.62,32.5,8.12,40.62,16.25,8.12,24.37
200,5.51,688.75,0.33,4.89,611.25,0.29,418,464.87,10,8,10.1,10.1,16.8,45,12,7.5,10,10,16.5,44,39.58,8.08,32.48,40.56,7.92,32.4,40.32,8.08,16.4,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37
210,5.53,691.25,0.33,4.89,611.25,0.29,418,463.03,10,8,10.1,10.1,16.7,44.9,12,7.5,10,10,16.5,44,39.74,8.08,32.48,40.56,7.92,32.4,40.32,8.08,16.4,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8,24.25
220,5.51,688.75,0.33,4.89,611.25,0.29,418,459.45,10,8,10.1,10.1,16.8,45,12,7.5,10,10,16.5,44,40.05,8.08,32.48,40.56,7.92,32.4,40.32,8.08,16.4,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37
230,5.54,692.5,0.33,4.89,611.25,0.29,418,470.42,10,8,10.1,10.1,16.7,44.9,12,7.5,10,10,16.5,44,39.11,8.08,32.48,40.56,7.92,32.4,40.32,8.08,16.4,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.12,8,24.12
240,5.54,692.5,0.33,4.89,611.25,0.29,418,465.88,10,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,39.49,8.08,32.48,40.56,7.84,32.4,40.24,8.08,16.4,24.48,32.25,8.12,40.37,32.25,8.12,40.37,16.12,8,24.12
250,5.52,690,0.33,4.89,611.25,0.29,418,463.24,12,8,10.1,10.1,16.7,44.9,12,7.5,10,10,16.5,44,39.72,8.08,32.4,40.48,7.92,32.32,40.24,8.08,16.32,24.4,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37
260,5.51,688.75,0.33,4.89,611.25,0.29,418,464.66,10,8,10.1,10.1,16.8,45,12,7.5,10,10,16.5,44,39.6,8.08,32.4,40.48,7.92,32.32,40.24,8.08,16.32,24.4,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37
270,5.54,692.5,0.33,4.89,611.25,0.29,418,466.74,10,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,39.42,8.08,32.32,40.4,7.92,32.32,40.24,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,8,24.12
280,5.53,691.25,0.33,4.89,611.25,0.29,418,467.66,10,8,10.1,10.1,16.7,44.9,12,7.5,10,10,16.5,44,39.34,8.08,32.4,40.48,7.92,32.32,40.24,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,8.12,24.24
290,5.54,692.5,0.33,4.89,611.25,0.29,418,465.75,10,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,39.51,8.08,32.32,40.4,7.92,32.32,40.24,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,8,24.12
300,5.53,691.25,0.33,4.89,611.25,0.29,418.18,468.32,12,8,10.1,10.1,16.7,44.9,12,7.5,10,10,16.5,44,39.29,8.08,32.32,40.4,7.84,32.32,40.16,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,8.12,24.24
310,5.54,692.5,0.33,4.89,611.25,0.29,418,471.38,12,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,39.03,8.08,32.4,40.48,7.92,32.32,40.24,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,8,24.12
320,5.54,692.5,0.33,4.89,611.25,0.29,418,467.32,10,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,39.37,8.08,32.4,40.48,7.84,32.24,40.08,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,8,24.12
330,5.54,692.5,0.33,4.89,611.25,0.29,418,469.99,12,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,39.15,8.08,32.32,40.4,7.84,32.24,40.08,8.08,16.32,24.4,32.25,8,40.25,32.25,8.12,40.37,16.12,8,24.12
340,5.54,692.5,0.33,4.89,611.25,0.29,418,467.97,10,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,39.32,8.08,32.32,40.4,7.84,32.24,40.08,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,8,24.12
350,5.56,695,0.33,4.89,611.25,0.29,418,467.05,10,8,10.1,10.1,16.6,44.8,12,7.5,10,10,16.5,44,39.4,8.08,32.32,40.4,7.92,32.24,40.16,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,8,24.12
360,5.56,695,0.33,4.89,611.25,0.29,418,469.7,10,8,10.1,10.1,16.6,44.8,12,7.5,10,10,16.5,44,39.17,8.08,32.32,40.4,7.84,32.24,40.08,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,8,24.12
370,5.6,700,0.33,4.89,611.25,0.29,418.18,471.57,12,8,10.1,10.1,16.5,44.6,12,7.5,10,10,16.5,44,39.02,8.08,32.4,40.48,7.84,32.24,40.08,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,7.75,23.87
380,5.59,698.75,0.33,4.89,611.25,0.29,418,465.64,12,8,10.1,10.1,16.5,44.7,12,7.5,10,10,16.5,44,39.52,8.08,32.48,40.56,7.92,32.24,40.16,8.08,16.32,24.4,32.25,8,40.25,32.25,8,40.25,16.12,7.87,23.99
390,5.56,695,0.33,4.89,611.25,0.29,418,466.16,12,8,10.1,10.1,16.6,44.7,12,7.5,10,10,16.5,44,39.47,8.08,32.48,40.56,7.84,32.24,40.08,8.08,16.4,24.48,32.12,8,40.12,32.12,8,40.12,16.12,8,24.12
400,5.52,690,0.33,4.89,611.25,0.29,418,471.2,10,8,10.1,10.1,16.7,44.9,12,7.5,10,10,16.5,44,39.05,8.08,32.32,40.4,7.84,32.24,40.08,8.08,16.4,24.48,32.25,8,40.25,32.25,8,40.25,16.12,8.12,24.24
410,5.61,701.25,0.33,4.89,611.25,0.29,418,473.79,10,8,10,10,16.5,44.6,12,7.5,10,10,16.5,44,38.84,8.08,32.4,40.48,7.84,32.24,40.08,8.08,16.4,24.48,32.12,8,40.12,32.12,8,40.12,16.12,7.87,23.99
420,5.56,695,0.33,4.89,611.25,0.29,418,471.37,10,8,10,10,16.6,44.7,12,7.5,10,10,16.5,44,39.03,8.08,32.32,40.4,7.84,32.24,40.08,8.08,16.4,24.48,32.12,8,40.12,32.12,8,40.12,16.12,8,24.12
430,5.53,691.25,0.33,4.89,611.25,0.29,418,467.6,10,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,39.35,8.08,32.56,40.64,7.92,32.24,40.16,8.08,16.48,24.56,32.25,8,40.25,32.25,8,40.25,16.12,8.12,24.24
440,5.58,697.5,0.33,4.89,611.25,0.29,418,466.48,10,8,10.1,10.1,16.5,44.7,12,7.5,10,10,16.5,44,39.44,8.08,32.64,40.72,7.84,32.24,40.08,8.08,16.48,24.56,32.25,8,40.25,32.25,8,40.25,16.12,7.87,23.99
450,5.6,700,0.33,4.89,611.25,0.29,418,470.02,10,8,10,10,16.5,44.6,12,7.5,10,10,16.5,44,39.15,8.08,32.4,40.48,7.84,32.24,40.08,8.08,16.56,24.64,32.12,8,40.12,32.12,8,40.12,16.12,7.87,23.99
460,5.57,696.25,0.33,4.89,611.25,0.29,418,467.75,10,8,10,10,16.6,44.7,12,7.5,10,10,16.5,44,39.34,8.08,32.56,40.64,7.92,32.24,40.16,8.08,16.56,24.64,32.12,8,40.12,32.12,8,40.12,16.12,8,24.12
470,5.59,698.75,0.33,4.89,611.25,0.29,418.18,471.13,10,8,10,10,16.5,44.6,12,7.5,10,10,16.5,44,39.06,8.08,32.48,40.56,7.84,32.24,40.08,8.08,16.64,24.72,32.12,8,40.12,32.12,8,40.12,16.12,7.87,23.99
480,5.55,693.75,0.33,4.89,611.25,0.29,418.18,461.02,12,8,10.1,10.1,16.6,44.8,12,7.5,10,10,16.5,44,39.91,8.08,32.64,40.72,7.92,32.24,40.16,8.08,16.72,24.8,32.25,8,40.25,32.25,8,40.25,16.12,8,24.12
490,5.61,701.25,0.33,4.89,611.25,0.29,418,460.25,10,8,10,10,16.5,44.5,12,7.5,10,10,16.5,44,39.98,8.08,32.8,40.88,7.76,32.24,40,8.08,16.72,24.8,32.12,8,40.12,32.12,8,40.12,16.12,7.87,23.99
500,5.59,698.75,0.33,4.89,611.25,0.29,418,466.68,12,8,10,10,16.5,44.6,12,7.5,10,10,16.5,44,39.43,8.08,32.72,40.8,7.84,32.24,40.08,8.08,16.88,24.96,32.12,8,40.12,32.12,8,40.12,16.12,8,24.12
510,5.59,698.75,0.33,4.89,611.25,0.29,418,453.61,10,8,10,10,16.5,44.6,12,7.5,10,10,16.5,44,40.56,8.08,32.8,40.88,7.84,32.16,40,8.08,16.96,25.04,32.12,8,40.12,32.12,8,40.12,16.12,8,24.12
520,5.63,703.75,0.34,4.89,611.25,0.29,418,460.79,10,8,10,10,16.4,44.5,12,7.5,10,10,16.5,44,39.93,8.08,33.04,41.12,7.84,32.16,40,8.08,17.04,25.12,32.12,8,40.12,32.12,8,40.12,16,7.75,23.75
530,5.55,693.75,0.33,4.89,611.25,0.29,418,464.93,12,8,10.1,10.1,16.6,44.7,12,7.5,10,10,16.5,44,39.58,8,32.72,40.72,7.84,32.16,40,8.08,17.2,25.28,32.25,8,40.25,32.25,8,40.25,16.12,8,24.12
540,5.53,691.25,0.33,4.89,611.25,0.29,418,464.28,10,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,39.63,8,32.88,40.88,7.84,32.16,40,8.08,17.2,25.28,32.25,8,40.25,32.25,8,40.25,16.12,8.12,24.24
550,5.63,703.75,0.34,4.89,611.25,0.29,418,459.32,10,8,10,10,16.4,44.5,12,7.5,10,10,16.5,44,40.06,8,33.84,41.84,7.76,32.24,40,8.08,17.44,25.52,32.12,8,40.12,32.12,8,40.12,16,7.75,23.75
560,5.61,701.25,0.33,4.89,611.25,0.29,418.18,456.78,10,8,10,10,16.5,44.5,12,7.5,10,10,16.5,44,40.28,8,33.92,41.92,7.84,32.16,40,8.08,17.6,25.68,32.12,8,40.12,32.12,8,40.12,16,7.87,23.87
570,5.53,691.25,0.33,4.89,611.25,0.29,418,369.41,12,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,49.81,8.08,34.48,42.56,7.84,32.24,40.08,8.08,17.84,25.92,32.25,8,40.25,32.25,8,40.25,16.12,8.12,24.24
580,5.53,691.25,0.33,4.89,611.25,0.29,418,442.27,10,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,41.6,8,37.52,45.52,7.84,32.16,40,8.08,18.16,26.24,32.25,8,40.25,32.25,8,40.25,16.12,8.12,24.24
590,5.57,696.25,0.33,4.89,611.25,0.29,418.18,447.68,12,8,12.1,10.1,16.6,46.7,12,7.5,10,10,16.5,44,41.1,8.08,35.36,43.44,7.76,32.16,39.92,8,18.32,26.32,40.12,8,48.12,32.25,8,40.25,16.12,7.87,23.99
600,5.59,698.75,0.33,4.89,611.25,0.29,418,442.78,12,8,10,10,16.5,44.6,12,7.5,10,10,16.5,44,41.56,8.08,36.8,44.88,7.84,32.16,40,8,18.56,26.56,32.12,8,40.12,32.12,8,40.12,16,7.87,23.87
610,5.57,696.25,0.33,4.89,611.25,0.29,418,442.69,10,8,10,10,16.6,44.6,12,7.5,10,10,16.5,44,41.56,8.08,33.68,41.76,7.76,32.16,39.92,8,18.88,26.88,32.12,8,40.12,32.12,8,40.12,16,8,24
620,5.53,691.25,0.33,4.89,611.25,0.29,418,439.22,12,8,10,10,16.7,44.8,12,7.5,10,10,16.5,44,41.89,8.08,33.6,41.68,7.84,32.16,40,8,18.96,26.96,32.12,8,40.12,32.12,8,40.12,16,8.25,24.25
630,5.57,696.25,0.33,4.89,611.25,0.29,418,439.07,12,8,12,10,16.6,46.6,12,7.5,10,10,16.5,44,41.91,8.08,35.28,43.36,7.84,32.16,40,8,19.36,27.36,40.12,8,48.12,32.12,8,40.12,16,8,24
640,5.57,696.25,0.33,4.89,611.25,0.29,418.18,422.47,10,8,10,10,16.6,44.6,12,7.5,10,10,16.5,44,43.55,8.08,39.52,47.6,7.84,32.16,40,8,19.76,27.76,32.12,8,40.12,32.12,8,40.12,16,8,24
650,5.53,691.25,0.33,4.89,611.25,0.29,418,430.46,12,8,12.1,10.1,16.7,46.8,12,7.5,10,10,16.5,44,42.75,8.08,36.8,44.88,7.84,32.16,40,8,20.08,28.08,40.12,8,48.12,32.25,8,40.25,16.12,8.12,24.24
660,5.57,696.25,0.33,4.89,611.25,0.29,418,409.78,12,8,10.1,10.1,16.6,44.7,12,7.5,10,10,16.5,44,44.9,8.08,36.24,44.32,7.76,32.16,39.92,8,20.32,28.32,32.25,8,40.25,32.25,8,40.25,16.12,7.87,23.99
670,5.55,693.75,0.33,4.89,611.25,0.29,418,426.18,10,8,12.1,10.1,16.6,46.8,12,7.5,10,10,16.5,44,43.17,8.08,36,44.08,7.84,32.16,40,8,20.56,28.56,40.12,8,48.12,32.25,8,40.25,16.12,8,24.12
680,5.52,690,0.33,4.89,611.25,0.29,418,417.79,12,8,10.1,10.1,16.7,44.8,12,7.5,10,10,16.5,44,44.04,8.08,39.68,47.76,7.76,32.16,39.92,8,21.04,29.04,32.25,8,40.25,32.25,8,40.25,16.12,8.12,24.24
690,5.6,700,0.33,4.6,575,0.12,383.16,416.73,12,8,12,10,16.5,46.6,12,7.5,14,10,16.5,48,44.15,8.08,39.68,47.76,7.76,32.16,39.92,8,21.36,29.36,40.12,8,48.12,32.12,8,40.12,16,7.87,23.87
700,5.57,696.25,0.33,4.6,575,0.12,383.16,410.93,10,8,12,10,16.6,46.6,12,7.5,14,10,16.5,48,44.78,8.08,41.2,49.28,7.76,32.16,39.92,8,21.84,29.84,40.12,8,48.12,32.12,8,40.12,16,8,24
710,5.62,702.5,0.34,4.6,575,0.12,383.16,424.03,12,8,10,10,16.4,44.5,12,7.5,14,10,16.5,48,43.39,8.08,33.44,41.52,7.84,32.16,40,8,21.84,29.84,32.12,8,40.12,32.12,8,40.12,16,7.87,23.87
720,5.63,703.75,0.34,4.6,575,0.12,383.16,409.49,10,8,10,10,16.4,44.5,12,7.5,14,10,16.5,48,44.93,8.08,33.84,41.92,7.84,32.16,40,8,22.32,30.32,32.12,8,40.12,32.12,8,40.12,16,7.75,23.75
730,5.6,700,0.33,4.6,575,0.12,383.16,402.25,10,8,12,10,16.5,46.5,12,7.5,14,10,16.5,48,45.74,8.08,40.08,48.16,7.76,32.16,39.92,8,22.96,30.96,40.12,8,48.12,32.12,8,40.12,16,7.87,23.87
740,5.6,700,0.33,4.6,575,0.12,383.16,416.75,10,8,10,10,16.5,44.5,12,7.5,14,10,16.5,48,44.15,8.08,33.6,41.68,7.84,32.16,40,8,23.36,31.36,32.12,8,40.12,32.12,8,40.12,16,7.87,23.87
750,5.6,700,0.33,4.6,575,0.12,383.16,398.05,10,8,12,10,16.5,46.5,12,7.5,14,10,16.5,48,46.22,8.08,39.44,47.52,7.76,32.16,39.92,8,24.08,32.08,40.12,8,48.12,32.12,8,40.12,16,7.87,23.87
760,5.58,697.5,0.33,4.6,575,0.12,383.33,393.94,12,8,10,10,16.6,44.6,12,7.5,14,10,16.5,48,46.71,8.08,40.16,48.24,7.68,32.16,39.84,8,24.56,32.56,32.12,8,40.12,32.12,8,40.12,16,8,24
770,3.19,398.75,0.2,2.79,348.75,0.17,318.89,386.05,10,8,14,10,26.2,58.2,12,7.5,14,10,26.2,57.7,47.66,8.08,40.56,48.64,7.76,32.16,39.92,8,25.28,33.28,48.12,8,56.12,32.12,8,40.12,32,8,40
780,3.21,401.25,0.2,2.79,348.75,0.17,318.75,373.88,10,8,14,10.1,26,58.1,12,7.5,14,10,26.2,57.7,49.21,8.08,47.68,55.76,7.76,32.16,39.92,8,25.76,33.76,48.12,8,56.12,32.25,8,40.25,31.75,8,39.75
790,3.19,398.75,0.2,2.79,348.75,0.17,318.75,374.75,10,8,14,10.1,26.2,58.3,12,7.5,14,10,26.2,57.7,49.1,8.08,46.56,54.64,7.68,32.16,39.84,8,26.48,34.48,48.12,8,56.12,32.25,8,40.25,32,8.12,40.12
800,3.16,395,0.2,2.79,348.75,0.17,318.75,380.59,12,8,10.1,10.1,26.4,54.5,12,7.5,14,10,26.2,57.7,48.35,8.08,41.44,49.52,7.68,32.16,39.84,8,27.2,35.2,32.25,8,40.25,32.25,8,40.25,32.25,8.12,40.37
810,3.16,395,0.2,2.79,348.75,0.17,318.75,366.13,10,8,14,10.1,26.4,58.5,12,7.5,14,10,26.2,57.7,50.26,8.08,48.4,56.48,7.68,32.16,39.84,8,27.6,35.6,48.12,8,56.12,32.25,8,40.25,32.25,8.12,40.37
820,3.18,397.5,0.2,2.79,348.75,0.17,318.75,362.62,12,8,14,10.1,26.2,58.3,12,7.5,14,10,26.2,57.7,50.74,8.08,48.4,56.48,7.68,32.16,39.84,8,28.16,36.16,48.12,8,56.12,32.25,8,40.25,32.25,7.87,40.12
830,3.17,396.25,0.2,2.79,348.75,0.17,318.75,361.55,10,8,14,10.1,26.3,58.4,12,7.5,14,10,26.2,57.7,50.89,8.08,48.4,56.48,7.76,32.16,39.92,8,28.72,36.72,48.12,8,56.12,32.25,8,40.25,32.25,8,40.25
840,3.18,397.5,0.2,2.79,348.75,0.17,318.75,357.83,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.42,8.08,48.24,56.32,7.6,32.16,39.76,8,29.04,37.04,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
850,3.18,397.5,0.2,2.79,348.75,0.17,318.89,355.08,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.82,8.08,48.24,56.32,7.68,32.16,39.84,8,29.44,37.44,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
860,3.18,397.5,0.2,2.79,348.75,0.17,318.89,357.64,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.45,8.08,48.4,56.48,7.6,32.16,39.76,8,29.84,37.84,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
870,3.18,397.5,0.2,2.79,348.75,0.17,318.75,352.8,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.15,8.08,48.48,56.56,7.68,32.16,39.84,8,30.08,38.08,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
880,3.18,397.5,0.2,2.79,348.75,0.17,318.75,353.22,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.09,8.08,48.4,56.48,7.68,32.16,39.84,8,30.32,38.32,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
890,3.18,397.5,0.2,2.79,348.75,0.17,318.89,346.8,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,53.06,8.08,47.36,55.44,7.68,32.16,39.84,8,30.56,38.56,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
900,3.18,397.5,0.2,2.79,348.75,0.17,318.75,357.11,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.53,8.08,43.44,51.52,7.68,32.16,39.84,8,30.8,38.8,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
910,3.18,397.5,0.2,2.79,348.75,0.17,318.75,349.28,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.68,8.08,48.4,56.48,7.68,32.16,39.84,8,30.8,38.8,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
920,3.18,397.5,0.2,2.79,348.75,0.17,318.75,347.94,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.88,8.08,48.24,56.32,7.52,32.08,39.6,8,31.04,39.04,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
930,3.18,397.5,0.2,2.79,348.75,0.17,318.89,347.59,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.94,8.08,48.32,56.4,7.68,32.16,39.84,8,31.2,39.2,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
940,3.18,397.5,0.2,2.79,348.75,0.17,318.75,348.18,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.85,8.08,48.32,56.4,7.6,32.08,39.68,8,31.28,39.28,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
950,3.18,397.5,0.2,2.79,348.75,0.17,318.75,348.75,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.76,8.08,48.4,56.48,7.68,32.16,39.84,8,31.36,39.36,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
960,3.18,397.5,0.2,2.79,348.75,0.17,318.75,355.73,12,8,10,10,26.2,54.3,12,7.5,14,10,26.2,57.7,51.73,8.08,42,50.08,7.6,32.08,39.68,8,31.52,39.52,32.12,8,40.12,32.12,8,40.12,32.12,8,40.12
970,3.18,397.5,0.2,2.79,348.75,0.17,318.75,347.84,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.9,8.08,48.4,56.48,7.68,32.08,39.76,8,31.52,39.52,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
980,3.18,397.5,0.2,2.79,348.75,0.17,318.89,347.54,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.94,8.08,48.24,56.32,7.6,32.08,39.68,8,31.68,39.68,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
990,3.18,397.5,0.2,2.79,348.75,0.17,318.75,344.07,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,53.48,8.08,48.32,56.4,7.68,32.08,39.76,8,31.76,39.76,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
