,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,14.76,1845,,10.73,1341.25,,1532.66,321,10,8,0,0,0,10,12,7.5,0,0,0,12,57.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,11.91,1488.75,0.28,10.73,1341.25,,1362.96,337.83,12,8,7.2,0,0,15.2,12,7.5,6,0,0,13.5,54.46,9.12,19.84,28.96,0,0,0,0,0,0,19.87,9.12,28.99,0,0,0,0,0,0
30,9.32,1165,0.3,9.2,1150,0.29,943.58,625.43,12,8,6.8,6.8,0,21.5,12,7.5,6,6,0,19.5,29.42,8.72,20.64,29.36,8.64,18.16,26.8,0,0,0,18.37,8.62,26.99,18.37,8.62,26.99,0,0,0
40,6.92,865,0.19,6.44,805,0.17,782.97,693.52,12,8,10.6,6.5,0,25.2,12,7.5,10,6,0,23.5,26.53,8.48,34.4,42.88,8.48,18.16,26.64,0,0,0,34.12,8.37,42.49,17.75,8.37,26.12,0,0,0
50,6.99,873.75,0.19,6.44,805,0.17,782.97,713.91,12,8,10.5,6.4,0,25,12,7.5,10,6,0,23.5,25.77,8.4,33.76,42.16,8.32,17.76,26.08,0,0,0,33.75,8.37,42.12,17.37,8.37,25.74,0,0,0
60,7.05,881.25,0.19,6.44,805,0.17,782.63,760.43,12,8,10.4,6.4,0,24.9,12,7.5,10,6,0,23.5,24.2,8.32,33.52,41.84,8.24,17.44,25.68,0,0,0,33.5,8.25,41.75,17.37,8.25,25.62,0,0,0
70,7.1,887.5,0.19,6.44,805,0.17,782.63,773.09,10,8,10.4,6.4,0,24.8,12,7.5,10,6,0,23.5,23.8,8.24,33.36,41.6,8.24,18.32,26.56,0,0,0,33.25,8.25,41.5,17.5,8.25,25.75,0,0,0
80,7.14,892.5,0.19,6.44,805,0.17,782.63,787.21,10,8,10.3,6.5,0,24.8,12,7.5,10,6,0,23.5,23.37,8.24,33.28,41.52,8.24,18.4,26.64,0,0,0,33,8.25,41.25,17.62,8.25,25.87,0,0,0
90,7.16,895,0.19,6.44,805,0.17,782.97,758.4,12,8,10.3,6.5,0,24.8,12,7.5,10,6,0,23.5,24.26,8.16,33.12,41.28,8.16,20.24,28.4,0.24,0.4,0.64,32.87,8.25,41.12,17.87,8.12,25.99,0,0,0
100,5.93,741.25,0.2,5.21,651.25,0.17,668.8,663.54,10,8,10.3,10,0,28.3,12,7.5,10,10,0,27.5,27.73,8.16,32.88,41.04,8.08,31.2,39.28,2.08,2.56,4.64,32.87,8.12,40.99,32,8.12,40.12,0,0,0
110,5.04,630,0.3,4.89,611.25,0.29,418,535.68,10,8,10.2,10.2,18.3,46.8,12,7.5,10,10,16.5,44,34.35,8.16,32.8,40.96,8,32.8,40.8,5.84,9.2,15.04,32.75,8.12,40.87,32.75,8.12,40.87,17,9.62,26.62
120,5.47,683.75,0.33,4.89,611.25,0.29,418,470.5,12,8,10.2,10.2,16.9,45.3,12,7.5,10,10,16.5,44,39.11,8.16,32.8,40.96,8,32.8,40.8,7.92,14.96,22.88,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49
130,5.47,683.75,0.33,4.89,611.25,0.29,418,454.35,10,8,10.2,10.2,16.9,45.3,12,7.5,10,10,16.5,44,40.5,8.16,32.72,40.88,7.92,32.72,40.64,8.16,16.48,24.64,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49
