,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,12.00,400.00,CPU bound,12.00,400.00,,381.57,215.56,46.0,34.2,11.1,0.0,0.0,46.0 ,46.0,34.2,14.0,0.0,0.0,48.2 ,85.36,47.9,47.8,10.4,0.0,0.0,34.80,6.96,41.76,0,0,0,0,0,0,37.62,6.75,44.37,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
20,12.00,400.00,CPU bound,12.00,400.00,,295.81,199.74,46.0,34.2,16.3,13.5,0.0,64.0 ,46.0,34.2,14.0,14.0,0.0,62.2 ,92.12,62.2,54.9,16.9,12.2,0.0,58.56,9.12,67.68,42.88,5.84,48.72,0,0,0,56.25,9.12,65.37,46.62,7.25,53.87,0,0,0,48.00,8.00,56.00,48.00,8.00,56.00,0,0,0
30,12.00,400.00,CPU bound,12.00,400.00,,277.94,248.71,46.0,34.2,19.9,15.4,0.0,69.5 ,46.0,34.2,18.0,14.0,0.0,66.2 ,73.98,46.5,37.7,19.9,16.2,0.0,71.04,8.72,79.76,56.00,8.64,64.64,0,0,0,70.75,8.62,79.37,53.00,8.62,61.62,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
40,12.00,400.00,CPU bound,12.00,400.00,,277.94,206.58,46.0,34.2,19.3,15.0,0.0,68.4 ,46.0,34.2,18.0,14.0,0.0,66.2 ,89.07,53.8,43.8,20.2,15.9,0.0,72.00,8.72,80.72,55.12,8.48,63.60,0,0,0,68.62,8.37,76.99,51.37,8.37,59.74,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
50,12.00,400.00,CPU bound,12.00,400.00,,277.94,249.12,46.0,34.2,19.1,14.8,0.0,68.1 ,46.0,34.2,18.0,14.0,0.0,66.2 ,73.86,46.2,36.1,19.2,16.0,0.0,68.32,8.40,76.72,55.68,8.40,64.08,0,0,0,67.87,8.37,76.24,50.87,8.37,59.24,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
60,12.00,400.00,CPU bound,12.00,400.00,,277.94,233.97,46.0,34.2,18.9,14.7,0.0,67.8 ,46.0,34.2,18.0,14.0,0.0,66.2 ,78.64,51.0,40.4,19.1,17.6,0.0,67.92,8.32,76.24,62.24,8.32,70.56,0,0,0,67.12,8.25,75.37,50.62,8.25,58.87,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
70,11.05,368.33,0.41,11.33,377.66,0.42,261.99,256.95,46.0,34.2,18.7,18.5,0.0,71.4 ,46.0,34.2,18.0,18.0,0.0,70.2 ,71.61,46.2,35.5,18.8,18.2,1.5,67.12,8.24,75.36,64.72,8.24,72.96,2.16,.08,2.24,66.62,8.25,74.87,65.62,8.25,73.87,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,7.05,235.00,0.50,7.57,252.33,0.54,172.53,189.11,46.0,34.2,18.6,18.6,39.0,110.4 ,46.0,34.2,18.0,18.0,36.4,106.6 ,97.30,50.8,38.8,19.1,18.4,23.2,68.16,8.32,76.48,65.44,8.24,73.68,30.64,4.96,35.60,66.25,8.25,74.50,66.12,8.25,74.37,50.50,9.62,60.12,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
