N,threads,iterations,time,blocking factor,flop,lup,Gflop/s,Gflop/s (Roofline),Mlup/s,Mlup/s (Roofline),cy/CL,cy/CL (ECM),MLUP/s (ECM),l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
600,1,9,17.0821,,13324000000,1924640200,0.78,0.95,112.67,95,85.21,77.43,123.98,0,0,0,0,0,0,,,
600,2,9,13.1519,,13414900000,1924649000,1.02,1.79,146.34,179,65.6,40.97,234.315,0,0,0,0,0,0,,,
600,3,9,9.0756,,13431800000,1924662400,1.48,2.2,212.07,220,45.27,31.49,304.855,0,0,0,0,0,0,,,
600,4,9,7.3265,,13407400000,1924598200,1.83,2.4,262.69,240,36.54,27.68,346.82,0,0,0,0,0,0,,,
600,5,9,6.4572,,13430900000,1924633000,2.08,2.5,298.06,250,32.21,26.43,363.22,0,0,0,0,0,0,,,
600,6,9,5.9447,,13435000000,1924596600,2.26,2.54,323.75,254,29.65,26.43,363.22,0,0,0,0,0,0,,,
600,7,9,5.6541,,13456700000,1924599000,2.38,2.49,340.39,249,28.2,26.43,363.22,0,0,0,0,0,0,,,
600,8,9,5.4299,,13466100000,1924628000,2.48,2.5,354.45,250,27.08,26.43,363.22,0,0,0,0,0,0,,,
600,9,9,5.3242,,13470200000,1924645000,2.53,2.51,361.49,251,26.56,26.43,363.22,0,0,0,0,0,0,,,
600,10,9,5.2898,,13436000000,1924640800,2.54,2.43,363.84,243,26.39,26.43,363.22,0,0,0,0,0,0,,,
600,11,9,4.8253,,13462500000,1924619100,2.79,2.75,398.86,275,24.07,24.03,399.5,0,0,0,0,0,0,,,
600,12,9,4.4502,,13439600000,1924622400,3.02,2.98,432.48,298,22.2,22.03,435.765,0,0,0,0,0,0,,,
600,13,9,4.1067,,13469900000,1924604900,3.28,3.2,468.65,320,20.48,20.33,472.205,0,0,0,0,0,0,,,
600,14,9,3.8161,,13470800000,1924611800,3.53,3.53,504.34,353,19.03,18.88,508.47,0,0,0,0,0,0,,,
600,15,9,3.555,,13437000000,1924641000,3.78,3.85,541.39,385,17.73,17.62,544.835,0,0,0,0,0,0,,,
600,16,9,3.3276,,13443500000,1924617200,4.04,3.98,578.38,398,16.6,16.52,581.11,0,0,0,0,0,0,,,
600,17,9,3.1237,,13463100000,1924636500,4.31,4.35,616.14,435,15.58,15.55,617.36,0,0,0,0,0,0,,,
600,18,9,2.9549,,13444700000,1924615000,4.55,4.69,651.33,469,14.74,14.68,653.95,0,0,0,0,0,0,,,
600,19,9,2.8175,,13467600000,1924634200,4.78,4.98,683.1,498,14.05,13.91,690.15,0,0,0,0,0,0,,,
600,20,9,2.7326,,13471700000,1924624800,4.93,4.94,704.32,494,13.63,13.22,726.17,0,0,0,0,0,0,,,
