N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,1.81,0,37.225102071677,0.05,2.43,0,27.640102827763496,0.06,1129.41,253.50,13.3,10.0,9.4,0.0,0.0,19.43,13.3,10.0,7.0,0.0,0.0,17.00,37.87,17.6,14.1,9.2,0.0,0.0,63.60,10.00,73.60,0,0,0,0,0,0,65.00,10.37,75.37,0,0,0,0,0,0,48.00,8.00,56.00,0,0,0,0,0,0
20,1.70,0,39.477728152409604,0.04,1.89,0,35.53727506426735,0.05,1010.52,299.04,13.3,10.0,10.0,0.0,0.0,20.00,13.3,10.0,9.0,0.0,0.0,19.00,32.10,14.9,13.6,10.1,0.3,0.0,71.92,8.96,80.88,.32,.32,.64,0,0,0,71.12,8.87,79.99,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,0.78071,0,86.07558266292095,0.03,1.52,0,44.13340174448435,0.06,446.51,218.55,13.3,10.0,9.7,26.1,0.0,45.82,13.3,10.0,9.0,24.0,0.0,43.00,43.93,14.3,11.1,10.1,54.9,0.4,72.48,8.72,81.20,54.96,54.88,109.84,1.20,0,1.20,68.87,8.62,77.49,52.25,52.25,104.50,0,0,0,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
40,0.80072,0,83.92497448484968,0.03,1.52,0,44.13340174448435,0.06,446.51,218.41,13.3,10.0,9.5,25.5,1.8,46.72,13.3,10.0,9.0,24.0,0.0,43.00,43.96,14.8,11.7,10.0,52.9,0.3,71.68,8.56,80.24,52.96,52.96,105.92,.80,0,.80,67.37,8.37,75.74,48.00,51.00,99.00,2.87,1.87,4.74,64.00,8.00,72.00,48.00,8.00,56.00,0,0,0
50,0.80866,0,83.10057933577195,0.03,1.22,0,55.10313901345292,0.06,302.07,212.21,13.3,10.0,9.4,25.2,20.9,65.52,13.3,10.0,9.0,24.0,20.6,63.56,45.24,13.7,10.6,10.0,51.8,1.2,71.20,8.48,79.68,51.76,51.76,103.52,2.88,.40,3.28,66.75,8.37,75.12,1.75,50.50,52.25,48.75,8.25,57.00,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
60,0.81277,0,82.68053516295025,0.03,1.22,0,55.10313901345292,0.06,302.07,192.65,13.3,10.0,9.3,25.1,21.5,65.89,13.3,10.0,9.0,24.0,20.6,63.56,49.83,13.8,11.1,9.9,51.0,7.0,71.20,8.40,79.60,51.04,51.04,102.08,16.08,2.88,18.96,66.25,8.25,74.50,0,50.25,50.25,50.25,8.25,58.50,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
70,0.82522,0,81.43276569468267,0.04,1.22,0,55.10313901345292,0.06,301.95,167.46,13.3,10.0,9.3,24.7,21.2,65.17,13.3,10.0,9.0,24.0,20.6,63.56,57.33,13.4,10.4,9.8,51.2,13.2,70.24,8.32,78.56,51.20,51.20,102.40,28.96,7.04,36.00,66.00,8.25,74.25,0,49.50,49.50,49.50,8.25,57.75,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
80,0.82895,0,81.06602264150943,0.04,1.22,0,55.10313901345292,0.06,302.07,141.16,13.3,10.0,9.2,24.6,21.1,64.94,13.3,10.0,9.0,24.0,20.6,63.56,68.01,13.9,11.1,9.7,52.3,17.4,69.44,8.40,77.84,52.32,52.32,104.64,39.36,8.08,47.44,65.62,8.25,73.87,0,49.25,49.25,49.25,8.25,57.50,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
90,0.83090,0,80.87632795883363,0.04,1.22,0,55.10313901345292,0.06,302.07,138.51,13.3,10.0,9.2,24.6,21.0,64.80,13.3,10.0,9.0,24.0,20.6,63.56,69.31,13.5,11.2,9.5,53.8,20.4,68.00,8.24,76.24,53.76,53.76,107.52,47.36,8.16,55.52,65.50,8.12,73.62,0,49.12,49.12,49.12,8.12,57.24,64.00,8.00,72.00,48.00,8.00,56.00,48.00,8.00,56.00
100,0.62491,0,107.53580789022298,0.03,1.18,0,56.742945100051315,0.05,268.30,124.15,13.3,10.0,9.2,32.7,21.0,72.82,13.3,10.0,9.0,32.0,20.6,71.56,77.33,13.5,10.9,9.5,62.5,21.4,67.44,8.40,75.84,62.48,62.48,124.96,50.16,8.16,58.32,65.25,8.12,73.37,16.37,65.25,81.62,49.00,8.25,57.25,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
