N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,1.88,0,30.62864055647966,0.05,2.43,0,23.691516709511568,0.06,1476.92,361.36,11.3,7.0,7.8,0.0,0.0,14.76,11.3,7.0,6.0,0.0,0.0,13.00,26.57,14.1,9.0,7.8,0.0,0.0,51.60,10.56,62.16,0,0,0,0,0,0,51.62,10.37,61.99,0,0,0,0,0,0,40.00,8.00,48.00,0,0,0,0,0,0
20,2.19,0,26.31306341486661,0.06,2.43,0,23.691516709511568,0.06,1476.92,414.84,11.3,7.0,6.7,0.0,0.0,13.66,11.3,7.0,6.0,0.0,0.0,13.00,23.14,14.0,9.2,6.7,0.0,0.0,45.04,8.88,53.92,0,0,0,0,0,0,44.37,8.87,53.24,0,0,0,0,0,0,40.00,8.00,48.00,0,0,0,0,0,0
30,0.81328,0,70.82462949866569,0.03,1.52,0,37.828630066700875,0.06,581.81,258.99,11.3,7.0,6.5,21.5,0.0,34.96,11.3,7.0,6.0,20.0,0.0,33.00,37.07,15.6,7.5,6.7,44.6,0.0,44.96,8.56,53.52,44.64,44.56,89.20,0,0,0,43.00,8.62,51.62,43.00,43.00,86.00,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
40,0.83080,0,69.330829973466,0.04,1.52,0,37.828630066700875,0.06,581.57,266.63,11.3,7.0,6.3,21.1,0.0,34.37,11.3,7.0,6.0,20.0,0.0,33.00,36.01,15.7,8.0,6.6,43.4,0.2,44.40,8.48,52.88,43.44,43.44,86.88,.48,0,.48,42.12,8.37,50.49,42.12,42.12,84.24,0,0,0,40.00,8.00,48.00,40.00,8.00,48.00,0,0,0
50,0.83842,0,68.70088413775137,0.04,1.22,0,47.231262011531065,0.06,379.29,266.60,11.3,7.0,6.3,20.9,14.7,48.86,11.3,7.0,6.0,20.0,17.6,50.62,36.01,14.8,7.3,6.5,42.6,0.4,44.00,8.32,52.32,42.64,42.64,85.28,.88,.16,1.04,41.75,8.37,50.12,9.62,41.75,51.37,32.12,8.12,40.24,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
60,0.84535,0,68.13727615780446,0.04,1.22,0,47.231262011531065,0.06,379.13,250.71,11.3,7.0,6.2,20.7,18.2,52.12,11.3,7.0,6.0,20.0,17.6,50.62,38.29,14.3,7.7,6.6,42.1,3.9,44.32,8.32,52.64,42.16,42.08,84.24,8.88,1.76,10.64,41.37,8.25,49.62,0,41.37,41.37,41.37,8.25,49.62,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
70,0.84895,0,67.8482948732731,0.04,1.22,0,47.231262011531065,0.06,379.29,201.33,11.3,7.0,6.2,20.6,18.1,51.93,11.3,7.0,6.0,20.0,17.6,50.62,47.68,14.7,7.2,6.5,41.7,11.9,43.52,8.24,51.76,41.68,41.68,83.36,28.96,3.52,32.48,41.25,8.25,49.50,0,41.25,41.25,41.25,8.25,49.50,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
80,0.85264,0,67.55501886792453,0.04,1.22,0,47.231262011531065,0.06,379.13,177.07,11.3,7.0,6.2,20.5,18.1,51.74,11.3,7.0,6.0,20.0,17.6,50.62,54.22,13.7,7.6,6.4,41.7,13.9,42.72,8.24,50.96,41.68,41.68,83.36,33.04,4.80,37.84,41.00,8.25,49.25,0,41.00,41.00,41.00,8.25,49.25,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
90,0.85473,0,67.3900898799314,0.04,1.22,0,47.231262011531065,0.06,379.13,178.52,11.3,7.0,6.1,20.5,18.0,51.63,11.3,7.0,6.0,20.0,17.6,50.62,53.78,12.8,7.7,6.4,41.3,14.7,42.64,8.16,50.80,41.36,41.28,82.64,34.48,5.52,40.00,40.87,8.12,48.99,0,40.87,40.87,40.87,8.12,48.99,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
100,0.85700,0,67.21122415587247,0.04,1.22,0,47.231262011531065,0.06,379.29,174.75,11.3,7.0,6.1,20.4,18.0,51.52,11.3,7.0,6.0,20.0,17.6,50.62,54.94,13.5,7.5,6.3,41.2,15.5,42.40,8.16,50.56,41.20,41.20,82.40,36.24,6.00,42.24,40.87,8.12,48.99,0,40.87,40.87,40.87,8.12,48.99,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
110,0.85836,0,67.10502092624355,0.04,1.22,0,47.231262011531065,0.06,379.13,177.98,11.3,7.0,6.1,20.4,17.9,51.43,11.3,7.0,6.0,20.0,17.6,50.62,53.94,12.5,7.6,6.3,41.1,16.0,42.40,8.16,50.56,41.04,41.04,82.08,37.12,6.56,43.68,40.75,8.12,48.87,0,40.75,40.75,40.75,8.12,48.87,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
120,0.85993,0,66.98200516325936,0.04,1.22,0,47.231262011531065,0.06,379.29,174.23,11.3,7.0,6.1,20.3,17.9,51.35,11.3,7.0,6.0,20.0,17.6,50.62,55.10,13.1,7.4,6.3,41.0,16.4,42.16,8.16,50.32,40.96,40.96,81.92,37.68,6.88,44.56,40.62,8.12,48.74,0,40.62,40.62,40.62,8.12,48.74,40.00,8.00,48.00,40.00,8.00,48.00,40.00,8.00,48.00
