N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
740,4,3.638716,L2 740 740 740 16 22 740,12862312704,1607789088,3.53,441.85,44.64,64.41,8.36,34.57,34.46,287344655.00,134399479.00,72.77,69.03,421744134.00
750,4,3.923122,L2 750 750 750 16 22 750,13392287744,1674035968,3.41,426.70,45.68,64.64,8.37,35.12,35.00,301648325.00,140008828.00,73.01,70.12,441657153.00
760,4,3.976987,L2 760 760 760 16 22 760,13936624384,1742078048,3.50,438.03,44.64,64.35,8.36,34.49,34.38,310746959.00,145681178.00,72.71,68.87,456428137.00
770,2,2.159404,L2 770 770 770 16 21 770,7247757312,905969664,3.35,419.54,46.80,64.01,8.35,34.66,34.57,162128209.00,75752839.00,72.36,69.23,237881048.00
780,2,2.185566,L2 780 780 780 16 21 780,7534575232,941821904,3.44,430.92,44.64,64.79,8.35,34.95,34.84,169578197.00,78739761.00,73.14,69.79,248317958.00
790,2,2.327186,L2 790 790 790 16 21 790,7828861952,978607744,3.36,420.50,46.80,64.82,8.36,35.47,35.36,177148149.00,81828029.00,73.18,70.83,258976178.00
800,2,2.508343,L2 800 800 800 16 20 800,8130713472,1016339184,3.24,405.17,48.00,64.45,8.34,35.13,35.02,183840068.00,84981272.00,72.79,70.15,268821340.00
810,2,2.348745,L2 810 810 810 16 20 810,8440225792,1055028224,3.59,449.18,43.60,64.84,8.34,34.39,34.28,188004280.00,88236343.00,73.18,68.67,276240623.00
820,2,2.463252,L2 820 820 820 16 20 820,8757494912,1094686864,3.55,444.40,43.60,64.76,8.34,34.45,34.33,195369457.00,91500117.00,73.10,68.78,286869574.00
830,2,2.563626,L2 830 830 830 16 20 830,9082616832,1135327104,3.54,442.85,43.60,64.91,8.33,34.50,34.40,202857831.00,94921586.00,73.24,68.90,297779417.00
840,2,2.827627,L2 840 840 840 16 20 840,9415687552,1176960944,3.32,416.23,46.80,64.90,8.33,35.04,34.93,212370594.00,98399074.00,73.23,69.97,310769668.00
850,2,2.864822,L2 850 850 850 16 19 850,9756803072,1219600384,3.40,425.71,45.68,64.87,8.33,35.31,35.21,220762787.00,101954447.00,73.20,70.52,322717234.00
