N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
930,,,L3 930 930 930 16 378 930,,,,,,,,,,,,,,
940,,,L3 940 940 940 16 374 940,,,,,,,,,,,,,,
950,,,L3 950 950 950 16 370 950,,,,,,,,,,,,,,
960,,,L3 960 960 960 16 366 960,,,,,,,,,,,,,,
970,,,L3 970 970 970 16 362 970,,,,,,,,,,,,,,
980,,,L3 980 980 980 16 359 980,,,,,,,,,,,,,,
990,,,L3 990 990 990 16 355 990,,,,,,,,,,,,,,
1000,,,L3 1000 1000 1000 16 351 1000,,,,,,,,,,,,,,
1010,,,L3 1010 1010 1010 16 348 1010,,,,,,,,,,,,,,
1020,,,L3 1020 1020 1020 16 345 1020,,,,,,,,,,,,,,
1030,,,L3 1030 1030 1030 16 341 1030,,,,,,,,,,,,,,
