N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.32,122.10,0.0,CPU bound,2.32,122.10,0.0,,487.68,114.08,75.4,48.0,0.0,0.0,0.0,75.36,75.4,48.0,0.0,0.0,0.0,75.36,80.65,39.6,38.8,0.0,0.0,0.1,0,0,0,0,0,0,.08,0,.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.32,122.10,44.10430915182432,CPU bound,2.32,122.10,36.159672466734904,,487.68,132.46,75.4,48.0,11.0,0.0,0.0,75.36,75.4,48.0,9.0,0.0,0.0,75.36,69.46,36.8,26.9,10.3,0.6,0.1,70.48,11.60,82.08,1.60,.64,2.24,.08,0,.08,76.37,11.37,87.74,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,2.32,122.10,43.703768427091795,CPU bound,2.32,122.10,36.159672466734904,,487.68,123.64,75.4,48.0,10.9,8.3,0.0,75.36,75.4,48.0,9.0,6.0,0.0,75.36,74.41,36.3,25.2,11.4,9.1,0.1,82.08,9.44,91.52,26.88,9.28,36.16,.08,0,.08,77.75,9.37,87.12,24.00,9.25,33.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
40,2.32,122.10,43.36690881956327,CPU bound,2.32,122.10,36.159672466734904,,487.68,140.20,75.4,48.0,10.8,7.9,0.0,75.36,75.4,48.0,9.0,6.0,0.0,75.36,65.62,38.7,27.2,10.6,19.2,0.1,76.56,8.48,85.04,68.48,8.48,76.96,.08,0,.08,77.00,9.37,86.37,22.12,9.37,31.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,2.32,122.10,40.23250697383597,CPU bound,2.32,122.10,44.83248730964467,,487.68,147.12,75.4,48.0,10.0,14.4,0.0,75.36,75.4,48.0,9.0,18.0,0.0,75.36,62.53,38.1,26.2,10.3,17.7,0.1,73.84,8.72,82.56,62.24,8.72,70.96,.08,0,.08,71.37,8.75,80.12,48.75,8.75,57.50,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
60,2.32,122.10,50.45170439787814,CPU bound,2.32,122.10,44.83248730964467,,487.68,147.75,75.4,48.0,10.1,20.3,0.0,78.38,75.4,48.0,9.0,18.0,0.0,75.36,62.27,37.7,25.6,10.0,19.7,0.1,71.68,8.32,80.00,70.64,8.32,78.96,.08,0,.08,72.12,8.87,80.99,72.12,8.87,80.99,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
70,2.32,122.10,48.3015255499154,CPU bound,2.32,122.10,44.83248730964467,,487.68,149.05,75.4,48.0,9.7,19.4,0.0,77.09,75.4,48.0,9.0,18.0,0.0,75.36,61.72,37.4,25.2,9.9,20.1,0.1,71.04,8.48,79.52,71.84,8.48,80.32,.08,0,.08,69.12,8.50,77.62,69.12,8.50,77.62,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,2.32,122.10,48.91900044430669,CPU bound,2.32,122.10,44.83248730964467,,487.68,142.78,75.4,48.0,9.8,19.6,0.0,77.46,75.4,48.0,9.0,18.0,0.0,75.36,64.43,37.4,24.9,10.4,19.7,0.2,74.64,8.72,83.36,70.40,8.24,78.64,.32,.08,.40,69.87,8.62,78.49,69.87,8.62,78.49,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
90,2.32,122.10,47.48577353637902,CPU bound,2.32,122.10,44.83248730964467,,487.68,142.37,75.4,48.0,9.5,19.1,0.0,76.60,75.4,48.0,9.0,18.0,0.0,75.36,64.62,37.3,24.7,10.0,19.6,4.4,71.44,8.40,79.84,69.92,8.40,78.32,4.48,2.96,7.44,67.87,8.37,76.24,67.87,8.37,76.24,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
100,2.32,122.10,48.01021401015228,CPU bound,2.32,122.10,44.83248730964467,,412.34,131.19,75.4,48.0,9.6,19.3,15.4,92.27,75.4,48.0,9.0,18.0,14.1,89.13,70.13,37.2,24.5,11.6,19.3,10.8,84.32,8.56,92.88,69.12,8.16,77.28,11.84,6.56,18.40,68.62,8.50,77.12,68.62,8.50,77.12,17.50,8.50,26.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
