N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
490,8,2.467174,L3 490 490 490 16 1003 490,7437713408,929714176,3.01,376.83,58.32,32.82,8.14,31.40,,176819314.07,116995110.00,40.96,,293814424.07
500,8,2.558728,L3 500 500 500 16 983 500,7904383488,988047936,3.08,386.14,56.80,32.71,8.18,31.50,,187451784.06,124313460.00,40.89,,311765244.06
510,8,2.790057,L3 510 510 510 16 964 510,8390176768,1048772096,3.00,375.89,58.32,33.30,8.15,31.01,,199019044.06,131954280.00,41.45,,330973324.06
520,8,2.396956,L3 520 520 520 16 945 520,8895477248,1111934656,3.70,463.89,46.88,36.74,8.06,29.36,,211499604.07,139825140.00,44.80,,351324744.07
530,8,3.069130,L3 530 530 530 16 927 530,9420668928,1177583616,3.06,383.68,56.80,35.69,8.04,30.82,,223953514.07,148131920.00,43.73,,372085434.07
540,8,3.274340,L3 540 540 540 16 910 540,9966135808,1245766976,3.04,380.46,58.32,35.15,8.04,31.11,,236556074.06,156694910.00,43.19,,393250984.06
550,8,3.468300,L3 550 550 550 16 894 550,10532261888,1316532736,3.03,379.58,58.32,35.00,8.08,31.34,,250904854.08,165592820.00,43.08,,416497674.08
560,8,2.999672,L3 560 560 560 16 878 560,11119431168,1389928896,3.70,463.35,46.88,35.99,8.07,29.27,,264520894.07,174736020.00,44.06,,439256914.07
570,8,3.847377,L3 570 570 570 16 862 570,11728027648,1466003456,3.04,381.03,58.32,33.81,8.07,31.10,,279683424.08,184367720.00,41.88,,464051144.08
580,4,2.023193,L3 580 580 580 16 847 580,6179217664,772402208,3.04,381.77,56.80,38.01,8.10,30.81,,147686004.09,97131140.00,46.11,,244817144.09
590,4,2.133069,L3 590 590 590 16 833 590,6505519104,813189888,3.04,381.22,58.32,37.13,8.14,30.69,,156310674.11,102257610.00,45.27,,258568284.11
600,8,3.691838,L3 600 600 600 16 819 600,13686220288,1710777536,3.70,463.39,46.88,36.18,8.15,29.48,,329033904.11,215020540.00,44.33,,544054444.11
610,4,2.360723,L3 610 610 610 16 806 610,7192182784,899022848,3.04,380.82,58.32,33.63,8.15,31.18,,174579434.16,113037790.00,41.78,,287617224.16
