N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,11.59,1448.75,CPU bound,11.59,1448.75,,1449.66,368.81,14.9,14.0,0.0,0.0,0.0,14.9 ,14.9,14.0,0.0,0.0,0.0,14.9 ,58.57,49.6,33.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,11.59,1448.75,CPU bound,11.59,1448.75,,1080.00,383.67,14.9,14.0,7.2,0.0,0.0,21.2 ,14.9,14.0,6.0,0.0,0.0,20.0 ,56.30,50.3,30.4,7.3,0.0,0.0,20.08,9.12,29.20,0,0,0,0,0,0,19.87,9.12,28.99,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,10.29,1286.25,CPU bound,11.59,1448.75,,830.46,375.11,14.9,14.0,6.8,6.8,0.0,27.5 ,14.9,14.0,6.0,6.0,0.0,26.0 ,57.58,23.6,16.1,7.4,6.9,0.0,20.72,8.72,29.44,18.96,8.64,27.60,0,0,0,18.37,8.62,26.99,18.37,8.62,26.99,0,0,0,16.00,8.00,24.00,16.00,8.00,24.00,0,0,0
40,9.62,1202.50,0.19,10.23,1278.75,0.20,720.00,356.31,14.9,14.0,10.6,6.5,0.0,31.2 ,14.9,14.0,10.0,6.0,0.0,30.0 ,60.62,18.6,14.7,10.7,6.6,0.0,34.32,8.48,42.80,18.16,8.48,26.64,0,0,0,34.12,8.37,42.49,17.75,8.37,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,9.71,1213.75,0.19,10.23,1278.75,0.20,720.00,390.37,14.9,14.0,10.5,6.4,0.0,31.0 ,14.9,14.0,10.0,6.0,0.0,30.0 ,55.33,20.4,14.2,10.6,6.5,0.0,33.92,8.40,42.32,17.68,8.32,26.00,0,0,0,33.75,8.37,42.12,17.37,8.37,25.74,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,9.80,1225.00,0.19,10.23,1278.75,0.20,720.00,360.34,14.9,14.0,10.4,6.4,0.0,30.9 ,14.9,14.0,10.0,6.0,0.0,30.0 ,59.94,18.1,13.6,10.5,6.4,0.0,33.60,8.32,41.92,17.44,8.24,25.68,0,0,0,33.50,8.25,41.75,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,9.87,1233.75,0.19,10.23,1278.75,0.20,720.00,352.75,14.9,14.0,10.4,6.4,0.0,30.8 ,14.9,14.0,10.0,6.0,0.0,30.0 ,61.23,15.5,12.7,10.4,7.0,0.0,33.36,8.24,41.60,19.92,8.24,28.16,0,0,0,33.25,8.25,41.50,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,9.92,1240.00,0.19,10.23,1278.75,0.20,720.00,375.60,14.9,14.0,10.3,6.5,0.0,30.8 ,14.9,14.0,10.0,6.0,0.0,30.0 ,57.51,17.8,13.1,10.5,10.3,0.0,33.76,8.24,42.00,32.80,8.16,40.96,0,0,0,33.00,8.25,41.25,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
90,9.95,1243.75,0.19,10.23,1278.75,0.20,720.00,361.89,14.9,14.0,10.3,6.5,0.0,30.8 ,14.9,14.0,10.0,6.0,0.0,30.0 ,59.69,15.8,12.5,10.3,10.3,0.0,33.12,8.16,41.28,33.04,8.16,41.20,0,0,0,32.87,8.25,41.12,17.87,8.12,25.99,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
100,6.27,783.75,0.20,6.29,786.25,0.20,635.29,375.09,14.9,14.0,10.3,10.0,0.0,34.3 ,14.9,14.0,10.0,10.0,0.0,34.0 ,57.59,17.2,12.8,10.3,10.3,1.0,32.96,8.16,41.12,32.96,8.16,41.12,1.28,.64,1.92,32.87,8.12,40.99,32.00,8.12,40.12,0,0,0,32.00,8.00,40.00,32.00,8.00,40.00,0,0,0
110,6.16,770.00,0.20,5.80,725.00,0.33,463.51,352.97,14.9,14.0,10.2,10.2,1.4,35.9 ,14.9,14.0,10.0,10.0,12.6,46.6 ,61.20,16.1,12.3,10.3,10.2,4.9,32.88,8.16,41.04,32.88,8.08,40.96,6.24,2.96,9.20,32.75,8.12,40.87,32.75,8.12,40.87,1.37,1.37,2.74,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
120,5.67,708.75,0.33,5.80,725.00,0.33,463.51,339.45,14.9,14.0,10.2,10.2,12.9,47.3 ,14.9,14.0,10.0,10.0,12.6,46.6 ,63.63,15.3,12.2,10.2,10.2,10.1,32.80,8.16,40.96,32.72,8.08,40.80,12.80,6.40,19.20,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
130,5.68,710.00,0.33,5.80,725.00,0.33,463.51,348.77,14.9,14.0,10.2,10.2,12.8,47.2 ,14.9,14.0,10.0,10.0,12.6,46.6 ,61.93,16.2,12.2,10.2,10.1,12.0,32.80,8.16,40.96,32.48,8.00,40.48,15.36,7.60,22.96,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
140,5.68,710.00,0.33,5.80,725.00,0.33,463.51,341.60,14.9,14.0,10.2,10.2,12.8,47.2 ,14.9,14.0,10.0,10.0,12.6,46.6 ,63.23,15.5,12.1,10.2,10.1,12.7,32.72,8.16,40.88,32.48,8.00,40.48,16.32,8.00,24.32,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,5.70,712.50,0.33,5.80,725.00,0.33,463.51,330.33,14.9,14.0,10.2,10.2,12.8,47.1 ,14.9,14.0,10.0,10.0,12.6,46.6 ,65.39,14.5,11.8,10.2,10.1,12.9,32.72,8.08,40.80,32.56,8.00,40.56,16.56,8.16,24.72,32.50,8.12,40.62,32.50,8.12,40.62,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
