N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,9.76,650.66,CPU bound,9.76,650.66,,650.57,196.04,29.5,18.0,0.0,0.0,0.0,29.5 ,29.5,18.0,6.0,0.0,0.0,29.5 ,97.94,42.8,66.9,0.0,0.0,0.0,.16,0,.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.00,8.00,48.00,0,0,0,0,0,0
20,8.93,595.33,CPU bound,9.76,650.66,,650.57,444.65,29.5,18.0,8.1,0.0,0.0,29.5 ,29.5,18.0,6.0,0.0,0.0,29.5 ,43.18,15.2,26.6,8.9,0.0,0.0,61.04,10.24,71.28,0,0,0,0,0,0,54.87,10.00,64.87,0,0,0,0,0,0,40.00,8.00,48.00,0,0,0,0,0,0
30,6.15,410.00,0.16,7.23,482.00,0.19,399.83,377.14,29.5,18.0,11.8,0.0,0.0,29.8 ,29.5,18.0,10.0,20.0,0.0,48.0 ,50.91,19.5,30.4,11.9,9.8,0.0,86.00,9.28,95.28,9.84,9.84,19.68,0,0,0,84.87,9.25,94.12,0,0,0,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
40,4.55,303.33,0.16,7.23,482.00,0.19,399.83,377.26,29.5,18.0,11.2,23.2,0.0,52.4 ,29.5,18.0,10.0,20.0,0.0,48.0 ,50.89,14.9,22.8,11.4,49.8,0.1,82.08,9.04,91.12,49.84,49.76,99.60,.40,0,.40,81.00,8.87,89.87,46.37,8.87,55.24,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
50,4.69,312.66,0.17,7.23,482.00,0.19,400.00,404.75,29.5,18.0,11.0,22.5,0.0,51.5 ,29.5,18.0,10.0,20.0,0.0,48.0 ,47.44,17.3,25.9,11.0,47.4,0.0,79.60,8.72,88.32,47.44,47.36,94.80,.08,0,.08,79.12,8.75,87.87,45.00,8.75,53.75,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
60,4.74,316.00,0.17,7.23,482.00,0.19,399.83,401.95,29.5,18.0,10.8,22.3,0.0,51.1 ,29.5,18.0,10.0,20.0,0.0,48.0 ,47.77,14.8,21.8,10.9,45.8,0.0,78.56,8.64,87.20,45.84,45.84,91.68,0,0,0,77.75,8.62,86.37,44.50,8.62,53.12,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
70,4.75,316.66,0.17,7.23,482.00,0.19,400.00,411.34,29.5,18.0,10.7,22.2,0.0,50.9 ,29.5,18.0,10.0,20.0,0.0,48.0 ,46.68,16.4,24.1,10.7,44.9,0.0,77.20,8.48,85.68,44.88,44.88,89.76,.08,0,.08,76.87,8.50,85.37,44.37,8.50,52.87,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
80,4.74,316.00,0.17,7.23,482.00,0.19,399.83,379.96,29.5,18.0,10.6,22.2,0.0,50.8 ,29.5,18.0,10.0,20.0,0.0,48.0 ,50.53,14.9,21.3,10.9,44.2,0.3,78.40,8.64,87.04,44.16,44.16,88.32,.88,.24,1.12,76.25,8.37,84.62,44.50,8.37,52.87,0,0,0,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
90,4.72,314.66,0.17,7.23,482.00,0.19,399.83,390.84,29.5,18.0,10.5,18.7,2.9,50.1 ,29.5,18.0,10.0,20.0,0.0,48.0 ,49.13,16.0,23.1,10.5,45.4,2.1,76.00,8.40,84.40,45.44,45.36,90.80,5.12,1.52,6.64,75.75,8.37,84.12,37.37,8.37,45.74,7.37,2.87,10.24,72.00,8.00,80.00,40.00,8.00,48.00,0,0,0
100,4.68,312.00,0.17,5.19,346.00,0.31,303.67,398.97,29.5,18.0,10.5,4.2,17.0,49.6 ,29.5,18.0,10.0,20.0,15.2,63.2 ,48.12,14.5,21.0,10.5,44.1,5.0,75.44,8.32,83.76,44.08,44.08,88.16,11.92,3.92,15.84,75.37,8.37,83.74,0,8.37,8.37,45.12,8.62,53.74,72.00,8.00,80.00,40.00,8.00,48.00,40.00,8.00,48.00
110,5.04,336.00,0.18,5.19,346.00,0.31,303.67,373.84,29.5,18.0,10.4,4.2,15.8,48.4 ,29.5,18.0,10.0,20.0,15.2,63.2 ,51.36,15.5,22.5,10.4,44.7,7.9,75.12,8.32,83.44,44.64,44.64,89.28,19.60,5.44,25.04,75.00,8.37,83.37,0,8.37,8.37,41.87,8.25,50.12,72.00,8.00,80.00,40.00,8.00,48.00,40.00,8.00,48.00
120,4.16,277.33,0.15,5.19,346.00,0.31,303.67,309.11,29.5,18.0,10.4,4.6,15.8,48.7 ,29.5,18.0,10.0,20.0,15.2,63.2 ,62.11,14.9,20.9,10.5,54.1,11.8,75.20,8.40,83.60,54.16,54.16,108.32,29.52,7.76,37.28,74.75,8.25,83.00,9.12,8.25,17.37,41.62,8.25,49.87,72.00,8.00,80.00,40.00,8.00,48.00,40.00,8.00,48.00
