,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,17.37,469.45,,17.37,469.45,,469.43,152.86,40.9,24.0,0.0,0.0,0.0,40.9 ,40.9,24.0,0.0,0.0,0.0,40.9 ,125.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,17.37,469.45,,17.37,469.45,,469.43,251.59,40.9,24.0,5.5,0.0,0.0,40.9 ,40.9,24.0,3.0,0.0,0.0,40.9 ,76.32,40.24,11.60,51.84,0,0,0,0,0,0,32.75,11.62,44.37,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,15.53,419.72,0.40,17.37,469.45,,469.43,332.94,40.9,24.0,11.5,0.0,0.0,40.9 ,40.9,24.0,9.0,0.0,0.0,40.9 ,57.67,83.44,10.00,93.44,0,0,0,0,0,0,81.87,10.00,91.87,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
40,16.52,446.48,0.43,17.37,469.45,,469.43,316.39,40.9,24.0,10.8,0.0,0.0,40.9 ,40.9,24.0,9.0,0.0,0.0,40.9 ,60.68,78.00,9.44,87.44,2.80,2.48,5.28,0,0,0,76.87,9.37,86.24,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
50,17.18,464.32,0.45,17.37,469.45,,468.09,369.12,40.9,24.0,10.4,10.3,0.0,44.7 ,40.9,24.0,9.0,8.0,0.0,41.0 ,52.02,74.24,9.12,83.36,20.16,20.08,40.24,0,0,0,74.00,9.12,83.12,20.62,9.12,29.74,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
60,17.37,469.45,,17.37,469.45,,468.29,343.16,40.9,24.0,10.1,10.2,0.0,44.3 ,40.9,24.0,9.0,8.0,0.0,41.0 ,55.95,72.96,8.96,81.92,20.24,20.24,40.48,0,0,0,72.25,8.87,81.12,20.37,8.87,29.24,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
70,17.37,469.45,,17.37,469.45,,468.29,389.56,40.9,24.0,9.9,10.2,0.0,44.2 ,40.9,24.0,9.0,8.0,0.0,41.0 ,49.29,71.04,8.72,79.76,19.60,19.60,39.20,0,0,0,70.87,8.75,79.62,20.50,8.75,29.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
80,17.37,469.45,,17.37,469.45,,468.29,352.39,40.9,24.0,9.8,10.4,0.0,44.2 ,40.9,24.0,9.0,8.0,0.0,41.0 ,54.49,72.56,8.80,81.36,19.12,19.12,38.24,0,0,0,69.87,8.62,78.49,20.87,8.62,29.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
90,17.37,469.45,,17.37,469.45,,468.29,375.53,40.9,24.0,9.7,10.7,0.0,44.4 ,40.9,24.0,9.0,8.0,0.0,41.0 ,51.13,69.36,8.64,78.00,18.80,18.72,37.52,0,0,0,69.25,8.62,77.87,21.37,8.50,29.87,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
100,17.37,469.45,,17.37,469.45,,468.09,383.62,40.9,24.0,9.7,11.0,0.0,44.7 ,40.9,24.0,9.0,8.0,0.0,41.0 ,50.05,69.28,8.56,77.84,18.72,18.72,37.44,.08,0,.08,68.75,8.50,77.25,22.12,8.50,30.62,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
