,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
140,11.17,859.23,0.40,9.88,760.00,0.54,690.35,837.52,14.6,8.0,5.1,4.1,6.9,24.1 ,14.6,8.0,5.0,8.0,6.8,27.8 ,22.92,10.8,7.7,5.1,16.6,2.7,32.80,8.16,40.96,16.64,16.64,33.28,6.08,3.44,9.52,32.62,8.12,40.74,0,8.12,8.12,16.37,8.12,24.49,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
150,11.21,862.30,0.40,9.88,760.00,0.54,690.35,778.58,14.6,8.0,5.1,4.0,6.9,24.0 ,14.6,8.0,5.0,8.0,6.8,27.8 ,24.66,11.2,7.6,5.1,16.7,3.7,32.64,8.16,40.80,16.72,16.72,33.44,8.08,4.88,12.96,32.50,8.12,40.62,0,8.12,8.12,16.37,8.12,24.49,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
160,11.22,863.07,0.40,9.88,760.00,0.54,690.35,729.64,14.6,8.0,5.1,4.1,6.9,24.0 ,14.6,8.0,5.0,8.0,6.8,27.8 ,26.31,11.0,8.0,5.1,17.7,4.9,32.72,8.08,40.80,17.68,17.68,35.36,10.40,7.20,17.60,32.50,8.12,40.62,0,8.12,8.12,16.25,8.12,24.37,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
170,11.22,863.07,0.40,9.88,760.00,0.54,690.64,720.46,14.6,8.0,5.1,4.0,6.9,24.0 ,14.6,8.0,5.0,8.0,6.8,27.8 ,26.65,11.4,8.1,5.1,18.1,5.4,32.48,8.08,40.56,18.16,18.16,36.32,11.60,7.52,19.12,32.50,8.12,40.62,0,8.12,8.12,16.25,8.00,24.25,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
180,11.24,864.61,0.40,9.88,760.00,0.54,690.64,682.62,14.6,8.0,5.1,4.0,6.9,24.0 ,14.6,8.0,5.0,8.0,6.8,27.8 ,28.13,11.0,7.9,5.1,19.0,6.1,32.48,8.08,40.56,19.04,19.04,38.08,13.52,8.00,21.52,32.50,8.12,40.62,0,8.12,8.12,16.25,8.12,24.37,32.00,8.00,40.00,16.00,8.00,24.00,16.00,8.00,24.00
190,5.81,446.92,0.21,9.16,704.61,0.33,536.31,567.58,14.6,8.0,5.1,7.6,6.9,27.6 ,14.6,8.0,5.0,16.0,6.8,35.8 ,33.83,11.9,7.9,5.1,26.7,7.0,32.48,8.08,40.56,26.64,26.64,53.28,16.72,8.08,24.80,32.37,8.12,40.49,15.25,8.12,23.37,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
200,5.65,434.61,0.20,9.16,704.61,0.33,536.31,555.80,14.6,8.0,5.1,8.1,6.9,28.0 ,14.6,8.0,5.0,16.0,6.8,35.8 ,34.54,11.7,7.8,5.1,28.7,7.0,32.48,8.08,40.56,28.72,28.72,57.44,16.72,8.08,24.80,32.37,8.12,40.49,16.12,8.12,24.24,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
210,5.65,434.61,0.20,9.16,704.61,0.33,536.31,527.72,14.6,8.0,5.1,8.1,6.9,28.0 ,14.6,8.0,5.0,16.0,6.8,35.8 ,36.38,12.3,7.8,5.1,30.7,7.1,32.40,8.08,40.48,30.72,30.72,61.44,16.88,8.08,24.96,32.37,8.12,40.49,16.12,8.00,24.12,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
220,5.65,434.61,0.20,9.16,704.61,0.33,536.08,531.78,14.6,8.0,5.1,8.1,6.9,28.0 ,14.6,8.0,5.0,16.0,6.8,35.8 ,36.11,11.4,7.7,5.1,31.7,6.9,32.40,8.08,40.48,31.68,31.68,63.36,16.48,8.08,24.56,32.37,8.12,40.49,16.12,8.12,24.24,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
230,5.65,434.61,0.20,9.16,704.61,0.33,536.31,524.52,14.6,8.0,5.1,8.1,6.9,28.0 ,14.6,8.0,5.0,16.0,6.8,35.8 ,36.60,12.3,7.8,5.1,32.3,7.0,32.40,8.08,40.48,32.32,32.24,64.56,16.72,8.08,24.80,32.37,8.12,40.49,16.12,8.12,24.24,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
