,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,20.39,509.75,CPU bound,20.39,509.75,,509.47,230.00,36.1,32.0,0.0,0.0,0.0,36.1 ,36.1,32.0,0.0,0.0,0.0,36.1 ,80.00,38.7,51.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20.39,509.75,CPU bound,20.39,509.75,,484.21,216.94,36.1,32.0,7.2,0.0,0.0,39.2 ,36.1,32.0,6.0,0.0,0.0,38.0 ,84.81,50.7,51.3,7.3,0.0,0.0,20.16,9.04,29.20,.08,0,.08,0,0,0,19.87,9.00,28.87,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,20.39,509.75,CPU bound,20.39,509.75,,418.00,260.78,36.1,32.0,6.8,6.8,0.0,45.5 ,36.1,32.0,6.0,6.0,0.0,44.0 ,70.56,37.2,36.5,8.0,6.6,0.0,23.20,8.72,31.92,18.24,8.08,26.32,0,0,0,18.50,8.62,27.12,18.50,8.62,27.12,0,0,0,16.00,8.00,24.00,16.00,8.00,24.00,0,0,0
40,20.39,509.75,CPU bound,20.39,509.75,,383.16,240.28,36.1,32.0,10.9,6.5,0.0,49.4 ,36.1,32.0,10.0,6.0,0.0,48.0 ,76.58,43.6,40.6,10.9,6.7,0.0,35.12,8.48,43.60,18.24,8.48,26.72,0,0,0,35.00,8.37,43.37,17.75,8.37,26.12,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
50,20.39,509.75,CPU bound,20.39,509.75,,383.33,286.73,36.1,32.0,10.7,6.5,0.0,49.1 ,36.1,32.0,10.0,6.0,0.0,48.0 ,64.17,36.9,34.2,10.7,6.6,0.0,34.48,8.40,42.88,18.00,8.32,26.32,0,0,0,34.37,8.37,42.74,17.50,8.37,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
60,20.39,509.75,CPU bound,20.39,509.75,,383.16,273.21,36.1,32.0,10.6,6.4,0.0,49.0 ,36.1,32.0,10.0,6.0,0.0,48.0 ,67.35,41.2,37.3,10.6,6.9,0.0,34.16,8.32,42.48,19.44,8.24,27.68,0,0,0,34.00,8.25,42.25,17.37,8.25,25.62,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
70,20.39,509.75,CPU bound,20.39,509.75,,383.16,291.21,36.1,32.0,10.5,6.4,0.0,48.9 ,36.1,32.0,10.0,6.0,0.0,48.0 ,63.18,37.2,33.2,10.5,6.9,0.0,33.76,8.24,42.00,19.44,8.24,27.68,0,0,0,33.62,8.25,41.87,17.50,8.25,25.75,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
80,20.39,509.75,CPU bound,20.39,509.75,,383.16,268.14,36.1,32.0,10.4,6.5,0.0,48.9 ,36.1,32.0,10.0,6.0,0.0,48.0 ,68.62,40.2,35.7,10.6,7.9,0.0,34.16,8.24,42.40,23.36,8.24,31.60,0,0,0,33.50,8.25,41.75,17.62,8.25,25.87,0,0,0,32.00,8.00,40.00,16.00,8.00,24.00,0,0,0
