,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
120,4.78,682.85,0.28,4.89,698.57,0.29,418.00,484.93,12.0,7.5,10.2,10.2,16.9,44.8 ,12.0,7.5,10.0,10.0,16.5,44.0 ,37.94,14.4,8.7,10.2,10.1,15.2,32.80,8.16,40.96,32.40,8.00,40.40,14.40,7.68,22.08,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
130,4.79,684.28,0.29,4.89,698.57,0.29,418.18,451.93,12.0,7.5,10.2,10.2,16.9,44.7 ,12.0,7.5,10.0,10.0,16.5,44.0 ,40.71,13.7,8.5,10.2,10.1,16.8,32.72,8.16,40.88,32.56,7.92,40.48,16.40,8.00,24.40,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
140,4.79,684.28,0.29,4.89,698.57,0.29,418.18,462.37,12.0,7.5,10.2,10.2,16.9,44.7 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.79,14.2,8.7,10.2,10.1,17.0,32.72,8.16,40.88,32.64,7.84,40.48,16.56,8.08,24.64,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,4.80,685.71,0.29,4.89,698.57,0.29,418.00,474.92,12.0,7.5,10.2,10.2,16.8,44.7 ,12.0,7.5,10.0,10.0,16.5,44.0 ,38.74,13.4,8.1,10.2,10.1,17.0,32.64,8.08,40.72,32.64,7.92,40.56,16.56,8.16,24.72,32.50,8.12,40.62,32.50,8.12,40.62,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
160,4.81,687.14,0.29,4.89,698.57,0.29,418.18,463.61,12.0,7.5,10.2,10.2,16.8,44.6 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.69,13.9,8.5,10.2,10.1,17.0,32.64,8.08,40.72,32.56,7.76,40.32,16.56,8.08,24.64,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
170,4.83,690.00,0.29,4.89,698.57,0.29,418.00,470.35,12.0,7.5,10.1,10.1,16.7,44.5 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.12,13.3,8.2,10.2,10.1,17.0,32.56,8.08,40.64,32.56,7.92,40.48,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
180,4.81,687.14,0.29,4.89,698.57,0.29,418.00,469.81,12.0,7.5,10.1,10.1,16.8,44.6 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.16,13.7,8.3,10.2,10.1,16.9,32.56,8.08,40.64,32.48,7.76,40.24,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
190,4.82,688.57,0.29,4.89,698.57,0.29,418.18,467.39,12.0,7.5,10.1,10.1,16.8,44.5 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.37,13.1,8.0,10.2,10.1,16.9,32.48,8.08,40.56,32.48,7.84,40.32,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
200,4.84,691.42,0.29,4.89,698.57,0.29,418.00,462.54,12.0,7.5,10.1,10.1,16.7,44.4 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.78,13.5,8.0,10.1,10.1,16.9,32.48,8.08,40.56,32.40,7.92,40.32,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
210,4.82,688.57,0.29,4.89,698.57,0.29,418.00,459.54,12.0,7.5,10.1,10.1,16.8,44.5 ,12.0,7.5,10.0,10.0,16.5,44.0 ,40.04,13.0,7.9,10.1,10.1,16.9,32.48,8.08,40.56,32.40,7.92,40.32,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
220,4.82,688.57,0.29,4.89,698.57,0.29,418.00,467.97,12.0,7.5,10.1,10.1,16.8,44.5 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.32,13.4,8.1,10.1,10.1,16.9,32.48,8.08,40.56,32.40,7.84,40.24,16.48,8.08,24.56,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
