N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
400,8,3.800623,L2 400 400 400 16 12 190,6556658368,504358336,1.72,132.70,141.52,103.72,8.91,102.41,8.09,291250228.95,63657641.00,112.63,110.50,354907869.95
410,8,3.923832,L2 410 410 410 16 12 190,7063400448,543338496,1.79,138.46,141.52,100.70,8.62,99.46,8.45,314007559.98,68556734.00,109.32,107.91,382564293.98
420,4,2.118373,L2 420 420 420 16 12 190,3797800864,292138528,1.78,137.90,141.52,97.85,8.44,98.98,8.39,168835856.98,36856735.00,106.29,107.37,205692591.98
430,4,2.249255,L2 430 430 430 16 12 190,4076943104,313611008,1.80,139.42,141.52,98.13,8.57,97.36,8.44,181281369.99,39560235.00,106.70,105.80,220841604.99
440,4,2.548871,L2 440 440 440 16 12 190,4369438944,336110688,1.71,131.86,153.28,104.34,8.87,95.73,8.46,193822973.90,42404006.00,113.21,104.19,236226979.90
450,4,2.631807,L2 450 450 450 16 12 190,4675600384,359661568,1.77,136.65,141.52,97.77,8.61,99.33,8.41,207917776.99,45365266.00,106.38,107.74,253283042.99
460,4,2.783641,L2 460 460 460 16 12 190,4995739424,384287648,1.79,138.04,141.52,97.72,8.52,96.66,8.37,222891378.11,48462292.00,106.24,105.03,271353670.11
470,4,2.910162,L2 470 470 470 16 12 190,5330168064,410012928,1.83,140.88,131.36,97.63,8.51,97.62,8.39,237733806.10,51700724.00,106.14,106.01,289434530.10
480,4,3.441795,L2 480 480 480 16 12 190,5679198304,436861408,1.64,126.92,153.28,110.62,8.98,105.61,7.61,255198259.38,55105150.00,119.60,113.22,310303409.38
490,4,3.325719,L2 490 490 490 16 12 190,6043142144,464857088,1.81,139.77,141.52,98.88,8.65,102.02,8.37,269579263.11,58605641.00,107.53,110.39,328184904.11
500,4,3.472889,L2 500 500 500 16 12 190,6422311584,494023968,1.84,142.25,131.36,97.32,8.50,98.11,8.33,286919768.16,62271863.00,105.82,106.44,349191631.16
510,4,3.953243,L2 510 510 510 16 12 190,6817018624,524386048,1.72,132.64,141.52,110.24,8.75,108.36,8.35,309490784.76,66115148.00,118.99,116.71,375605932.76
520,2,2.097415,L2 520 520 520 16 12 190,3613787632,277983664,1.72,132.53,153.28,118.24,8.86,107.59,8.38,162522937.41,35047242.00,127.10,115.97,197570179.41
530,2,2.049288,L2 530 530 530 16 12 190,3827146752,294395904,1.86,143.65,131.36,101.74,8.49,96.84,8.35,170876519.14,37098958.00,110.23,105.19,207975477.14
540,2,2.160313,L2 540 540 540 16 12 190,4048742672,311441744,1.87,144.16,131.36,98.72,8.35,97.40,8.28,180694505.12,39243629.00,107.07,105.68,219938134.12
550,2,2.267144,L2 550 550 550 16 12 190,4278731392,329133184,1.88,145.17,131.36,107.77,8.59,95.29,8.33,191190314.17,41471416.00,116.36,103.62,232661730.17
560,2,2.547793,L2 560 560 560 16 12 190,4517268912,347482224,1.77,136.38,141.52,112.08,8.83,102.89,7.28,202046469.21,43790554.00,120.91,110.17,245837023.21
570,2,2.535711,L2 570 570 570 16 12 190,4764511232,366500864,1.87,144.53,131.36,99.75,8.44,98.91,8.32,212714391.14,46174388.00,108.19,107.23,258888779.14
580,2,2.728995,L2 580 580 580 16 12 190,5020614352,386201104,1.83,141.51,141.52,105.24,8.66,101.68,8.39,223829031.08,48665496.00,113.90,110.07,272494527.08
590,2,2.861234,L2 590 590 590 16 12 190,5285734272,406594944,1.84,142.10,141.52,103.05,8.58,99.97,8.42,235466627.06,51217741.00,111.63,108.39,286684368.06
600,2,3.051181,L2 600 600 600 16 12 190,5560026992,427694384,1.82,140.17,141.52,111.23,8.86,95.23,8.42,248106614.12,53880121.00,120.09,103.65,301986735.12
610,2,3.169319,L2 610 610 610 16 12 190,5843648512,449511424,1.84,141.83,141.52,98.11,8.59,96.38,8.40,261895790.80,56975467.00,106.70,104.78,318871257.80
620,2,3.670871,L2 620 620 620 16 12 190,6136754832,472058064,1.66,128.59,153.28,98.22,8.99,94.44,8.43,290280665.36,60142497.00,107.21,102.87,350423162.36
630,2,3.624000,L2 630 630 630 16 12 190,6439501952,495346304,1.77,136.68,141.52,105.06,8.61,94.33,8.36,313926063.42,62448940.00,113.67,102.69,376375003.42
640,2,4.301395,L2 640 640 640 16 12 190,6752045872,519388144,1.56,120.74,167.20,113.94,8.93,98.50,8.31,373579885.66,65799977.00,122.87,106.81,439379862.66
650,2,4.226331,L2 650 650 650 16 12 190,7074542592,544195584,1.67,128.76,153.28,104.10,8.60,96.42,8.34,370091660.51,68584971.00,112.70,104.76,438676631.51
660,2,4.477644,L2 660 660 660 16 12 190,7407148112,569780624,1.65,127.24,153.28,98.41,8.44,97.64,8.33,400099479.22,71779947.00,106.85,105.97,471879426.22
670,2,4.769312,L2 670 670 670 16 12 190,7750018432,596155264,1.62,124.99,153.28,98.51,8.45,97.91,8.35,430582517.99,75112973.00,106.96,106.26,505695490.99
