,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
10,4.64,356.92,0.12,6.26,481.53,0.16,685.71,296.13,22.9,18.0,13.5,0.0,0.0,31.5 ,22.9,18.0,10.0,0.0,0.0,28.0 ,64.84,92.72,10.40,103.12,0,0,0,0,0,0,97.00,10.87,107.87,0,0,0,0,0,0,72.00,8.00,80.00,0,0,0,0,0,0
20,4.98,383.07,0.13,5.22,401.53,0.14,639.73,334.38,22.9,18.0,12.6,0.0,0.0,30.6 ,22.9,18.0,12.0,0.0,0.0,30.0 ,57.42,85.84,8.88,94.72,0,0,0,0,0,0,91.62,9.00,100.62,0,0,0,0,0,0,88.00,8.00,96.00,0,0,0,0,0,0
30,2.32,178.46,0.08,4.58,352.30,0.16,290.78,302.36,22.9,18.0,13.0,39.5,0.0,70.5 ,22.9,18.0,12.0,36.0,0.0,66.0 ,63.50,96.32,8.64,104.96,80.72,80.64,161.36,0,0,0,95.62,8.62,104.24,79.00,8.62,87.62,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
40,,,,4.58,352.30,0.16,290.78,264.69,22.9,18.0,83.2,38.3,0.0,139.5 ,22.9,18.0,12.0,36.0,0.0,66.0 ,72.54,103.04,8.96,112.00,80.00,80.00,160.00,0,0,0,601.62,64.00,665.62,76.62,8.37,84.99,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
50,2.41,185.38,0.09,4.58,352.30,0.16,290.78,309.93,22.9,18.0,12.6,38.0,0.0,68.6 ,22.9,18.0,12.0,36.0,0.0,66.0 ,61.95,93.76,8.40,102.16,78.40,78.32,156.72,0,0,0,92.25,8.37,100.62,76.00,8.37,84.37,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
60,2.42,186.15,0.09,4.58,352.30,0.16,290.90,313.63,22.9,18.0,12.5,37.7,0.0,68.2 ,22.9,18.0,12.0,36.0,0.0,66.0 ,61.22,92.72,8.32,101.04,77.36,77.28,154.64,.32,0,.32,91.50,8.25,99.75,75.50,8.25,83.75,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
70,2.43,186.92,0.09,4.58,352.30,0.16,290.90,315.26,22.9,18.0,12.4,37.6,0.0,68.0 ,22.9,18.0,12.0,36.0,0.0,66.0 ,60.90,92.32,8.24,100.56,76.40,76.32,152.72,5.04,.72,5.76,91.00,8.25,99.25,75.25,8.25,83.50,0,0,0,88.00,8.00,96.00,72.00,8.00,80.00,0,0,0
80,,,,2.70,207.69,0.16,210.29,259.66,22.9,18.0,83.1,4.1,26.4,131.6 ,22.9,18.0,12.0,36.0,25.3,91.3 ,73.94,99.60,8.72,108.32,76.48,76.40,152.88,18.72,2.56,21.28,600.87,64.00,664.87,0,8.25,8.25,75.00,8.62,83.62,88.00,8.00,96.00,72.00,8.00,80.00,72.00,8.00,80.00
90,2.48,190.76,0.09,2.70,207.69,0.16,210.29,239.51,22.9,18.0,12.3,4.1,25.9,60.3 ,22.9,18.0,12.0,36.0,25.3,91.3 ,80.16,91.68,8.24,99.92,75.76,75.76,151.52,35.12,5.20,40.32,90.25,8.25,98.50,0,8.25,8.25,73.87,8.25,82.12,88.00,8.00,96.00,72.00,8.00,80.00,72.00,8.00,80.00
100,2.48,190.76,0.09,2.70,207.69,0.16,210.20,217.50,22.9,18.0,12.3,4.1,25.8,60.2 ,22.9,18.0,12.0,36.0,25.3,91.3 ,88.27,91.20,8.16,99.36,76.00,76.00,152.00,46.08,5.92,52.00,90.00,8.12,98.12,0,8.12,8.12,73.62,8.12,81.74,88.00,8.00,96.00,72.00,8.00,80.00,72.00,8.00,80.00
110,2.49,191.53,0.09,2.70,207.69,0.16,193.35,190.24,22.9,18.0,12.2,4.1,25.8,60.1 ,22.9,18.0,12.0,44.0,25.3,99.3 ,100.92,91.04,8.16,99.20,82.24,82.24,164.48,58.56,7.68,66.24,89.87,8.12,97.99,0,8.12,8.12,73.50,8.12,81.62,88.00,8.00,96.00,88.00,8.00,96.00,72.00,8.00,80.00
