,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
150,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,201.5,44.1,44,10.2,10.2,14.3,78.7,44.1,44,10,10,14.1,78.1,91.31,41,44,10.5,10.2,14.6,33.84,8.08,41.92,32.88,8.08,40.96,16.64,8.16,24.8,32.75,8.12,40.87,32.75,8.12,40.87,16.37,8,24.37,32,8,40,32,8,40,16,8,24
160,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,188.42,44.1,44,10.2,10.2,14.4,78.8,44.1,44,10,10,14.1,78.1,97.65,41.7,45.9,10.8,10.2,14.6,35.04,8.16,43.2,32.88,8.08,40.96,16.64,8.16,24.8,32.75,8.12,40.87,32.75,8.12,40.87,16.25,8.12,24.37,32,8,40,32,8,40,16,8,24
170,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,202.56,44.1,44,10.2,10.2,14.4,78.8,44.1,44,10,10,14.1,78.1,90.84,40.7,43.9,10.2,10.2,14.6,32.72,8.08,40.8,32.8,8.08,40.88,16.56,8.16,24.72,32.75,8.12,40.87,32.75,8.12,40.87,16.25,8.12,24.37,32,8,40,32,8,40,16,8,24
180,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,197.82,44.1,44,10.2,10.2,14.3,78.7,44.1,44,10,10,14.1,78.1,93.02,42.3,45.5,10.2,10.2,14.5,32.64,8.08,40.72,32.72,8.08,40.8,16.56,8.16,24.72,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32,8,40,32,8,40,16,8,24
190,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,203.08,44.1,44,10.2,10.2,14.4,78.7,44.1,44,10,10,14.1,78.1,90.61,40.9,43.8,10.2,10.2,14.5,32.8,8.08,40.88,32.72,8.08,40.8,16.48,8.16,24.64,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32,8,40,32,8,40,16,8,24
200,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,197.59,44.1,44,10.2,10.2,14.3,78.7,44.1,44,10,10,14.1,78.1,93.12,41.9,45.3,10.5,10.2,14.5,33.92,8.08,42,32.64,8.08,40.72,16.48,8.16,24.64,32.62,8.12,40.74,32.62,8.12,40.74,16.25,8.12,24.37,32,8,40,32,8,40,16,8,24
210,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,203.01,44.1,44,10.1,10.1,14.2,78.5,44.1,44,10,10,14.1,78.1,90.63,40.7,43.7,10.3,10.2,14.5,32.96,8.08,41.04,32.56,8.08,40.64,16.48,8.16,24.64,32.5,8.12,40.62,32.5,8.12,40.62,16.25,7.87,24.12,32,8,40,32,8,40,16,8,24
220,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,198.04,44.1,44,10.1,10.1,14.3,78.6,44.1,44,10,10,14.1,78.1,92.91,42,45.1,10.6,10.2,14.5,34,8.48,42.48,32.56,8.08,40.64,16.48,8.16,24.64,32.5,8.12,40.62,32.5,8.12,40.62,16.25,8.12,24.37,32,8,40,32,8,40,16,8,24
230,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,203.64,44.1,44,10.1,10.1,14.3,78.6,44.1,44,10,10,14.1,78.1,90.36,40.9,43.7,10.8,10.1,14.5,35.28,8.08,43.36,32.56,8,40.56,16.48,8.08,24.56,32.5,8.12,40.62,32.5,8.12,40.62,16.25,8.12,24.37,32,8,40,32,8,40,16,8,24
240,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,190.63,44.1,44,10.1,10.1,14.3,78.5,44.1,44,10,10,14.1,78.1,96.52,41.7,44.9,10.5,10.2,14.5,33.84,8.24,42.08,32.56,8.08,40.64,16.4,8.08,24.48,32.5,8.12,40.62,32.5,8.12,40.62,16.25,8,24.25,32,8,40,32,8,40,16,8,24
