,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
120,4.29,612.85,0.28,4.39,627.14,0.29,417.05,469.98,12.0,7.5,10.2,10.2,17.0,45.0 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.15,14.4,8.7,10.2,10.1,16.3,32.72,8.16,40.88,32.64,7.92,40.56,15.36,8.16,23.52,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
130,4.30,614.28,0.29,4.39,627.14,0.29,417.05,454.72,12.0,7.5,10.2,10.2,17.0,44.9 ,12.0,7.5,10.0,10.0,16.6,44.1 ,40.46,13.7,8.5,10.2,10.2,17.1,32.72,8.16,40.88,32.64,8.00,40.64,16.56,8.16,24.72,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
140,4.30,614.28,0.29,4.39,627.14,0.29,417.05,460.95,12.0,7.5,10.2,10.2,17.0,44.8 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.92,14.2,8.7,10.2,10.1,17.1,32.64,8.16,40.80,32.64,7.92,40.56,16.56,8.16,24.72,32.62,8.12,40.74,32.62,8.12,40.74,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
150,4.31,615.71,0.29,4.39,627.14,0.29,417.23,467.95,12.0,7.5,10.2,10.2,17.0,44.8 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.32,13.4,8.1,10.2,10.1,17.1,32.56,8.08,40.64,32.56,7.92,40.48,16.48,8.16,24.64,32.50,8.12,40.62,32.50,8.12,40.62,16.37,8.12,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
160,4.32,617.14,0.29,4.39,627.14,0.29,417.23,464.04,12.0,7.5,10.2,10.2,16.9,44.7 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.65,13.9,8.5,10.2,10.1,17.1,32.56,8.08,40.64,32.56,7.76,40.32,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
170,4.33,618.57,0.29,4.39,627.14,0.29,417.23,466.58,12.0,7.5,10.1,10.1,16.9,44.6 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.44,13.2,8.2,10.2,10.1,17.0,32.56,8.08,40.64,32.48,7.84,40.32,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
180,4.32,617.14,0.29,4.39,627.14,0.29,417.23,467.37,12.0,7.5,10.1,10.1,16.9,44.7 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.37,13.7,8.3,10.1,10.1,17.0,32.48,8.08,40.56,32.48,7.84,40.32,16.40,8.08,24.48,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
190,4.33,618.57,0.29,4.39,627.14,0.29,417.23,465.36,12.0,7.5,10.1,10.1,16.9,44.6 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.54,13.1,8.0,10.1,10.1,17.0,32.48,8.08,40.56,32.48,7.76,40.24,16.40,8.08,24.48,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
200,4.35,621.42,0.29,4.39,627.14,0.29,417.05,470.85,12.0,7.5,10.1,10.1,16.8,44.5 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.08,13.5,8.0,10.1,10.1,17.0,32.40,8.08,40.48,32.40,7.84,40.24,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
210,4.33,618.57,0.29,4.39,627.14,0.29,417.23,468.86,12.0,7.5,10.1,10.1,16.9,44.6 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.24,13.0,7.9,10.1,10.1,17.0,32.40,8.08,40.48,32.40,7.92,40.32,16.32,8.08,24.40,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
