N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS cycl,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC cycl,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,2.32,122.10,0.0,CPU bound,2.32,122.10,0.0,,121.92,112.69,75.4,48.0,0.0,0.0,0.0,75.36,75.4,48.0,0.0,0.0,0.0,75.36,81.64,38.7,38.8,0.0,0.0,0.1,0,0,0,0,0,0,.08,0,.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.32,122.10,44.10430915182432,CPU bound,2.32,122.10,36.159672466734904,,121.92,133.38,75.4,48.0,11.0,0.0,0.0,75.36,75.4,48.0,9.0,0.0,0.0,75.36,68.98,36.8,26.9,9.5,0.3,0.1,66.80,9.36,76.16,.96,.16,1.12,.08,0,.08,76.37,11.37,87.74,0,0,0,0,0,0,64.00,8.00,72.00,0,0,0,0,0,0
30,2.32,122.10,43.703768427091795,CPU bound,2.32,122.10,36.159672466734904,,121.92,126.88,75.4,48.0,10.9,8.3,0.0,75.36,75.4,48.0,9.0,6.0,0.0,75.36,72.51,36.3,25.2,11.4,9.1,0.1,82.08,9.44,91.52,26.96,9.36,36.32,.08,0,.08,77.75,9.37,87.12,24.00,9.25,33.25,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
40,2.32,122.10,43.36690881956327,CPU bound,2.32,122.10,36.159672466734904,,121.92,139.80,75.4,48.0,10.8,7.9,0.0,75.36,75.4,48.0,9.0,6.0,0.0,75.36,65.81,38.7,27.2,10.6,19.9,0.1,76.48,8.56,85.04,71.04,8.48,79.52,.08,0,.08,77.00,9.37,86.37,22.12,9.37,31.49,0,0,0,64.00,8.00,72.00,16.00,8.00,24.00,0,0,0
50,2.32,122.10,40.23250697383597,CPU bound,2.32,122.10,44.83248730964467,,121.92,147.06,75.4,48.0,10.0,14.4,0.0,75.36,75.4,48.0,9.0,18.0,0.0,75.36,62.56,38.1,26.2,10.3,17.7,0.1,73.84,8.72,82.56,62.24,8.72,70.96,.08,0,.08,71.37,8.75,80.12,48.75,8.75,57.50,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
60,2.32,122.10,50.45170439787814,CPU bound,2.32,122.10,44.83248730964467,,121.92,148.01,75.4,48.0,10.1,20.3,0.0,78.38,75.4,48.0,9.0,18.0,0.0,75.36,62.16,37.7,25.6,10.0,19.6,0.1,71.68,8.32,80.00,70.24,8.32,78.56,.08,0,.08,72.12,8.87,80.99,72.12,8.87,80.99,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
70,2.32,122.10,48.3015255499154,CPU bound,2.32,122.10,44.83248730964467,,121.92,143.54,75.4,48.0,9.7,19.4,0.0,77.09,75.4,48.0,9.0,18.0,0.0,75.36,64.10,37.4,25.2,10.0,20.1,0.1,71.12,8.48,79.60,71.92,8.48,80.40,.08,0,.08,69.12,8.50,77.62,69.12,8.50,77.62,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
80,2.32,122.10,48.91900044430669,CPU bound,2.32,122.10,44.83248730964467,,121.92,141.78,75.4,48.0,9.8,19.6,0.0,77.46,75.4,48.0,9.0,18.0,0.0,75.36,64.89,37.4,24.9,10.5,19.7,0.6,75.12,8.64,83.76,70.48,8.24,78.72,.80,.32,1.12,69.87,8.62,78.49,69.87,8.62,78.49,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
90,2.32,122.10,47.48577353637902,CPU bound,2.32,122.10,44.83248730964467,,121.92,144.36,75.4,48.0,9.5,19.1,0.0,76.60,75.4,48.0,9.0,18.0,0.0,75.36,63.73,37.3,24.7,10.0,19.6,3.2,71.28,8.48,79.76,69.92,8.40,78.32,3.04,2.08,5.12,67.87,8.37,76.24,67.87,8.37,76.24,0,0,0,64.00,8.00,72.00,64.00,8.00,72.00,0,0,0
100,2.32,122.10,48.01021401015228,CPU bound,2.32,122.10,44.83248730964467,,103.08,131.67,75.4,48.0,9.6,19.3,15.4,92.27,75.4,48.0,9.0,18.0,14.1,89.13,69.87,37.2,24.5,11.6,19.3,11.0,84.24,8.56,92.80,69.12,8.16,77.28,11.92,6.72,18.64,68.62,8.50,77.12,68.62,8.50,77.12,17.50,8.50,26.00,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
