N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
10,43.70,2300.00,CPU bound,43.70,2300.00,,2300.00,215.56,16.0,14.0,0.0,0.0,0.0,16.0 ,16.0,14.0,0.0,0.0,0.0,16.0 ,170.72,136.1,125.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,43.70,2300.00,CPU bound,43.70,2300.00,,1839.20,789.22,16.0,14.0,8.9,0.0,0.0,22.9 ,16.0,14.0,6.0,0.0,0.0,20.0 ,46.63,17.9,23.5,9.0,0.0,0.0,25.36,10.56,35.92,0,0,0,0,0,0,25.25,10.37,35.62,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
30,43.70,2300.00,CPU bound,43.70,2300.00,,1839.20,696.75,16.0,14.0,7.7,0.0,0.0,21.7 ,16.0,14.0,6.0,0.0,0.0,20.0 ,52.82,27.0,29.4,8.0,0.8,0.0,22.80,9.36,32.16,2.24,.96,3.20,0,0,0,21.37,9.37,30.74,0,0,0,0,0,0,16.00,8.00,24.00,0,0,0,0,0,0
40,27.26,1434.73,0.74,24.96,1313.68,0.68,1081.88,610.79,16.0,14.0,12.8,7.2,0.0,34.0 ,16.0,14.0,14.0,6.0,0.0,34.0 ,60.25,30.8,29.9,13.6,7.2,0.0,45.36,9.04,54.40,19.92,8.72,28.64,0,0,0,42.37,8.87,51.24,19.75,8.87,28.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
50,22.59,1188.94,0.61,24.96,1313.68,0.68,1082.35,593.90,16.0,14.0,15.5,6.9,0.0,36.4 ,16.0,14.0,14.0,6.0,0.0,34.0 ,61.96,33.0,30.1,15.6,7.2,0.0,53.68,8.80,62.48,20.16,8.72,28.88,0,0,0,53.12,8.75,61.87,19.00,8.75,27.75,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
60,22.98,1209.47,0.62,24.96,1313.68,0.68,1082.35,844.17,16.0,14.0,15.2,6.9,0.0,36.1 ,16.0,14.0,14.0,6.0,0.0,34.0 ,43.59,17.3,15.9,15.3,7.0,0.0,52.32,8.72,61.04,19.44,8.56,28.00,0,0,0,52.25,8.62,60.87,18.87,8.62,27.49,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
70,23.29,1225.78,0.63,24.96,1313.68,0.68,1081.88,832.36,16.0,14.0,15.0,6.9,0.0,35.9 ,16.0,14.0,14.0,6.0,0.0,34.0 ,44.21,21.1,19.4,15.1,7.7,0.0,51.68,8.56,60.24,22.16,8.48,30.64,0,0,0,51.50,8.50,60.00,19.00,8.50,27.50,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
80,23.53,1238.42,0.64,24.96,1313.68,0.68,1081.88,732.48,16.0,14.0,14.9,6.9,0.0,35.8 ,16.0,14.0,14.0,6.0,0.0,34.0 ,50.24,23.9,21.0,15.0,9.9,0.0,51.68,8.48,60.16,31.28,8.40,39.68,0,0,0,51.00,8.37,59.37,19.25,8.37,27.62,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
90,23.66,1245.26,0.64,24.96,1313.68,0.68,1082.35,709.07,16.0,14.0,14.8,7.0,0.0,35.8 ,16.0,14.0,14.0,6.0,0.0,34.0 ,51.90,25.8,22.2,14.9,12.6,0.0,51.04,8.40,59.44,41.92,8.40,50.32,0,0,0,50.75,8.37,59.12,19.62,8.37,27.99,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
100,23.79,1252.10,0.65,24.96,1313.68,0.68,1082.35,875.81,16.0,14.0,14.7,7.1,0.0,35.8 ,16.0,14.0,14.0,6.0,0.0,34.0 ,42.02,17.3,14.7,14.7,14.3,0.0,50.56,8.32,58.88,48.72,8.32,57.04,0,0,0,50.37,8.37,58.74,20.12,8.37,28.49,0,0,0,48.00,8.00,56.00,16.00,8.00,24.00,0,0,0
